N	3gram	Kanaev_Sov_1	Myslijsy
1	по отношению к	1	13
2	в том что	1	13
3	не может быть	4	9
4	тем не менее	2	6
5	и в этом	1	6
6	не в том	1	4
7	в свою очередь	2	4
8	по его мнению	1	4
9	в этом смысле	1	4
10	с точки зрения	5	3
11	с одной стороны	1	3
12	в том как	1	3
13	и той же	1	3
14	то же время	1	3
15	но тем не	1	3
16	с самого начала	3	3
17	не более как	1	3
18	в то же	1	3
19	одной и той	1	3
20	все более и	1	2
21	и может быть	1	2
22	что иное как	1	2
23	дело в том	1	2
24	бы то ни	1	2
25	заключает в себе	1	2
26	на этот вопрос	1	2
27	по крайней мере	1	2
28	не могут быть	1	2
29	что при таком	1	2
30	более и более	1	2
31	не что иное	1	2
32	каждая из этих	1	1
33	времени не может	1	1
34	в каждом отдельном	5	1
35	на самом деле	1	1
36	одной стороны и	1	1
37	и живой организм	1	1
38	мы не можем	6	1
39	сами по себе	1	1
40	сказать несколько слов	1	1
41	не было бы	1	1
42	до сих пор	1	1
43	можно было бы	1	1
44	может быть только	1	1
45	всяком случае не	1	1
46	ни одна не	1	1
47	то ни было	1	1
48	же в результате	1	1
49	так же как	1	1
50	и во всей	1	1
51	в связи с	1	1
52	друг на друга	1	1
53	было бы так	1	1
54	это не более	1	1
55	прежде всего человек	1	1
56	во всяком случае	2	1
57	заключать в себе	1	1
58	мы видели что	3	1
59	именно в том	1	1
60	и все же	1	1
61	хотим сказать что	1	1
62	можем ли мы	1	1
63	это значит что	1	1
64	как и во	1	1
65	но все же	1	1
66	очень важную роль	1	1
67	как мы видим	1	1
68	времени и пространства	2	1
69	период развития и	1	1
70	важную роль в	1	1
71	что все они	1	1
72	вместе с понятием	1	1
73	она не может	1	1
