N	3gram	Tiupa_Teor_1	Myshleni
1	в том что	8	17
2	заключается в том	1	7
3	для того чтобы	1	7
4	в отличие от	6	6
5	так же как	1	6
6	с одной стороны	2	5
7	в связи с	1	5
8	тем не менее	3	5
9	и того же	3	4
10	в то время	1	4
11	одного и того	3	4
12	о том что	1	3
13	состоит в том	5	3
14	а с другой	2	3
15	с другой стороны	5	3
16	та или иная	1	3
17	и внутренней речи	1	3
18	так же точно	1	3
19	таким образом что	1	2
20	того же типа	1	2
21	по отношению к	4	2
22	в этом смысле	2	2
23	заключает в себе	1	2
24	не могли бы	1	2
25	в известном смысле	1	2
26	не может быть	4	2
27	того или иного	3	2
28	в свою очередь	2	2
29	той или иной	1	2
30	как и в	2	2
31	по своей природе	2	1
32	том что в	1	1
33	том что она	1	1
34	что иное как	1	1
35	и том же	1	1
36	в виду не	3	1
37	что в основе	2	1
38	более или менее	2	1
39	подобно тому как	1	1
40	так или иначе	4	1
41	в том числе	2	1
42	как это имеет	1	1
43	то же самое	1	1
44	как это делает	1	1
45	между собой в	1	1
46	с точки зрения	3	1
47	не менее не	1	1
48	тот или иной	2	1
49	с тем же	1	1
50	является одним из	1	1
51	бы то ни	1	1
52	имеем дело не	1	1
53	из того что	1	1
54	том числе и	1	1
55	том или ином	1	1
56	точно так же	1	1
57	могли бы быть	1	1
58	одном и том	1	1
59	таким же образом	1	1
60	ту или иную	1	1
61	форма внутренней речи	1	1
62	в самом начале	2	1
63	не что иное	1	1
64	в данном случае	5	1
65	в основе его	1	1
66	то ни было	1	1
67	что речь в	1	1
68	не сводится к	4	1
69	в значительной степени	1	1
70	не могут быть	2	1
71	имеем дело с	1	1
72	приводит к тому	2	1
73	уходит своими корнями	1	1
74	что в отличие	1	1
75	имеет место в	1	1
76	есть не что	1	1
77	между собой и	1	1
78	человека и его	1	1
79	пространственных и временных	1	1
80	начало и конец	1	1
81	в известной степени	1	1
82	друг от друга	1	1
83	самое существенное для	1	1
84	здесь мы имеем	1	1
85	это имеет место	1	1
86	к тому что	2	1
87	но на деле	1	1
88	сама по себе	1	1
89	то что они	1	1
90	и не могло	2	1
