N	2gram	Medvedev_U_1	Istorich
1	и в	14	28
2	может быть	6	25
3	а не	10	15
4	не может	7	15
5	никогда не	1	14
6	мы имеем	1	13
7	то же	5	12
8	не только	10	12
9	что в	1	12
10	только в	2	11
11	мы не	2	10
12	все же	3	10
13	и что	1	10
14	что он	2	10
15	но и	4	10
16	прежде всего	8	10
17	не в	2	9
18	так и	1	9
19	о том	1	9
20	то что	7	9
21	в том	2	9
22	и не	8	9
23	в этом	7	8
24	но в	3	8
25	таким образом	2	8
26	если бы	2	8
27	в ней	1	7
28	это не	3	7
29	и др	1	7
30	что мы	2	7
31	том что	2	7
32	было бы	3	7
33	в этой	4	6
34	для изучения	1	6
35	что и	2	6
36	в исторической	1	6
37	с другой	4	6
38	должна быть	2	5
39	в своем	1	5
40	более или	1	5
41	что она	2	5
42	по существу	2	5
43	их в	1	5
44	или менее	1	5
45	в его	2	5
46	но не	2	5
47	в качестве	1	5
48	до сих	2	5
49	сих пор	2	5
50	сказать что	1	5
51	другой стороны	3	5
52	ее в	1	5
53	и даже	1	4
54	и для	2	4
55	не то	1	4
56	не все	2	4
57	на то	1	4
58	об этом	1	4
59	и с	2	4
60	с тем	1	4
61	как и	3	4
62	в пределах	1	4
63	того что	1	4
64	с одной	1	4
65	превращается в	2	4
66	одной стороны	1	4
67	могут быть	2	4
68	друг с	1	4
69	все это	5	4
70	хотя бы	5	4
71	но это	2	4
72	могли бы	2	3
73	не как	3	3
74	же не	2	3
75	почти не	1	3
76	в котором	1	3
77	в их	4	3
78	по себе	2	3
79	в то	3	3
80	того как	1	3
81	с другом	1	3
82	очень часто	1	3
83	же самое	2	3
84	для этого	3	3
85	уже не	1	3
86	или даже	1	3
87	тем что	2	3
88	на эту	2	3
89	из которых	1	3
90	что же	1	3
91	к сожалению	3	3
92	одним из	2	2
93	же как	1	2
94	и потому	1	2
95	по его	1	2
96	меньшей мере	1	2
97	а для	1	2
98	не вполне	1	2
99	бы то	3	2
100	как таковая	1	2
101	относится к	1	2
102	первый взгляд	1	2
103	он в	1	2
104	в себе	2	2
105	в нем	1	2
106	связанные с	1	2
107	он не	1	2
108	всех этих	2	2
109	то ни	3	2
110	материала и	2	2
111	ее нельзя	2	2
112	должно быть	1	2
113	на первый	2	2
114	для него	3	2
115	но если	1	2
116	что такое	4	2
117	только для	1	2
118	что этот	1	2
119	на материал	1	2
120	еще один	1	2
121	тогда когда	1	2
122	не могут	2	2
123	в области	3	2
124	не есть	2	2
125	отказаться от	1	2
126	приводит к	1	2
127	это для	1	2
128	пройти мимо	1	2
129	ничего не	2	2
130	о нем	1	2
131	наталкиваемся на	1	2
132	в пользу	1	2
133	нас в	2	2
134	между тем	2	2
135	в конечном	4	2
136	и только	5	2
137	большей или	1	2
138	тот же	1	2
139	отказ от	1	2
140	для всех	2	2
141	то и	1	2
142	ни было	3	2
143	его и	2	2
144	само по	1	2
145	как раз	2	2
146	даже не	1	2
147	в некоторых	2	2
148	его как	1	2
149	что нельзя	1	2
150	конечно не	4	2
151	бывает что	1	2
152	не существует	1	2
153	бы в	1	2
154	или меньшей	1	2
155	самое что	1	2
156	в виде	1	2
157	в частности	3	2
158	это было	2	2
159	к этому	1	2
160	таковы в	1	1
161	художественного произведения	2	1
162	и то	3	1
163	не делает	1	1
164	он может	1	1
165	и исторические	1	1
166	нем но	1	1
167	сторону от	1	1
168	она все	1	1
169	противном случае	2	1
170	исторических фактов	1	1
171	а как	2	1
172	имеет свою	1	1
173	но даже	2	1
174	меньшей степени	2	1
175	он был	1	1
176	в сторону	2	1
177	само же	1	1
178	отнюдь не	1	1
179	метод и	1	1
180	независимо от	1	1
181	как нам	1	1
182	в противном	2	1
183	как таковое	1	1
184	в этот	1	1
185	в которой	1	1
186	и у	2	1
187	мы получаем	2	1
188	свойственна не	1	1
189	но он	1	1
190	ее как	1	1
191	появляется уже	1	1
192	ли для	1	1
193	о которой	1	1
194	они в	1	1
195	что еще	1	1
196	кого бы	1	1
197	или иных	2	1
198	все частности	1	1
199	связанных с	1	1
200	этом смысле	2	1
201	претендует на	1	1
202	еще одно	1	1
203	из первых	1	1
204	часто бывает	1	1
205	этого не	1	1
206	и вся	1	1
207	со своими	1	1
208	не значит	1	1
209	все элементы	1	1
210	в своей	3	1
211	она в	1	1
212	в которых	1	1
213	друг другу	1	1
214	доказывает что	1	1
215	быть не	1	1
216	тому чтобы	1	1
217	задачи и	1	1
218	она не	1	1
219	так много	1	1
220	почему в	1	1
221	вне его	1	1
222	у нас	3	1
223	вокруг вопроса	1	1
224	получают свое	1	1
225	всего что	1	1
226	от которой	1	1
227	этот путь	1	1
228	и материал	1	1
229	верно и	1	1
230	и это	1	1
231	но по	1	1
232	в виду	1	1
233	слова а	1	1
234	оно все	1	1
235	строго говоря	1	1
236	нам известно	1	1
237	связаны и	1	1
238	сводится к	2	1
239	надо было	2	1
240	в значительной	1	1
241	все в	1	1
