N	2gram	Bakhtin_Fr_7	Retstnzi
1	не может	3	4
2	и в	41	3
3	в центре	1	2
4	один из	1	2
5	вероятнее всего	1	1
6	в особенности	2	1
7	себе все	2	1
8	почти с	1	1
9	и не	7	1
10	зрения их	1	1
11	чужд и	1	1
12	значительное количество	1	1
13	не только	5	1
14	связи с	1	1
15	точки зрения	5	1
16	конечно и	1	1
17	во второй	2	1
18	так называемая	1	1
19	но и	9	1
20	и заставляет	2	1
21	в системе	1	1
22	тех же	1	1
23	по своим	1	1
24	в ней	5	1
25	может и	1	1
26	в то	10	1
27	с точки	3	1
28	произведения но	1	1
29	и на	4	1
30	первая часть	1	1
31	для него	6	1
32	мы видим	6	1
33	к тому	2	1
34	а не	2	1
35	его от	1	1
36	может быть	4	1
37	несмотря на	3	1
38	в его	12	1
39	он в	1	1
40	же время	9	1
41	то же	13	1
42	и все	14	1
43	в каждом	1	1
44	бы в	2	1
