N	3gram	Nazirov_Tr_1	FransuaR
1	то же время	5	6
2	в то же	5	6
3	и до конца	1	5
4	в той же	1	4
5	но в то	2	4
6	начала и до	1	4
7	в связи с	1	4
8	с начала и	1	4
9	как и все	1	3
10	в отличие от	2	3
11	прежде всего необходимо	1	3
12	в своей книге	1	2
13	имеет в виду	1	2
14	по сравнению с	1	2
15	к этой теме	1	2
16	не может быть	1	2
17	в данном случае	2	2
18	о том что	2	2
19	может быть в	1	2
20	как и в	1	2
21	смысле этого слова	1	1
22	как и его	1	1
23	он заявляет что	1	1
24	в последней главе	1	1
25	был так сказать	1	1
26	связан и с	1	1
27	в этом случае	1	1
28	же время он	1	1
29	и не может	1	1
30	хотя бы и	1	1
31	вместе с ними	1	1
32	но несмотря на	1	1
33	вместо того чтобы	1	1
34	за то что	1	1
35	и в частности	2	1
36	это может быть	1	1
37	в применении к	1	1
38	бы и не	1	1
39	в высшей степени	1	1
40	в xix веке	1	1
41	и в этом	1	1
42	это тот самый	1	1
43	в году и	1	1
44	то что он	1	1
45	об этом свидетельствует	1	1
46	во всяком случае	1	1
47	и даже некоторые	1	1
48	можно было слышать	1	1
49	о нем по	1	1
50	xx века в	1	1
51	между этими двумя	2	1
52	и вместе с	1	1
53	это и есть	1	1
54	что в ней	1	1
55	возвращается к этой	1	1
56	и здесь есть	1	1
57	в одном из	1	1
58	с самого начала	1	1
59	и в самом	2	1
60	это как бы	1	1
61	но все же	2	1
62	в том что	2	1
