N	3gram	Voloshinov_2	VeschiIm
1	не может быть	10	18
2	бы то ни	4	9
3	то ни было	4	9
4	что иное как	1	8
5	не что иное	1	8
6	по крайней мере	2	6
7	в том что	6	6
8	на то что	2	6
9	одно и то	3	5
10	и то же	3	5
11	в свою очередь	5	5
12	тем не менее	1	5
13	с точки зрения	13	4
14	не только в	1	4
15	то же время	8	4
16	в то же	8	4
17	более или менее	2	3
18	в самом деле	5	3
19	сам по себе	1	3
20	в собственном смысле	2	3
21	если мы возьмем	1	3
22	– в смысле	1	3
23	само по себе	1	3
24	что это –	1	3
25	не есть вещь	1	3
26	в отрыве от	1	3
27	можно сказать что	1	2
28	дело в том	1	2
29	ничего не значит	1	2
30	что же такое	1	2
31	в нем нет	2	2
32	но что же	1	2
33	к тому что	3	2
34	никакого отношения к	1	2
35	это не есть	1	2
36	так или иначе	1	2
37	и того же	4	1
38	но как раз	1	1
39	она является как	1	1
40	понимания отнюдь не	1	1
41	целое не может	1	1
42	и пр но	2	1
43	прежде всего на	1	1
44	их жизни и	1	1
45	все это –	1	1
46	в сущности всегда	1	1
47	а не в	2	1
48	мы уже сказали	1	1
49	слово и не	1	1
50	есть прежде всего	1	1
51	в себе не	1	1
52	том что он	2	1
53	и все вообще	1	1
54	быть и речи	2	1
55	в этом случае	1	1
56	одной стороны и	2	1
57	не имеют никакого	1	1
58	том что это	1	1
59	до сих пор	3	1
60	и не может	3	1
61	тот или иной	1	1
62	в зависимости от	2	1
63	сами по себе	1	1
64	в той же	1	1
65	и не в	3	1
66	ни в какой	2	1
67	может быть и	5	1
68	ясно также что	1	1
69	но в то	5	1
70	с одной стороны	3	1
71	то нельзя и	1	1
72	смысле этого слова	4	1
73	каких бы то	1	1
74	даже и в	1	1
75	какой бы то	2	1
76	не относится к	1	1
77	внутренней и внешней	2	1
78	тем же самым	1	1
79	– одна из	2	1
80	для себя и	1	1
81	как из того	1	1
82	с другой стороны	1	1
83	и пр и	4	1
84	что такое понимание	1	1
85	оно может так	1	1
86	во всяком случае	2	1
87	но также и	1	1
88	нужно прибавить еще	1	1
89	о том что	3	1
90	хотя бы в	2	1
91	на то или	1	1
92	и прежде всего	2	1
93	но все же	1	1
94	одного и того	4	1
95	для того чтобы	6	1
96	выражение в свою	1	1
97	что здесь как	1	1
98	какое бы то	1	1
99	что оно существует	1	1
100	было так то	1	1
101	в смысле полного	1	1
102	в отношении к	4	1
103	друг с другом	1	1
104	свидетельствует о том	1	1
105	слово для обозначения	1	1
