N	3gram	Berdyaev_V_1	Myslijsy
1	в том что	2	13
2	и в этом	1	6
3	с другой стороны	1	5
4	но и в	2	4
5	и т д	2	4
6	а между тем	2	3
7	и что в	1	3
8	так и в	1	3
9	бы то ни	1	2
10	по крайней мере	1	2
11	то и другое	1	2
12	к тому что	3	2
13	не могут быть	1	2
14	как и в	1	2
15	в человеке и	1	1
16	и в жизни	1	1
17	законы по которым	1	1
18	и то и	1	1
19	нашего времени с	1	1
20	что бы то	1	1
21	его связь с	1	1
22	потому что оно	1	1
23	то ни стало	1	1
24	во что бы	1	1
25	что истина не	1	1
26	которые не могли	1	1
27	в этих словах	1	1
28	в одно целое	1	1
29	оно не имеет	1	1
30	д и т	1	1
31	то что мы	3	1
32	после того как	1	1
33	и все это	1	1
34	но все же	1	1
35	его если не	1	1
