N	2gram	Trubetskoy_1	FransuaR
1	и в	14	49
2	то есть	1	32
3	прежде всего	8	19
4	в его	4	18
5	и на	5	17
6	не только	9	17
7	в этом	17	15
8	и не	19	15
9	в эпоху	1	13
10	только в	5	13
11	но и	10	13
12	во время	2	12
13	как и	4	11
14	как бы	4	11
15	в этой	4	10
16	вовсе не	1	10
17	в нем	5	9
18	для него	6	9
19	все это	6	9
20	в сущности	1	8
21	то же	11	7
22	все же	4	7
23	все эти	2	7
24	таким образом	11	7
25	как мы	1	7
26	один из	1	7
27	не может	22	7
28	жизни и	4	7
29	мы уже	2	6
30	именно в	3	6
31	во всех	5	6
32	в истории	1	6
33	так и	1	6
34	и с	7	6
35	точки зрения	11	6
36	в то	10	6
37	же время	10	6
38	в себя	1	6
39	то что	13	6
40	так как	4	6
41	с точки	9	5
42	из этих	3	5
43	но не	4	5
44	в своем	6	5
45	выражение в	1	5
46	при этом	5	5
47	в своей	5	5
48	никогда не	5	5
49	роль в	1	5
50	в начале	2	5
51	может быть	9	5
52	и потому	3	5
53	отношения к	2	4
54	и к	6	4
55	но в	2	4
56	в себе	9	4
57	но все	1	4
58	лишь в	3	4
59	в жизни	1	4
60	в этих	2	4
61	и более	2	4
62	с ним	2	4
63	одна из	3	4
64	в области	2	4
65	на службу	1	4
66	с другой	1	4
67	и во	3	4
68	в известной	1	4
69	а в	5	4
70	тем что	3	4
71	до сих	5	4
72	не было	3	4
73	благодаря этому	2	4
74	и о	2	4
75	сих пор	5	4
76	том что	9	4
77	в духе	1	4
78	в своих	6	4
79	как на	8	4
80	также и	1	3
81	в самом	3	3
82	место в	2	3
83	не был	1	3
84	точка зрения	1	3
85	да и	3	3
86	всех этих	3	3
87	и вот	2	3
88	можно было	4	3
89	на все	1	3
90	и других	1	3
91	было бы	5	3
92	из них	3	3
93	ни в	2	3
94	был и	3	3
95	несмотря на	3	3
96	на земле	4	3
97	во всем	4	3
98	нельзя было	1	3
99	их в	2	3
100	даже в	1	3
101	его целом	1	3
102	этих последних	1	3
103	только с	2	3
104	и это	1	3
105	с ее	1	3
106	в ее	1	3
107	в собственном	1	3
108	культуры и	2	3
109	о том	7	3
110	в значительной	3	3
111	к нему	2	3
112	что он	6	3
113	этом отношении	1	3
114	связан с	1	3
115	что для	3	3
116	превращается в	1	3
117	связь с	1	3
