N	3gram	Nazirov_Vr_1	Problemy
1	то же время	4	10
2	в то же	4	10
3	но в то	2	4
4	с которым он	1	4
5	во всяком случае	1	4
6	его отношение к	1	4
7	а между тем	1	3
8	как и у	3	3
9	в этом смысле	1	3
10	и в самом	1	3
11	одно и то	1	3
12	в высшей степени	1	3
13	в конце концов	1	3
14	и то же	1	3
15	с другой стороны	1	3
16	не может быть	2	3
17	то что я	1	2
18	с точки зрения	2	2
19	и не может	1	2
20	и в то	1	2
21	он и не	1	2
22	к запискам из	1	2
23	на этот раз	1	2
24	в плане его	1	2
25	и в этом	1	2
26	что он сам	1	2
27	и что он	1	2
28	в том что	2	2
29	запискам из подполья	1	2
30	говорит о себе	1	1
31	среди них он	1	1
32	к нему с	1	1
33	исповеди ставрогина и	1	1
34	я очень хорошо	1	1
35	в том же	1	1
36	до сих пор	1	1
37	всего то что	1	1
38	что в нем	1	1
39	записках из подполья	1	1
40	по крайней мере	1	1
41	и то что	1	1
42	может быть и	1	1
43	о том как	1	1
44	во время своих	1	1
45	тем что он	1	1
46	в стиле рассказа	1	1
47	каждый из них	1	1
48	в этот момент	2	1
49	служит для него	1	1
50	его отношения к	1	1
51	в то время	1	1
52	достоевского а в	1	1
53	имел в виду	3	1
54	чтоб я не	1	1
55	в свою очередь	1	1
56	о том что	1	1
57	не только не	1	1
58	же не только	1	1
59	но в этом	1	1
60	он как бы	1	1
61	еще один пример	1	1
62	записки из подполья	1	1
63	это такая же	1	1
64	тем не менее	1	1
65	как бы в	1	1
66	и во всем	1	1
67	из подполья но	1	1
68	то что они	1	1
69	в глубине души	1	1
70	в этом отношении	1	1
