N	2gram	Propp_Russ_2	Literetu
1	и не	1	22
2	тогда как	2	17
3	и в	29	16
4	при этом	6	15
5	в этом	11	14
6	не только	10	14
7	но и	8	14
8	в том	22	12
9	может быть	13	12
10	а не	4	12
11	то что	5	12
12	своего рода	1	10
13	не в	4	10
14	то же	4	9
15	так и	1	9
16	в то	2	9
17	того что	3	9
18	в этой	3	8
19	том что	22	8
20	не может	5	8
21	к себе	1	8
22	как бы	18	8
23	в своей	2	7
24	только в	1	7
25	еще не	6	6
26	состоит в	15	6
27	в другом	1	6
28	о том	9	6
29	и его	1	6
30	в его	1	6
31	с другой	2	6
32	в году	3	5
33	в отличие	3	5
34	отличие от	3	5
35	как в	7	5
36	тому же	1	5
37	это не	5	5
38	как и	11	5
39	в основе	1	5
40	этом отношении	1	5
41	в ее	3	5
42	что он	1	5
43	в качестве	3	5
44	именно в	4	5
45	а именно	3	5
46	вместе с	6	5
47	а в	9	5
48	одним из	2	4
49	но не	5	4
50	хотя и	1	4
51	и если	1	4
52	входит в	1	4
53	должно быть	2	4
54	место в	1	4
55	однако в	1	4
56	никогда не	2	4
57	данном случае	7	4
58	а также	4	4
59	с одной	2	4
60	из них	4	4
61	одно из	2	4
62	в одном	1	4
63	как будто	1	4
64	как у	1	4
65	в природе	3	4
66	до конца	3	4
67	одной стороны	2	4
68	в данном	6	4
69	по существу	4	4
70	и для	2	4
71	жизни в	2	4
72	например в	1	3
73	отнюдь не	1	3
74	и как	2	3
75	и наконец	1	3
76	но в	5	3
77	а затем	4	3
78	в г	2	3
79	на свою	1	3
80	только для	1	3
81	по своей	1	3
82	потому что	5	3
83	для его	1	3
84	все еще	1	3
85	еще в	2	3
86	прежде всего	2	3
87	между тем	3	3
88	все время	1	3
89	совершенно не	2	3
90	уже не	4	3
91	в самом	1	3
92	о чем	4	3
93	как это	4	3
94	в иных	1	3
95	тому как	3	3
96	там где	2	3
97	как на	1	3
98	как мы	3	2
99	вопрос о	4	2
100	так чтобы	2	2
101	на себя	2	2
102	из того	1	2
103	мы и	1	2
104	то это	1	2
105	и на	6	2
106	песни и	4	2
107	не могу	1	2
108	во всех	3	2
109	а и	2	2
110	отношение к	1	2
111	стороны и	1	2
112	все же	2	2
113	когда он	1	2
114	себе на	1	2
115	еще на	1	2
116	представляет собой	2	2
117	он в	1	2
118	право на	2	2
119	на то	1	2
120	в нем	1	2
121	о которой	1	2
122	том чтобы	2	2
123	подобно тому	3	2
124	и с	10	2
125	а по	1	2
126	его в	8	2
127	знает что	1	2
128	было бы	3	2
129	и даже	1	2
130	> и	1	2
131	здесь это	1	2
132	далеко не	4	2
133	не всегда	3	2
134	несмотря на	1	2
135	и тогда	1	2
136	и при	2	2
137	и ее	2	2
138	в советской	2	2
139	в конце	1	2
140	нас к	3	2
141	не менее	2	2
142	с которой	1	2
143	как о	1	2
144	того чтобы	6	2
145	как раз	1	2
146	другой стороны	1	2
147	у нас	4	2
148	следует признать	1	2
149	что у	1	2
150	не с	2	2
151	если бы	1	2
152	можно сказать	1	2
153	что и	2	2
154	во всей	1	2
155	в ту	1	2
156	как например	3	2
157	но с	1	2
158	здесь не	1	2
159	с ними	1	2
160	связи с	2	2
161	за ним	3	2
162	ни с	1	2
163	для него	1	2
164	тем что	3	2
165	для того	6	2
166	не надо	1	2
167	с ней	5	2
168	а на	9	2
169	него не	1	2
170	так же	4	2
171	и потому	1	2
172	а так	1	2
173	в самый	2	2
174	к жизни	5	2
175	быть только	2	2
176	если это	1	2
177	человек с	1	2
178	быть не	1	2
179	с этой	2	2
180	один из	2	2
181	по аналогии	1	2
182	что в	22	2
183	же в	6	2
184	не я	1	2
185	в свою	1	2
186	оно не	1	2
187	эти слова	1	2
188	ее в	8	2
189	в своих	2	2
190	к этому	5	2
191	и т	5	1
192	ему нужно	1	1
193	и то	2	1
194	на самом	2	1
195	исходя из	1	1
196	в стороне	2	1
197	это и	2	1
198	в среду	1	1
199	в приведенном	1	1
200	и есть	1	1
201	из самых	1	1
202	и до	1	1
203	с таким	1	1
204	и за	1	1
205	по его	1	1
206	мы уже	1	1
207	который в	1	1
208	полагает что	2	1
209	как способ	1	1
210	собой как	1	1
211	из своих	1	1
212	этом не	1	1
213	говорить о	1	1
214	что иное	2	1
215	кто же	1	1
216	в ней	1	1
217	это наблюдение	1	1
218	в xix	3	1
219	он был	1	1
220	иное как	2	1
221	и песни	1	1
222	тем как	1	1
223	как правило	1	1
224	если в	1	1
225	очевидно что	2	1
226	он пишет	1	1
227	не просто	1	1
228	нет и	1	1
229	к сожалению	1	1
230	первый взгляд	1	1
231	мертвых и	2	1
232	независимо от	1	1
233	с этим	2	1
234	в своем	1	1
235	она как	2	1
236	ней в	2	1
237	что касается	1	1
238	перед нами	1	1
239	что по	4	1
240	более или	1	1
241	в этот	10	1
242	за рекой	1	1
243	с места	1	1
244	не оставляет	1	1
245	ни одна	1	1
246	что к	1	1
247	уже в	1	1
248	ее как	1	1
249	как он	1	1
250	после чего	2	1
251	так сказать	1	1
252	что эти	1	1
253	вообще не	1	1
254	момента когда	1	1
255	тем не	2	1
256	и еще	2	1
257	эта песня	1	1
258	что однако	1	1
259	что без	1	1
260	поле и	4	1
261	наоборот человек	1	1
262	людей и	2	1
263	встречаются и	1	1
264	плачут и	1	1
265	здесь мы	2	1
266	значение в	1	1
267	этого они	1	1
268	на все	1	1
269	приобретает облик	1	1
270	от земли	2	1
271	первую очередь	1	1
272	с другими	3	1
273	не хуже	1	1
274	они по	1	1
275	и была	1	1
276	еще одно	1	1
277	в гроб	2	1
278	из первых	1	1
279	только одно	1	1
280	в них	4	1
281	нет в	1	1
282	говорится о	1	1
283	активности и	1	1
284	жизни по	1	1
285	чем в	2	1
286	был бы	1	1
287	на пути	1	1
288	на первый	3	1
289	в первую	1	1
290	во время	12	1
291	и одно	1	1
292	этой связи	1	1
293	нас не	2	1
294	песен и	1	1
295	как когда-то	1	1
296	в их	2	1
297	не столько	2	1
298	не к	2	1
299	и временем	1	1
300	но это	1	1
301	такую же	1	1
302	но он	3	1
303	и является	1	1
304	была не	2	1
305	как от	1	1
306	в таких	3	1
307	возвращается к	1	1
308	например и	1	1
309	а а	8	1
310	этот был	1	1
311	она не	3	1
312	в русской	1	1
313	тогда когда	4	1
314	и притом	1	1
315	с и	1	1
316	в игру	1	1
317	в огромном	1	1
318	не имеет	3	1
319	шел в	1	1
320	и другими	1	1
321	во всем	2	1
322	форма все	1	1
323	начиная с	2	1
324	когда мы	2	1
325	и всех	1	1
326	как только	1	1
327	сходство с	1	1
328	как некое	1	1
329	ничего общего	1	1
330	стояли у	1	1
331	и о	3	1
332	в виду	2	1
333	свою очередь	1	1
334	остается в	1	1
335	и от	3	1
336	к тебе	1	1
337	так в	2	1
338	с собой	1	1
339	здесь нет	1	1
340	особый интерес	1	1
341	можно только	1	1
342	том как	1	1
343	жизнь и	2	1
344	для этого	5	1
345	другом месте	1	1
346	на этой	1	1
347	чтобы вызвать	2	1
348	с того	1	1
349	аналогии с	1	1
350	нас в	1	1
351	путь из	1	1
352	на нее	6	1
