N	2gram	Nazirov_Tr_1	Literetu
1	и не	7	22
2	тогда как	1	17
3	в мире	3	16
4	и в	18	16
5	х годов	1	15
6	при этом	3	15
7	в этом	9	14
8	не только	8	14
9	но и	4	14
10	в том	2	12
11	может быть	7	12
12	а не	1	12
13	то что	4	12
14	в частности	2	11
15	я и	1	10
16	своего рода	3	10
17	не в	2	10
18	то же	5	9
19	так и	5	9
20	в то	5	9
21	того что	1	9
22	в этой	4	8
23	том что	4	8
24	не может	5	8
25	к себе	1	8
26	как бы	7	8
27	в своей	1	7
28	тем самым	3	7
29	же время	6	7
30	только в	1	7
31	в противовес	1	7
32	я в	1	7
33	еще не	4	6
34	с его	2	6
35	в себе	4	6
36	в другом	1	6
37	о том	2	6
38	и его	6	6
39	в его	3	6
40	к тому	2	6
41	в стихах	1	6
42	в году	9	5
43	в отличие	2	5
44	отличие от	2	5
45	как в	3	5
46	в целом	4	5
47	то есть	3	5
48	лишь в	1	5
49	это не	5	5
50	как и	5	5
51	что я	4	5
52	в ее	2	5
53	что он	6	5
54	именно в	1	5
55	вместе с	1	5
56	с жизнью	1	4
57	одним из	1	4
58	но не	1	4
59	и если	1	4
60	должно быть	3	4
61	никогда не	2	4
62	данном случае	2	4
63	а также	1	4
64	в жизнь	1	4
65	с одной	1	4
66	одно из	1	4
67	в одном	2	4
68	как будто	3	4
69	как у	2	4
70	до конца	2	4
71	в данном	2	4
72	жизни в	1	4
73	например в	1	3
74	самом деле	1	3
75	той же	1	3
76	с ее	3	3
77	но уже	1	3
78	отнюдь не	3	3
79	и как	3	3
80	и наконец	1	3
81	но в	6	3
82	то в	1	3
83	бы и	2	3
84	а затем	1	3
85	в глазах	2	3
86	взгляд на	1	3
87	по своей	1	3
88	потому что	2	3
89	в области	1	3
90	части романа	1	3
91	еще в	2	3
92	не случайно	2	3
93	прежде всего	4	3
94	между тем	1	3
95	все время	1	3
96	совершенно не	1	3
97	уже не	2	3
98	в самом	2	3
99	о чем	3	3
100	как это	3	3
101	это как	1	3
102	в романе	10	3
103	а я	5	3
104	в первом	2	2
105	как мы	1	2
106	вопрос о	2	2
107	не вполне	1	2
108	на себя	1	2
109	я не	4	2
110	и на	7	2
111	во всех	1	2
112	отказ от	1	2
113	я я	1	2
114	отношение к	2	2
115	все же	5	2
116	я к	2	2
117	жизнь как	1	2
118	представляет собой	1	2
119	он в	1	2
120	право на	1	2
121	но без	1	2
122	в нем	4	2
123	чтобы он	1	2
124	не как	1	2
125	и вот	1	2
126	и с	7	2
127	а по	1	2
128	его в	2	2
129	знает что	2	2
130	за бортом	1	2
131	и даже	4	2
132	лишь на	1	2
133	со своими	1	2
134	он и	2	2
135	несмотря на	5	2
136	еще раз	2	2
137	и при	1	2
138	и ее	2	2
139	одном из	2	2
140	вплоть до	1	2
141	быть может	1	2
142	в конце	3	2
143	по себе	1	2
144	не менее	1	2
145	того чтобы	1	2
146	с образом	1	2
147	и сам	3	2
148	о нем	1	2
149	на страницах	3	2
150	что и	2	2
151	что ему	1	2
152	с ними	1	2
153	собой но	2	2
154	связи с	1	2
155	для него	3	2
156	тем что	2	2
157	и вместе	1	2
158	один в	3	2
159	что не	1	2
160	а на	1	2
161	так же	4	2
162	и потому	1	2
163	xix века	1	2
164	к жизни	5	2
165	на свете	1	2
166	быть не	1	2
167	с этой	1	2
168	один из	3	2
169	годов в	1	2
170	что в	4	2
