N	2gram	Tiupa_Hudo_1	BTomashe
1	и не	2	2
2	все это	2	2
3	в ней	4	2
4	видеть в	1	2
5	можно было	5	2
6	по теории	2	1
7	же не	1	1
8	не укладывается	1	1
9	тем более	1	1
10	говорить о	3	1
11	будто бы	3	1
12	об этом	5	1
13	и в	14	1
14	и о	4	1
15	в речи	2	1
16	определение жанра	1	1
17	следовало бы	1	1
18	что все	1	1
19	с другой	1	1
20	в своей	10	1
21	на самом	2	1
22	как будто	4	1
23	не следует	2	1
24	было бы	6	1
25	все же	3	1
26	всяком случае	1	1
27	ли по	1	1
28	о художественной	1	1
29	установка на	1	1
30	никак не	2	1
31	было и	1	1
32	еще не	7	1
33	и на	3	1
34	в пределах	3	1
35	представляется нам	2	1
36	по нашему	2	1
37	теории литературы	2	1
38	одной из	2	1
39	в значительной	2	1
40	забывать что	1	1
41	прежде всего	11	1
42	для которой	1	1
43	в данном	1	1
44	так и	13	1
45	о них	1	1
46	не было	4	1
47	не следовало	1	1
48	его не	1	1
49	нашему мнению	1	1
50	далеко не	1	1
51	не о	2	1
52	всего в	1	1
53	до конца	2	1
54	нельзя не	1	1
55	не со	1	1
56	этой книги	2	1
57	учебное пособие	1	1
58	теория литературы	1	1
59	а не	12	1
60	что в	6	1
61	говорить об	2	1
62	и ее	1	1
63	приемов построения	1	1
64	не все	1	1
65	так по	1	1
66	отнюдь не	3	1
67	вопрос о	2	1
68	и более	1	1
69	и потому	2	1
70	не только	12	1
71	значительной степени	2	1
72	и исторической	1	1
73	иначе не	1	1
74	во всяком	1	1
