N	3gram	Tiupa_Hudo_2	Poddanst
1	в то же	4	7
2	то же время	4	7
3	не только в	2	4
4	в том что	11	4
5	с точки зрения	2	3
6	с одной стороны	3	3
7	в том числе	1	2
8	и в то	2	2
9	заключается в том	1	2
10	том что в	3	1
11	да и не	1	1
12	в настоящее время	1	1
13	и в этом	2	1
14	тот или иной	1	1
15	хотя бы и	2	1
16	и то что	1	1
17	так же как	2	1
18	между тем в	1	1
19	с другой стороны	1	1
20	не может быть	3	1
21	та или иная	1	1
22	именно потому что	1	1
23	мы знаем что	1	1
24	можно судить по	1	1
25	в xix в	1	1
26	для того чтобы	3	1
27	на наш взгляд	4	1
28	том числе и	1	1
29	и т д	2	1
