1	в то же время	3	5
2	состоит в том что	1	4
3	одного и того же	2	3
4	и не могло быть	1	2
5	в том случае если	1	1
6	мы имеем дело не	1	1
7	было и не могло	1	1
8	не отделен от своей	1	1
9	ничего нельзя не сделав	1	1
10	в том что в	2	1
11	что они хотят и	1	1
12	одно и то же	1	1
13	его поступки только раскрывают	1	1
14	прибавить ни убавить ни	1	1
15	ни прибавить ни убавить	2	1
16	нельзя не сделав хуже	1	1
17	по своей природе суть	1	1
18	то что они хотят	1	1
19	далеко не сводится к	1	1
20	выготским и н.и жинкиным	1	1
21	можно даже сказать что	1	1
22	дело в том что	1	1
23	ни убавить ни изменить	1	1
24	мира вокруг я героя	1	1
25	своей судьбы они едины	1	1
26	внеличную сторону индивида и	1	1
27	природе суть то что	1	1
28	только раскрывают содержание судьбы	1	1
29	убавить ни изменить ничего	1	1
30	отделен от своей судьбы	1	1
31	не было и не	1	1
32	они едины судьба выражает	1	1
33	ни к чему не	1	1
34	изменить ничего нельзя не	1	1
35	л.с выготским и н.и	1	1
36	и его поступки только	1	1
37	и в то же	1	1
38	от своей судьбы они	1	1
39	судьбы они едины судьба	1	1
40	в том или ином	1	1
41	в евгении онегине но	1	1
42	поступки только раскрывают содержание	1	1
43	не несет в себе	1	1
44	индивида и его поступки	1	1
45	заключается в том что	1	1
46	своей природе суть то	1	1
47	когда ни прибавить ни	1	1
48	едины судьба выражает внеличную	1	1
49	они хотят и свершают	1	1
50	сторону индивида и его	1	1
51	ни изменить ничего нельзя	1	1
52	в том числе и	2	1
53	в целом ряде произведений	1	1
54	мы имеем дело с	1	1
55	выражает внеличную сторону индивида	1	1
56	суть то что они	1	1
57	судьба выражает внеличную сторону	1	1
