N	3gram	Bakhtin_KF_1	StatiiOP
1	в том что	2	16
2	вместе с тем	1	5
3	для того чтобы	1	5
4	к тому что	1	5
5	дело в том	1	4
6	во всяком случае	1	3
7	вопрос о том	2	3
8	в том же	1	2
9	с точки зрения	9	2
10	но все это	1	2
11	нет сомнения что	1	2
12	бы то ни	2	2
13	но и здесь	3	2
14	в значительной степени	1	2
15	то ни было	2	2
16	и в этом	3	2
17	не в том	1	2
18	для него самого	1	2
19	на то что	1	2
20	в том смысле	1	2
21	тем не менее	2	2
22	в этом его	2	1
23	о том кто	1	1
24	и в ту	1	1
25	и в результате	1	1
26	только таким путем	1	1
27	и совершенно не	1	1
28	между прочим и	1	1
29	на самом деле	3	1
30	в котором он	3	1
31	в настоящее время	1	1
32	в этом смысле	3	1
33	что и для	1	1
34	он не может	1	1
35	бы ни была	1	1
36	вследствие того что	1	1
37	и именно в	1	1
38	в котором мы	3	1
39	в зависимости от	1	1
40	в известном смысле	1	1
41	и в трагедии	1	1
42	лежащий в основе	1	1
43	я не могу	1	1
44	и в котором	1	1
45	вместо того чтобы	1	1
46	по отношению к	22	1
47	ни в каком	2	1
48	то же время	2	1
49	нет в нем	1	1
50	там где я	1	1
51	в свою очередь	1	1
52	как бы ни	1	1
53	того именно что	1	1
54	во второй половине	1	1
55	в то же	2	1
56	и принципиально не	1	1
57	него самого и	1	1
58	дело не в	1	1
59	себя до конца	1	1
60	прочим и в	1	1
61	как бы он	1	1
