N	3gram	Losev_Vesc_1	Morfolog
1	и т д	19	47
2	мы видим что	1	9
3	не может быть	6	8
4	подобно тому как	4	5
5	с точки зрения	3	4
6	тем не менее	3	4
7	с другой стороны	2	4
8	независимо от того	1	3
9	в первом случае	2	3
10	с одной стороны	3	2
11	оно может быть	1	2
12	для того чтобы	2	2
13	в том что	4	2
14	в то время	1	2
15	более или менее	1	2
16	не значит что	1	2
17	в собственном смысле	2	2
18	то время как	1	2
19	это не значит	1	2
20	то что не	2	1
21	таким образом что	1	1
22	между прочим и	1	1
23	это значит что	19	1
24	в то же	1	1
25	и не с	2	1
26	о том как	1	1
27	бы то ни	4	1
28	друг с другом	1	1
29	ни в коем	1	1
30	в одном случае	1	1
31	можно сказать что	3	1
32	так как мы	1	1
33	здесь как и	1	1
34	видим таким образом	1	1
35	потому что они	3	1
36	к тому что	2	1
37	том или другом	1	1
38	того или другого	1	1
39	о том что	4	1
40	самом деле в	1	1
41	а и в	7	1
42	т е не	2	1
43	и то же	4	1
44	в коем случае	1	1
45	можно было бы	1	1
46	на то что	2	1
47	то это значит	2	1
48	понимания может быть	1	1
49	не что иное	7	1
50	т д все	1	1
51	т д словом	1	1
52	самого т е	1	1
53	мы видим таким	1	1
54	никогда меня не	1	1
55	по существу и	1	1
56	то как же	1	1
57	есть не что	5	1
58	в том или	1	1
59	она могла бы	2	1
60	должны быть изучены	1	1
61	она может быть	2	1
62	коем случае не	1	1
63	мы переходим к	1	1
64	но то что	1	1
65	что иное как	7	1
66	в применении к	1	1
67	но так как	1	1
68	и пр также	1	1
69	одно и то	4	1
70	во всяком случае	2	1
71	что и в	1	1
72	это было бы	1	1
73	т д то	1	1
74	в данном случае	2	1
75	а в с	1	1
76	не то что	1	1
77	во втором случае	1	1
78	до сих пор	1	1
79	может быть или	1	1
