N	2gram	Vinokur_St_1	IolandNe
1	стр и	5	7
2	и с	3	3
3	должен быть	3	2
4	и не	16	2
5	в этом	21	2
6	он не	2	2
7	что в	30	2
8	ничего не	2	2
9	не утверждал	1	2
10	бы что	2	2
11	же это	3	1
12	себя в	1	1
13	все это	5	1
14	сомневаюсь что	1	1
15	нисколько не	2	1
16	и др	1	1
17	стр это	1	1
18	мы стали	1	1
19	и в	44	1
20	и о	1	1
21	я не	7	1
22	а по	1	1
23	бы в	1	1
24	более чем	2	1
25	того же	3	1
26	жил в	2	1
27	было не	2	1
28	с другой	9	1
29	и та	1	1
30	это было	1	1
31	а в	17	1
32	вплоть до	5	1
33	к нам	1	1
34	так то	1	1
35	того что	9	1
36	и без	3	1
37	следовательно в	1	1
38	это был	1	1
39	как о	2	1
40	пушкина и	13	1
41	на котором	1	1
42	а с	3	1
43	другой стороны	7	1
44	творчества пушкина	5	1
45	утверждает что	1	1
46	оказывается для	1	1
47	не сомневаюсь	1	1
48	в первую	2	1
49	не так	1	1
50	для него	6	1
51	а также	2	1
52	в основе	3	1
53	что для	3	1
54	что при	2	1
55	говорить о	2	1
56	могло бы	2	1
57	и творчества	2	1
58	и сам	2	1
59	есть только	2	1
60	видит в	1	1
61	отношению к	3	1
62	а если	2	1
63	так и	9	1
64	от этого	2	1
65	литература о	1	1
66	того чтобы	11	1
67	то получается	1	1
68	первую очередь	2	1
69	во многом	1	1
70	никогда не	5	1
71	его личности	1	1
72	о ней	1	1
73	та и	1	1
74	жизни и	5	1
75	и очень	4	1
76	бы все	3	1
77	тех же	1	1
78	тем что	5	1
79	в целом	5	1
80	по поводу	7	1
81	точно и	2	1
82	по отношению	3	1
83	г стр	1	1
84	очевидно что	1	1
85	в них	1	1
86	все эти	5	1
87	по существу	2	1
88	и и	2	1
89	со всеми	2	1
90	если бы	9	1
91	для того	10	1
92	другое дело	1	1
