N	2gram	Tiupa_Lite_3	Stilisti
1	и в	16	42
2	не только	14	27
3	как бы	8	27
4	и т.п	6	24
5	прежде всего	3	22
6	и т.д	1	20
7	хотя бы	1	17
8	но и	14	15
9	то же	9	15
10	и не	22	14
11	не может	8	12
12	может быть	12	12
13	как и	5	11
14	мы уже	1	11
15	точки зрения	7	11
16	и как	3	10
17	как мы	2	10
18	в этом	14	10
19	отнюдь не	3	10
20	при этом	15	9
21	общественной жизни	1	9
22	то что	12	9
23	в то	9	9
24	для того	2	9
25	в себе	6	8
26	все же	2	8
27	речевого общения	1	8
28	тем самым	7	8
29	с тем	1	8
30	эти слова	2	8
31	слово как	1	8
32	в ней	1	8
33	же время	7	7
34	того чтобы	2	7
35	потому что	3	7
36	а не	12	7
37	и от	1	7
38	и его	6	7
39	никогда не	4	7
40	только в	7	7
41	и тем	3	7
42	и на	2	7
43	с его	6	7
44	было бы	2	7
45	так как	1	7
46	на его	3	6
47	так и	9	6
48	в нем	2	6
49	не в	10	6
50	когда мы	1	6
51	в конце	2	6
52	во всех	2	6
53	в этой	8	6
54	в процессе	1	6
55	в области	3	6
56	или иной	2	6
57	в свою	2	6
58	и с	2	5
59	и наконец	3	5
60	и является	1	5
61	и их	1	5
62	как это	3	5
63	в нашем	1	5
64	независимо от	1	5
65	вместе с	5	5
66	в той	1	5
67	слова и	1	5
68	своей жизни	2	5
69	той же	3	5
70	в живом	2	5
71	в его	6	5
72	тому что	1	5
73	а в	5	5
74	с точки	3	5
75	уже в	1	5
76	же самое	2	5
77	языка и	1	4
78	бы в	1	4
79	можно сказать	2	4
80	так же	2	4
81	аудитории и	1	4
82	в обществе	1	4
83	было в	1	4
84	то есть	5	4
85	художественного творчества	2	4
86	так сказать	1	4
87	влияние на	1	4
88	его в	2	4
89	ту или	1	4
90	на другого	1	4
91	того что	9	4
92	человека не	1	4
93	к своему	1	4
94	с появлением	1	4
95	и к	3	4
96	все время	3	4
97	в качестве	5	4
98	у нас	2	4
99	к тому	6	4
100	свою очередь	1	4
101	один из	2	4
102	а с	1	4
103	в слове	3	4
104	в каждом	1	4
105	уже не	3	4
106	в самом	3	4
107	того времени	1	4
108	не что	1	4
109	в словах	3	4
110	не просто	1	4
111	но в	3	4
112	или иную	1	4
113	о том	6	4
114	все это	1	4
115	себя в	7	4
116	самом деле	3	4
117	и то	1	4
118	если бы	2	4
119	той или	2	4
120	нуждается в	1	3
121	не знает	2	3
122	еще не	6	3
123	и вот	2	3
124	не становится	3	3
125	жизни и	3	3
126	и для	4	3
127	не к	1	3
128	связи с	2	3
129	но при	1	3
130	и все	1	3
131	т.п и	1	3
132	что у	2	3
133	что такое	1	3
134	лишь в	5	3
135	вследствие этого	2	3
136	и внешней	1	3
137	если не	2	3
138	что было	1	3
139	для нас	1	3
140	в виду	1	3
141	в начале	4	3
142	деятельности и	1	3
143	в ее	5	3
144	здесь мы	1	3
145	отношения к	3	3
146	но вот	1	3
147	на самом	1	3
148	нет и	1	3
149	это не	5	3
150	и даже	2	3
151	сознания не	1	3
152	во второй	2	3
153	высказывания и	1	3
154	в целом	5	3
155	сказать что	1	3
156	как только	1	3
157	хотя и	4	3
158	из них	4	3
159	в котором	1	3
160	слова о	1	3
161	социальной жизни	1	3
162	в одном	4	3
163	что и	2	3
164	слова как	1	3
165	и уже	1	3
166	уважение к	1	3
167	конечно не	1	3
168	только на	1	3
169	перед нами	1	3
170	в будущем	1	3
171	которое может	1	3
172	том что	8	3
173	материал для	1	2
174	для всех	1	2
175	но не	4	2
176	вопрос о	2	2
177	в связи	1	2
178	место в	4	2
179	ли не	1	2
180	как например	2	2
181	нас не	1	2
182	как таковое	2	2
183	еще и	2	2
184	здесь не	2	2
185	есть не	1	2
186	не было	1	2
187	друг другу	1	2
188	в нас	2	2
189	в жизни	8	2
190	с ней	2	2
191	к нему	1	2
192	нужно было	1	2
193	возникновения и	1	2
194	из двух	1	2
195	я и	10	2
196	которая и	1	2
197	но мы	1	2
198	иное как	1	2
199	художественное творчество	2	2
200	бы не	1	2
201	в значительной	1	2
202	в своей	7	2
203	а на	2	2
204	высказывания от	1	2
205	бы и	3	2
206	и он	1	2
207	или даже	1	2
208	по своей	3	2
209	одной из	1	2
210	других как	2	2
211	первый взгляд	1	2
212	отношение к	2	2
213	для него	2	2
214	на наш	1	2
215	в том	12	2
216	этом отношении	5	2
217	у них	1	2
218	не будь	1	2
219	не с	2	2
220	что иное	1	2
221	обращения к	1	2
222	и сам	2	2
223	общественного сознания	2	2
224	между двумя	1	2
225	как в	5	2
226	общения людей	1	2
227	бытия в	2	2
228	во внешнюю	1	2
229	не говоря	4	2
230	в отношении	1	2
231	представляет собой	2	2
