N	2gram	Trubetskoy_1	VeschiIm
1	не есть	1	49
2	не может	4	33
3	не только	10	31
4	может быть	10	29
5	и не	8	28
6	и в	26	26
7	то что	7	24
8	и есть	1	23
9	а не	5	20
10	в смысле	4	15
11	и следовательно	1	15
12	только в	4	14
13	что она	1	14
14	по себе	1	13
15	и что	4	13
16	того что	3	13
17	все же	6	12
18	и ее	1	12
19	что это	3	12
20	но и	9	12
21	есть не	1	12
22	в себя	1	12
23	сказать что	2	12
24	было бы	1	12
25	таким образом	22	11
26	а и	1	11
27	и больше	2	10
28	потому что	7	10
29	то же	4	10
30	что такое	1	10
31	уже не	3	10
32	в ней	1	10
33	что мы	2	10
34	как бы	12	10
35	и с	10	9
36	бы то	2	9
37	прежде всего	2	9
38	еще и	1	9
39	в том	11	9
40	то ни	2	9
41	общаться с	1	9
42	ни было	2	9
43	в самом	4	9
44	в себе	6	8
45	на то	2	8
46	с ее	1	8
47	ничего не	1	8
48	и это	2	8
49	но это	1	8
50	как с	1	7
51	и их	1	7
52	смысла и	1	7
53	в этом	15	7
54	как раз	1	7
55	ли это	2	7
56	его в	1	7
57	и пр	1	7
58	с другими	4	7
59	в то	4	7
60	совершенно не	1	7
61	себя в	1	7
62	что оно	4	7
63	так как	9	7
64	указывает на	1	7
65	том что	7	7
66	когда мы	1	6
67	то не	1	6
68	жизни и	2	6
69	точки зрения	13	6
70	что они	1	6
71	отличается от	2	6
72	это есть	1	6
73	крайней мере	5	6
74	по крайней	5	6
75	с ним	1	6
76	так что	3	6
77	бы и	1	6
78	и только	4	6
79	необходимо чтобы	1	6
80	что в	9	6
81	для него	3	6
82	но если	2	6
83	есть ли	1	6
84	относится к	2	6
85	должно быть	1	6
86	ясно что	3	6
87	оно есть	1	6
88	ни с	1	6
89	в результате	3	6
90	но в	7	6
91	и как	3	6
92	еще не	2	5
93	должны быть	1	5
94	другими словами	1	5
95	того же	6	5
96	для этого	2	5
97	и для	5	5
98	для себя	1	5
99	не менее	3	5
100	не в	2	5
101	с тем	18	5
102	а в	4	5
103	но не	8	5
104	в ее	1	5
105	с этой	3	5
106	это не	1	5
107	это и	1	5
108	у нас	1	5
109	из себя	2	5
110	в отношении	6	5
111	в чем	1	5
112	свою очередь	1	5
113	в сущности	1	5
114	тем не	3	5
115	если бы	3	5
116	как к	1	5
117	собственное имя	1	5
118	и до	1	5
119	ни на	1	5
120	в свою	2	5
121	тем что	1	4
122	на себе	1	4
123	же время	2	4
124	о том	6	4
125	как и	1	4
126	на почве	1	4
127	явления и	1	4
128	есть то	1	4
129	мы не	1	4
130	во всех	2	4
131	только то	1	4
132	в их	1	4
133	то или	2	4
134	не проявляют	1	4
135	и даже	3	4
136	в своем	3	4
137	с этим	1	4
138	и о	3	4
139	говорить что	1	4
140	и потому	6	4
141	как только	1	4
142	со всем	1	4
143	не существует	1	4
144	о сущности	1	4
145	что и	6	4
146	однако не	1	4
147	с точки	6	4
148	быть и	2	4
149	с другой	8	4
150	бытия и	1	4
151	сам себя	1	4
152	и все	2	4
153	из них	7	4
154	этот вопрос	1	4
155	так чтобы	2	4
156	и более	1	4
157	в данном	1	4
158	но когда	2	3
159	бы в	1	3
160	можно сказать	3	3
161	на это	1	3
162	она является	1	3
163	так и	6	3
164	в жизни	1	3
165	нужно было	1	3
166	в нем	4	3
167	было в	1	3
168	хотя бы	3	3
169	можно только	2	3
170	того чтобы	5	3
171	в своей	1	3
172	в уме	1	3
173	в одном	3	3
174	ее нет	1	3
175	вместе с	15	3
176	отношение к	5	3
177	отношения к	1	3
178	в той	1	3
179	к тому	6	3
180	тогда когда	2	3
181	чтобы она	1	3
182	нет никакой	1	3
183	тот же	2	3
184	себя как	1	3
185	да и	1	3
186	только на	1	3
187	один из	2	3
188	есть как	2	3
189	а с	7	3
190	никогда не	5	3
191	перестает быть	2	3
192	ее с	2	3
193	мы имеем	2	3
194	без всякого	1	3
195	себе не	1	3
196	но даже	1	3
197	мы видим	1	3
198	на этом	1	3
199	их в	1	3
200	несмотря на	6	3
201	это учение	1	3
202	тем более	1	3
203	все это	6	3
204	самом деле	1	3
205	или менее	5	3
206	что он	4	3
207	и тогда	4	3
208	как о	3	3
209	она уже	1	3
210	что именно	2	3
211	более или	5	3
212	может не	1	2
213	или что	1	2
214	о которых	1	2
215	может и	1	2
216	и этот	1	2
217	приводит к	2	2
218	может ли	2	2
219	когда же	2	2
220	во всяком	6	2
221	данном случае	1	2
222	есть тот	1	2
223	от этого	1	2
224	в разных	2	2
225	так же	5	2
226	не стоит	1	2
227	ярко в	2	2
228	существует и	1	2
229	из предыдущего	1	2
230	и всякий	1	2
231	к ее	1	2
232	это для	1	2
233	как нечто	1	2
234	и во	1	2
235	то есть	4	2
236	именно тем	1	2
237	или его	1	2
238	это совершенно	1	2
239	совершенно самостоятельные	1	2
240	казалось бы	1	2
241	если он	1	2
242	то в	1	2
243	а потому	1	2
244	существования и	1	2
245	если не	2	2
246	но зато	1	2
247	же есть	1	2
248	знает и	1	2
249	но все	7	2
250	ничем не	4	2
251	мы получили	1	2
252	превращается в	2	2
253	к чему	1	2
254	состоит из	1	2
255	этой точки	2	2
256	тогда как	1	2
257	живого существа	1	2
258	но они	1	2
259	не с	2	2
260	взаимное понимание	1	2
261	первом случае	1	2
262	раз она	2	2
263	на все	2	2
264	так или	3	2
265	находим в	1	2
266	с данной	1	2
267	не живая	1	2
268	как в	1	2
269	теперь же	1	2
270	и его	1	2
271	в качестве	3	2
272	в сфере	1	2
273	можно говорить	1	2
274	никуда не	1	2
275	с собой	1	2
276	для того	5	2
