N	3gram	Propp_Morf_1	VLabPisa
1	и т д	39	15
2	в этом отношении	1	13
3	с другой стороны	4	8
4	не может быть	9	8
5	по отношению к	4	7
6	более или менее	2	6
7	можно сказать что	1	4
8	не могут быть	2	4
9	в связи с	8	4
10	в том что	3	4
11	о том что	1	3
12	о том как	1	3
13	к тому что	3	3
14	в этом и	1	2
15	в чем же	1	2
16	подобно тому как	5	2
17	с одной стороны	1	2
18	точном смысле слова	1	2
19	из них не	1	2
20	в точном смысле	1	2
21	все эти явления	1	2
22	до сих пор	1	2
23	для того чтобы	2	2
24	во всяком случае	2	2
25	в таком случае	1	1
26	а не по	1	1
27	приводит к тому	1	1
28	д но это	1	1
29	за это время	1	1
30	к этому же	1	1
31	оно может быть	2	1
32	один из его	1	1
33	другой мы видим	1	1
34	может быть и	2	1
35	в противном случае	1	1
36	иметь в виду	1	1
37	с теми или	1	1
38	то прежде всего	1	1
39	имеет ничего общего	1	1
40	бросается в глаза	1	1
41	того или другого	1	1
42	ни одна из	1	1
43	что его можно	1	1
44	может быть достигнуто	1	1
45	противном случае он	1	1
46	т е не	1	1
47	с этим и	1	1
48	вспомним хотя бы	1	1
49	его т е	1	1
50	и то же	1	1
51	в то время	3	1
52	в качестве примеров	1	1
53	прежде всего следует	1	1
54	и может быть	1	1
55	положительной или отрицательной	1	1
56	т д но	4	1
57	дело не в	2	1
58	не значит что	2	1
59	далеко не всегда	1	1
60	этого не могут	1	1
61	сих пор не	1	1
62	при помощи которых	1	1
63	одна из них	1	1
64	после того как	1	1
65	мы видим что	9	1
66	в том или	1	1
67	можно ли считать	1	1
68	то что в	2	1
69	и есть то	1	1
70	не имеет ничего	1	1
71	следующим образом i	1	1
72	то время как	3	1
73	на вопрос что	1	1
74	при помощи которой	2	1
75	тому что они	1	1
76	могло бы быть	1	1
77	в данном случае	1	1
78	один из них	1	1
79	хотя и не	1	1
80	одно и то	1	1
81	некоторые из этих	1	1
