N	2gram	Tiupa_Disk_2	Istorich
1	и в	16	25
2	вместе с	2	22
3	что он	2	22
4	может быть	16	17
5	мы имеем	2	14
6	не только	10	13
7	но и	11	13
8	в его	3	12
9	уже не	3	11
10	и не	15	11
11	в этом	16	10
12	тем что	1	10
13	все же	6	10
14	и его	3	9
15	его в	3	9
16	с другой	5	9
17	таким образом	1	9
18	героя в	5	9
19	еще не	6	8
20	и на	5	8
21	все эти	3	8
22	что в	5	8
23	на него	1	8
24	и что	1	8
25	другой стороны	2	8
26	том что	10	8
27	представляет собой	11	7
28	в нем	7	7
29	как и	16	7
30	потому что	4	7
31	о том	4	7
32	и здесь	1	7
33	то что	5	7
34	только в	3	7
35	с одной	4	7
36	в качестве	16	7
37	превращается в	1	7
38	одной стороны	4	7
39	этом случае	2	7
40	но это	3	7
41	в частности	12	7
42	как в	8	6
43	это не	3	6
44	не может	9	6
45	в этих	3	6
46	не в	3	6
47	что и	2	6
48	там где	1	6
49	себя в	6	6
50	прежде всего	7	6
51	могут быть	3	6
52	в том	8	6
53	например в	3	5
54	мы не	1	5
55	в ней	2	5
56	но не	7	5
57	но все	1	5
58	входит в	2	5
59	живет в	2	5
60	к небу	1	5
61	в образе	1	5
62	же как	2	4
63	и это	2	4
64	то же	6	4
65	в ее	1	4
66	в истории	1	4
67	в которой	1	4
68	он не	3	4
69	не как	1	4
70	тем не	1	4
71	не менее	7	4
72	того как	1	4
73	в некоторых	1	4
74	в пределах	4	4
75	с ним	1	4
76	все это	2	4
77	в которых	1	3
78	его не	1	3
79	ему в	1	3
80	если в	1	3
81	и как	3	3
82	в целом	2	3
83	в этой	4	3
84	их в	2	3
85	на этом	1	3
86	человека в	4	3
87	но уже	2	3
88	в таких	1	3
89	в то	5	3
90	в русской	3	3
91	друг друга	1	3
92	представляют собой	1	3
93	в себя	2	3
94	говорится что	1	3
95	никогда не	2	3
96	и с	2	3
97	о нем	1	3
98	в форме	1	3
99	и др	1	3
100	в особенности	1	3
101	и все	3	3
102	в данном	7	3
103	в книге	1	3
104	не знаем	1	3
105	а в	2	3
106	о герое	1	2
107	того же	2	2
108	самом деле	1	2
109	тех же	1	2
110	встречается и	1	2
111	одним из	1	2
112	вопрос о	1	2
113	героя но	1	2
114	это время	1	2
115	больно и	1	2
116	время в	2	2
117	во всех	1	2
118	по отношению	4	2
119	некоторое время	1	2
120	до его	1	2
121	перед нами	3	2
122	когда он	1	2
123	в предыдущих	1	2
124	о чем	2	2
125	на спине	1	2
126	в это	1	2
127	несмотря на	1	2
128	такой же	2	2
129	точки зрения	4	2
130	в своей	6	2
131	ее в	1	2
132	бы мы	1	2
133	что этот	1	2
134	даже в	1	2
135	и герой	1	2
136	она не	1	2
137	одна из	1	2
138	как новый	1	2
