N	3gram	Bakhtin_Fr_2	EvropaiC
1	в том что	1	16
2	до сих пор	4	12
3	по отношению к	1	10
4	друг с другом	1	9
5	с точки зрения	5	8
6	на самом деле	1	7
7	а и в	1	7
8	мы знаем что	1	7
9	на то что	1	7
10	мы говорили выше	1	6
11	что касается до	1	6
12	для того чтобы	1	6
13	по сравнению с	2	5
14	в этом случае	1	4
15	и без того	1	4
16	с другой стороны	3	4
17	не может быть	4	4
18	о том что	3	4
19	начало и конец	1	4
20	в конце концов	1	4
21	в настоящее время	1	3
22	в том же	1	3
23	не подлежит сомнению	1	3
24	в целом ряде	1	3
25	таким образом в	1	3
26	подлежит сомнению что	1	3
27	время от времени	1	2
28	при этом что	1	2
29	только то что	2	2
30	то же время	6	2
31	с одной стороны	3	2
32	во всяком случае	2	2
33	как и в	1	2
34	но все же	2	2
35	в то же	6	2
36	мы сказали что	1	2
37	еще далеко не	1	1
38	мы уже говорили	5	1
39	культуры и в	1	1
40	меньше чем в	1	1
41	дело в том	1	1
42	а затем и	1	1
43	мы уже сказали	1	1
44	в этом последнем	1	1
45	не только с	1	1
46	не раньше чем	1	1
47	но и сам	1	1
48	сих пор еще	2	1
49	оружием в руках	1	1
50	целом ряде других	1	1
51	и не может	1	1
52	далеко не во	1	1
53	в себе и	2	1
54	для борьбы с	1	1
55	уже говорили что	1	1
56	то что для	2	1
57	таким образом и	1	1
58	в один из	1	1
59	и в целом	1	1
60	до некоторой степени	1	1
61	и той же	1	1
62	они вступают в	1	1
63	с ним общее	1	1
64	именно в том	1	1
65	в тех случаях	1	1
66	на точку зрения	1	1
67	весь свой смысл	1	1
68	то есть в	1	1
69	и все это	1	1
70	не только не	1	1
71	мы видели что	1	1
72	тех случаях когда	1	1
73	нами в начале	1	1
74	жизнь и все	1	1
75	одной и той	1	1
76	как мы видели	2	1
77	несмотря на эту	1	1
78	только тогда когда	1	1
79	том что только	1	1
80	гораздо меньше чем	1	1
