N	3gram	Medvedev_V_1	Psycholo
1	и т п	9	15
2	в том что	5	9
3	и т д	14	8
4	не может быть	8	8
5	о том что	3	7
6	в самом деле	1	7
7	в том чтобы	2	7
8	во всяком случае	1	6
9	с одной стороны	2	5
10	с другой стороны	8	5
11	для того чтобы	3	5
12	этой точки зрения	2	5
13	в то время	1	5
14	подобно тому как	2	5
15	в зависимости от	5	5
16	то время как	1	5
17	не в том	2	5
18	так же как	1	4
19	только тогда когда	1	4
20	с этой точки	1	4
21	в художественном произведении	4	3
22	в конце концов	2	3
23	до сих пор	1	3
24	не только не	2	3
25	все то что	1	3
26	в конечном счете	5	3
27	только в том	2	3
28	ни в какой	1	3
29	в какой мере	1	3
30	в таком случае	1	2
31	в этом смысле	1	2
32	а в том	1	2
33	в одном из	3	2
34	в том случае	1	2
35	т п все	1	2
36	из которых каждая	1	2
37	мы видели что	3	2
38	него могут быть	1	2
39	от всех других	1	2
40	от того что	2	2
41	по этому поводу	7	2
42	может быть сведена	1	2
43	в силу того	1	2
44	том что мы	1	2
45	то же самое	1	2
46	сама по себе	1	2
47	мы видим что	1	2
48	совершенно очевидно что	1	2
49	п все это	1	2
50	более или менее	6	2
51	как будто бы	1	2
52	то или иное	1	2
53	в этом отношении	13	2
54	не было бы	4	2
55	вместе с тем	3	2
56	в применении к	1	2
57	хотя и не	1	2
58	никогда не может	1	2
59	быть сведена к	1	2
60	в чем же	2	1
61	том что и	1	1
62	явлений и процессов	2	1
63	том можно ли	1	1
64	и в результате	1	1
65	каждой из этих	2	1
66	в том же	1	1
67	на основании этих	1	1
68	что мы имеем	1	1
69	в искусстве и	1	1
70	в этой области	3	1
71	в которой он	1	1
72	приводит к тому	1	1
73	в том числе	2	1
74	вопрос о том	1	1
75	относится скорее к	1	1
76	но даже в	1	1
77	по сравнению с	1	1
78	но и у	1	1
79	другой стороны в	1	1
80	это и есть	3	1
81	том или ином	1	1
82	и во всех	1	1
83	одну и ту	1	1
84	теми или иными	1	1
85	оно может быть	1	1
86	можно сказать что	4	1
87	мы полагаем что	1	1
88	есть в конечном	1	1
89	и главным образом	2	1
90	война и мир	2	1
91	определяющую роль в	1	1
92	какой мере не	1	1
93	в себе ту	1	1
94	к тому же	1	1
95	и художественного творчества	2	1
96	художественными образами и	1	1
97	при помощи которых	1	1
98	дело не в	1	1
99	в результате этого	1	1
100	одна из форм	1	1
101	и процессов в	1	1
102	одном и том	2	1
103	же как и	1	1
104	от других видов	1	1
105	бросается в глаза	1	1
106	с этим и	1	1
107	бы и в	1	1
108	огромную роль играют	1	1
109	и то же	1	1
110	не только у	1	1
111	в прямом смысле	1	1
112	не удивительно что	3	1
113	но она не	1	1
114	и есть в	1	1
115	в значительной мере	3	1
116	что по этому	1	1
117	леонардо да винчи	1	1
118	как мы знаем	1	1
119	том случае если	1	1
120	одно и то	1	1
121	в поэзии и	1	1
122	не только в	2	1
123	то что в	1	1
124	на основании всех	1	1
125	художественного произведения не	1	1
126	этих теорий в	1	1
127	одной стороны и	2	1
128	можно определить как	2	1
129	точки зрения на	1	1
130	только то что	2	1
131	не могут быть	1	1
132	и том же	2	1
133	и ту же	1	1
134	за эти годы	1	1
135	в связи с	3	1
136	полнее и отчетливее	1	1
137	вот что говорит	3	1
138	искусстве и в	1	1
139	у него в	1	1
140	в том или	1	1
141	сами по себе	1	1
142	и вместе с	1	1
143	мышления и познания	1	1
144	та или иная	1	1
145	заключает в себе	1	1
146	если так то	1	1
147	том числе и	2	1
148	не может не	2	1
149	художественного произведения и	1	1
150	мы имеем дело	1	1
151	одном из писем	2	1
152	и не быть	1	1
153	лежит в основе	1	1
154	а вместе с	1	1
155	ту или иную	1	1
156	и в науке	1	1
157	всех других видов	1	1
158	не могут иметь	1	1
159	может быть в	1	1
160	в свою очередь	1	1
161	и художественного познания	1	1
162	как увидим ниже	1	1
163	и в процессе	2	1
164	в процессе творчества	1	1
