N	2gram	Medvedev_F_1	VeschiIm
1	не есть	2	49
2	т е	34	42
3	не может	16	33
4	не только	7	31
5	может быть	14	29
6	и не	20	28
7	и в	24	26
8	то что	8	24
9	и есть	1	23
10	значит что	1	22
11	это значит	1	22
12	и т	12	21
13	т д	8	20
14	а не	10	20
15	есть только	1	17
16	в смысле	1	15
17	только в	2	14
18	по себе	5	13
19	и что	2	13
20	того что	5	13
21	все же	3	12
22	было бы	6	12
23	и ее	10	12
24	но и	7	12
25	сказать что	1	12
26	таким образом	13	11
27	что же	1	11
28	то же	10	10
29	в ней	10	10
30	не значит	1	10
31	как бы	6	10
32	что такое	2	10
33	потому что	1	10
34	вещи как	1	10
35	уже не	2	10
36	бы то	3	9
37	в самом	5	9
38	то ни	3	9
39	и с	8	9
40	вещей и	3	9
41	в том	6	9
42	что не	1	9
43	прежде всего	22	9
44	ни было	2	9
45	с ее	7	8
46	сущности и	1	8
47	в себе	3	8
48	на то	1	8
49	смысл и	1	8
50	и это	2	8
51	ничего не	2	8
52	она есть	2	8
53	но это	3	8
54	также и	1	7
55	говорить о	1	7
56	если она	1	7
57	в этом	15	7
58	его в	3	7
59	с другими	4	7
60	том что	1	7
61	в то	9	7
62	что оно	1	7
63	как с	2	7
64	в свете	1	7
65	себя в	1	7
66	и их	10	7
67	так как	1	7
68	как раз	2	7
69	и пр	17	7
70	смысла и	1	7
71	если оно	1	7
72	от всего	1	7
73	е в	1	7
74	совершенно не	1	7
75	есть и	1	7
76	со стороны	5	6
77	что они	1	6
78	и как	3	6
79	но в	5	6
80	есть ли	1	6
81	бы и	1	6
82	что является	1	6
83	бытие и	1	6
84	точки зрения	16	6
85	с ним	2	6
86	она не	6	6
87	отличается от	3	6
88	ясно что	3	6
89	должно быть	11	6
90	так что	1	6
91	если мы	2	6
92	для него	3	6
93	но что	1	6
94	быть только	1	6
95	в результате	2	6
96	жизни и	7	6
97	что в	4	6
98	это и	3	5
99	и до	5	5
100	на себя	1	5
101	в чем	1	5
102	но не	3	5
103	отнюдь не	6	5
104	чем же	2	5
105	как к	3	5
106	должна быть	7	5
107	вообще не	1	5
108	это не	2	5
109	с тем	2	5
110	не в	8	5
111	тем не	1	5
112	в отношении	3	5
113	не менее	11	5
114	одна из	2	5
115	только и	4	5
116	у нас	5	5
117	свою очередь	6	5
118	в ее	8	5
119	должны быть	5	5
120	если бы	4	5
121	для этого	4	5
122	другими словами	1	5
123	еще не	6	5
124	что для	1	5
125	ни на	3	5
126	с этой	4	5
127	и для	1	5
128	из себя	1	5
129	а в	6	5
130	в свою	8	5
131	явления и	1	4
132	в и	1	4
133	мы не	3	4
134	учение об	1	4
135	в их	11	4
136	во всех	5	4
137	как таковая	1	4
138	точка зрения	2	4
139	для всякого	2	4
140	нет и	2	4
141	независимо от	4	4
142	его на	1	4
143	с этим	2	4
144	в своем	11	4
145	однако не	2	4
146	на почве	13	4
147	как и	11	4
148	этой вещи	1	4
149	с точки	13	4
150	и более	2	4
151	чисто смысловой	1	4
152	же время	8	4
153	должен быть	5	4
154	и о	1	4
155	смысле и	1	4
156	с другой	5	4
157	что и	2	4
158	с а	1	4
159	быть и	4	4
160	из них	1	4
161	со всем	3	4
162	и даже	3	4
163	даже не	1	4
164	и потому	9	4
165	в данном	1	4
166	в отдельности	1	4
167	и все	6	4
168	от того	2	4
169	от ее	1	4
170	о сущности	1	4
171	между ними	3	4
172	оно не	4	4
173	себя как	1	3
174	самом деле	6	3
175	что смысл	1	3
176	отношения к	6	3
177	вопрос о	2	3
178	только это	1	3
179	но даже	1	3
180	явление как	1	3
181	о понимании	1	3
182	более или	6	3
183	себе не	1	3
184	как оно	1	3
185	в нем	14	3
186	явление то	1	3
187	перестает быть	3	3
188	что нужно	1	3
189	на этом	1	3
190	могла бы	2	3
191	было в	1	3
192	в жизни	3	3
193	несмотря на	1	3
194	и тогда	1	3
195	нисколько не	2	3
196	или менее	6	3
197	отрыве от	1	3
198	в своей	11	3
199	не понимает	1	3
200	все это	9	3
201	есть еще	1	3
202	между прочим	1	3
203	вещей как	1	3
204	как о	4	3
205	и притом	1	3
206	в основе	3	3
207	того чтобы	1	3
208	к ней	2	3
209	к тому	3	3
210	вещей в	2	3
211	и самое	1	3
212	так и	18	3
213	вещь как	1	3
214	о ней	1	3
215	можно сказать	1	3
216	один из	3	3
217	в отрыве	1	3
218	мы видим	1	3
219	что он	3	3
220	не мешает	1	3
221	только на	5	3
222	и чисто	2	3
223	а это	1	3
224	сама по	2	3
225	в одном	2	3
226	отношение к	3	3
227	и позитивизма	3	3
228	даже и	2	3
229	никогда не	4	3
230	эти две	1	3
231	а с	1	3
232	она является	2	3
233	вместе с	2	3
234	в той	1	3
235	она должна	3	3
236	вещах и	2	3
237	бы в	3	3
238	и ни	1	3
239	тем более	1	3
240	хотя бы	5	3
241	же самой	1	3
242	можно говорить	1	2
243	от этого	2	2
244	как это	6	2
245	в первом	1	2
246	ту же	1	2
247	из его	1	2
248	мы уже	1	2
249	той же	1	2
250	элементы и	1	2
251	как мы	5	2
252	во внутреннем	1	2
253	бы ни	5	2
254	на их	2	2
255	а только	2	2
256	и всякий	2	2
257	тогда как	1	2
258	наряду с	1	2
259	как в	8	2
260	понять и	1	2
261	когда он	3	2
262	и понимания	1	2
263	что на	1	2
264	то в	1	2
265	от чего	2	2
266	так или	1	2
267	приводит к	2	2
268	остановиться на	2	2
269	но ведь	2	2
270	если он	3	2
271	же но	1	2
272	и если	2	2
273	он не	3	2
274	прочим и	1	2
275	в силу	1	2
276	и вот	2	2
277	и этот	1	2
278	но все	2	2
279	то чтобы	1	2
280	и может	4	2
281	и чтобы	1	2
282	на все	3	2
283	на этой	1	2
284	к природе	1	2
285	и тем	1	2
286	только одно	1	2
287	ни в	2	2
288	но уже	1	2
289	в слове	1	2
290	и уже	1	2
291	не мог	1	2
292	она сама	1	2
293	бы к	1	2
294	жизнь и	3	2
295	вообще но	1	2
296	где она	1	2
297	и эти	1	2
298	для нее	1	2
299	тому что	1	2
300	в науке	2	2
301	и сама	1	2
302	на него	2	2
303	но только	1	2
304	для всего	1	2
305	это совершенно	1	2
306	всякой иной	1	2
307	в самой	2	2
308	как она	3	2
309	тех или	1	2
310	и его	10	2
311	это уже	1	2
312	однако это	1	2
313	исходить из	4	2
314	из самого	1	2
315	если же	2	2
316	то она	1	2
317	данном случае	1	2
318	уже предполагает	2	2
319	не с	2	2
320	мог бы	1	2
321	структур в	1	2
322	как ее	2	2
323	может не	1	2
324	и во	1	2
325	заключается в	1	2
326	отдельности и	1	2
327	подходит к	3	2
328	еще более	1	2
329	явление есть	1	2
330	к делу	1	2
331	не из	4	2
332	его и	2	2
333	же они	2	2
334	в особенности	3	2
335	на ее	1	2
