N	2gram	Kanaev_Sov_1	Psycholo
1	и в	7	33
2	в этом	7	28
3	и что	2	25
4	как бы	4	25
5	все время	1	24
6	может быть	12	22
7	том что	1	22
8	что в	2	21
9	в том	4	21
10	о том	1	20
11	и мы	3	15
12	и не	6	13
13	таким образом	11	13
14	так же	1	13
15	что это	2	13
16	все это	3	13
17	сказать что	1	13
18	и все	3	12
19	в самом	2	12
20	самом деле	2	12
21	было бы	3	12
22	если мы	4	12
23	так как	4	12
24	он не	1	11
25	что все	2	11
26	не может	17	10
27	если бы	1	10
28	в его	2	10
29	что она	3	10
30	по себе	1	9
31	то же	3	9
32	в этой	3	9
33	и если	1	9
34	вместе с	4	8
35	в конце	3	8
36	для нас	3	7
37	и только	1	7
38	в нем	3	7
39	не только	4	7
40	в своем	1	7
41	все эти	5	6
42	в себе	3	6
43	когда мы	3	6
44	точки зрения	12	6
45	у него	2	6
46	что эта	1	6
47	на самом	1	6
48	это не	4	6
49	мы должны	4	6
50	мы видим	2	6
51	а не	3	6
52	в ней	1	6
53	же самое	2	6
54	все же	3	5
55	как и	6	5
56	вовсе не	1	5
57	с ним	1	5
58	в какой	1	5
59	мы не	9	5
60	с этим	2	5
61	и его	1	5
62	в целом	4	5
63	мы можем	6	5
64	как он	3	5
65	это и	1	5
66	ясно что	3	5
67	и может	1	5
68	мы будем	1	5
69	мы уже	1	5
70	с самого	3	5
71	никогда не	1	5
72	самого начала	3	5
73	и это	1	5
74	в которой	2	4
75	жизни и	4	4
76	утверждает что	1	4
77	друг с	2	4
78	а в	4	4
79	с совершенно	2	4
80	с другом	2	4
81	совершенно не	2	4
82	знаем что	2	4
83	в таком	2	4
84	как мы	2	4
85	у нас	3	4
86	только в	1	4
87	той же	2	4
88	из них	4	4
89	одна из	3	4
90	мы вправе	1	4
91	не будет	1	4
92	с точки	5	4
93	для чего	1	4
94	и есть	2	4
95	этот вопрос	1	4
96	к этому	1	4
97	можно было	1	4
98	и из	1	3
99	какой бы	1	3
100	во всяком	2	3
101	говорить о	2	3
102	это то	1	3
103	и другую	1	3
104	и для	1	3
105	это совершенно	1	3
106	не было	1	3
107	означало бы	1	3
108	в виде	2	3
109	сих пор	1	3
110	увидим что	1	3
111	самом конце	1	3
112	та же	1	3
113	в одном	3	3
114	ли это	1	3
115	в то	1	3
116	его в	1	3
117	не можем	7	3
118	шаг за	1	3
119	но не	1	3
120	здесь в	1	3
121	сами по	1	3
122	но если	1	3
123	в первый	1	3
124	из которых	2	3
125	до сих	1	3
126	идет о	1	3
127	с ее	1	3
128	что его	1	3
129	тот же	2	3
130	мы в	1	3
131	ни в	1	3
132	должно быть	1	3
133	мы получим	3	3
134	том как	1	3
135	при таком	3	3
136	всяком случае	2	3
137	одной стороны	1	3
138	еще раз	1	3
139	же как	1	3
140	с одной	2	3
141	во всей	1	3
142	в мире	1	3
143	она не	1	3
144	в основу	1	3
145	на этом	2	3
146	уже знаем	1	3
147	их в	4	3
148	за шагом	1	3
149	в своих	1	3
150	на этот	2	3
151	и до	1	3
152	должен был	1	3
153	конечно не	1	3
154	это означало	1	3
155	обратимся к	1	3
156	ни одного	1	2
157	в обратном	1	2
158	и наконец	5	2
159	же время	1	2
160	все те	2	2
161	из этих	2	2
162	только не	1	2
163	бы то	1	2
164	прежде всего	5	2
165	для нашей	1	2
166	она дает	1	2
167	связи с	1	2
168	только одно	1	2
169	на ее	1	2
170	одна и	1	2
171	это просто	1	2
172	не в	3	2
173	но мы	3	2
174	его и	1	2
175	при этом	3	2
176	во всех	1	2
177	а на	2	2
178	что такой	1	2
179	те же	1	2
180	чтобы он	1	2
181	в пьесе	1	2
182	но все	2	2
183	и именно	2	2
184	видим что	1	2
185	вопрос о	4	2
186	это делает	1	2
187	и той	1	2
188	и к	3	2
189	не имеет	1	2
190	он может	3	2
191	но в	3	2
192	что при	2	2
193	и от	1	2
194	и потому	3	2
195	ничего не	6	2
196	точка зрения	1	2
197	эти три	1	2
198	же мы	2	2
199	мы имеем	1	2
200	и та	1	2
201	см рис	5	2
202	ее на	2	2
203	именно в	1	2
204	только одна	6	2
205	между двумя	1	2
206	такой же	2	2
207	в результате	6	2
208	в действительности	1	2
209	ли он	1	2
210	с его	1	2
