N	3gram	Vinokur_Ku_1	KFilosof
1	по отношению к	8	21
2	не может быть	3	11
3	с точки зрения	9	10
4	в данный момент	1	3
5	на самом деле	2	3
6	в этом смысле	3	3
7	того или иного	3	3
8	между тем как	1	3
9	в ее целом	1	3
10	имеем в виду	1	2
11	в соответствии с	3	2
12	на своем месте	1	2
13	во всех этих	1	2
14	бы и не	1	2
15	ни в каком	1	2
16	то же время	2	2
17	вовсе не есть	1	2
18	в целом и	2	2
19	той или иной	1	2
20	в то же	2	2
21	тем не менее	4	2
22	в том что	15	2
23	но прежде всего	1	1
24	к настоящему моменту	1	1
25	сводится к следующему	1	1
26	это уже не	1	1
27	на то что	2	1
28	но во всяком	1	1
29	он должен быть	1	1
30	мы говорим о	1	1
31	всех этих случаях	1	1
32	того что в	2	1
33	и того же	2	1
34	образом то что	1	1
35	можно и должно	1	1
36	и может быть	1	1
37	в настоящее время	1	1
38	я позволю себе	2	1
39	в себя много	1	1
40	только в том	3	1
41	в зависимости от	5	1
42	хотя бы и	2	1
43	может быть противопоставлен	1	1
44	вследствие того что	1	1
45	тогда когда он	2	1
46	в его превосходной	1	1
47	его превосходной книге	1	1
48	в противном случае	1	1
49	и не в	1	1
50	вместе с тем	3	1
51	позицию по отношению	1	1
52	и в то	1	1
53	или иного индивидуума	1	1
54	не потому что	3	1
55	в первом случае	1	1
56	жизни в его	1	1
57	все это можно	1	1
58	смысле этого слова	1	1
59	связанная с ним	1	1
60	отсюда следует что	2	1
61	в том случае	1	1
62	притом не только	1	1
63	до того что	1	1
64	не в том	4	1
65	это не значит	1	1
66	она и может	1	1
67	не для того	1	1
68	во всяком случае	5	1
69	даже для самого	1	1
70	как одно из	1	1
71	а только в	2	1
72	для того чтобы	15	1
73	вместо того чтобы	1	1
74	и пр и	1	1
75	не может возникнуть	1	1
76	и все же	1	1
77	в свою очередь	3	1
78	само по себе	1	1
79	до конца и	1	1
80	и тем самым	1	1
81	в его собственном	1	1
82	тем что я	1	1
83	не значит еще	1	1
84	смысл лишь в	1	1
85	данный момент в	1	1
86	одного и того	2	1
87	не в этом	1	1
88	в большинстве случаев	1	1
89	и не потому	1	1
90	когда мы говорим	1	1
91	к тому что	2	1
92	в том смысле	1	1
93	и мы получим	1	1
94	дело не в	1	1
95	и в его	1	1
96	что и в	1	1
97	только тогда когда	1	1
98	и развивается как	1	1
99	на том что	1	1
