N	3gram	Vinokur_St_2	NovoeSre
1	в высшей степени	1	6
2	в наши дни	1	3
3	в этом смысле	1	2
4	он не может	1	2
5	большую роль в	1	2
6	вместе с тем	5	2
7	так же как	3	2
8	с другой стороны	3	2
9	вопрос о том	3	2
10	совсем не в	1	2
11	что в этом	1	1
12	только потому что	2	1
13	в том числе	1	1
14	себе и в	1	1
15	до сих пор	5	1
16	в зависимости от	1	1
17	сами по себе	2	1
18	в отличие от	2	1
19	должно было быть	1	1
20	и замечательно что	1	1
21	вполне возможно что	1	1
22	и в наши	1	1
23	истории и к	1	1
24	в том чтобы	1	1
25	в известном смысле	1	1
26	к одному из	1	1
27	не в том	2	1
28	то что он	2	1
29	во всяком случае	3	1
30	я не могу	1	1
31	о том что	11	1
32	в то время	1	1
33	то что в	2	1
34	и пр в	1	1
35	в значительной степени	2	1
36	и вместе с	1	1
37	имея в виду	1	1
38	но я не	1	1
39	совершенно так же	2	1
40	и быть не	1	1
41	в том смысле	2	1
42	с общественным мнением	1	1
43	в том что	16	1
44	начала xix века	1	1
