N	3gram	Medvedev_V_1	FransuaR
1	то же время	5	9
2	в то же	5	9
3	для того чтобы	3	6
4	в том что	5	6
5	в этом отношении	13	5
6	но в то	1	5
7	в связи с	3	5
8	так же как	1	4
9	в том числе	2	4
10	до сих пор	1	3
11	и во всех	1	3
12	в другом месте	2	2
13	то же самое	1	2
14	точки зрения на	1	2
15	в чем же	2	2
16	том числе и	2	2
17	можно было бы	2	2
18	о том как	3	2
19	же как и	1	2
20	в данном случае	1	2
21	в то время	1	2
22	и др в	3	2
23	после всего сказанного	1	2
24	не может быть	8	2
25	в системе образов	1	2
26	можно сказать что	4	2
27	за его счет	1	2
28	хотя бы в	3	2
29	мы видим что	1	2
30	к тому же	1	2
31	не только для	1	2
32	также и в	2	2
33	есть в конечном	1	1
34	но ни в	1	1
35	хотя и не	1	1
36	этом отношении очень	1	1
37	в той или	1	1
38	теми или иными	1	1
39	а потому и	1	1
40	по отношению к	7	1
41	в самом деле	1	1
42	как составная часть	1	1
43	сих пор не	1	1
44	как и все	1	1
45	и в то	3	1
46	другом месте в	1	1
47	к этому и	1	1
48	что он не	1	1
49	он и не	1	1
50	то что в	1	1
51	же время она	1	1
52	это вовсе не	1	1
53	в частности к	1	1
54	одном и том	2	1
55	и связанный с	1	1
56	в значительной мере	3	1
57	в нем свое	1	1
58	не подлежит сомнению	1	1
59	мы видели что	3	1
60	вместе с тем	3	1
61	может быть и	1	1
62	в ту же	1	1
63	и том же	2	1
64	между собою и	1	1
65	быть и речи	1	1
66	том как он	1	1
67	во всех этих	1	1
68	значительной мере и	1	1
69	в пределах своей	4	1
70	все то что	1	1
71	дошедших до нас	1	1
72	наконец и это	1	1
73	в одном и	1	1
74	от того что	2	1
75	как это и	1	1
76	в свою очередь	1	1
77	о том что	3	1
78	ничего общего с	1	1
79	и речи о	1	1
80	в конечном счете	5	1
81	той или иной	1	1
82	после того как	1	1
83	по этому поводу	7	1
84	только тогда когда	1	1
85	в поэзии и	1	1
