N	3gram	Medvedev_F_3	RusskieA
1	в том что	3	15
2	и т д	6	9
3	вместе с тем	3	6
4	в этом случае	1	5
5	и в других	1	4
6	в связи с	4	4
7	о том что	1	4
8	к тому что	2	4
9	в настоящее время	1	3
10	с точки зрения	14	3
11	а иногда и	1	3
12	мы не можем	2	3
13	тем не менее	2	3
14	что в этом	1	2
15	в это время	1	2
16	это не значит	1	2
17	не только на	1	2
18	но все же	1	2
19	с тем и	1	2
20	в большинстве случаев	4	2
21	том что этот	1	2
22	потому что он	3	1
23	а следовательно и	1	1
24	хотя и не	1	1
25	с таким же	2	1
26	иметь в виду	1	1
27	и того же	1	1
28	в виду что	1	1
29	в противном случае	1	1
30	по отношению к	3	1
31	на самом деле	12	1
32	подобно тому как	4	1
33	том что это	1	1
34	виду что в	1	1
35	идет не о	1	1
36	в таком случае	1	1
37	можно говорить о	1	1
38	на самом же	2	1
39	в этом отношении	3	1
40	в собственном смысле	1	1
41	и т п	5	1
42	при этом не	1	1
43	можно было бы	1	1
44	нечто совсем другое	2	1
45	говорит о том	1	1
46	так как он	1	1
47	же а не	1	1
48	оно связано с	1	1
49	т е в	1	1
50	не потому что	1	1
51	не только в	1	1
52	сделать вывод что	1	1
53	можно говорить об	1	1
54	объясняется тем что	1	1
55	в отличие от	2	1
56	т е с	2	1
57	т е на	1	1
58	одни и те	3	1
59	т е когда	1	1
60	кроме того в	1	1
61	во всяком случае	6	1
62	и для них	2	1
63	так же как	1	1
64	и в том	1	1
65	самом же деле	2	1
66	и пр и	1	1
67	что бы ни	1	1
68	и все другие	1	1
69	мы уже знаем	2	1
70	с тем что	1	1
71	можно сделать вывод	1	1
72	можно сказать что	1	1
73	на то что	1	1
74	одного и того	1	1
75	совершенно очевидно что	1	1
76	в этих случаях	1	1
77	и те же	3	1
78	у нас в	1	1
79	друг с другом	1	1
80	как и в	1	1
81	потому что они	1	1
82	мы увидим что	2	1
83	как мы знаем	4	1
84	в данном случае	4	1
85	как мы видели	2	1
86	этого слова в	1	1
