N	2gram	Voloshinov_1	Otkroven
1	у него	1	22
2	и в	38	19
3	у достоевского	1	19
4	но и	13	13
5	и не	14	13
6	в этом	10	12
7	человека в	2	11
8	не в	6	11
9	не только	27	11
10	может быть	13	11
11	а не	6	11
12	человека и	1	10
13	вопрос о	2	10
14	в нем	4	10
15	и все	4	10
16	в самой	1	9
17	прежде всего	21	9
18	не было	2	9
19	никогда не	7	9
20	потому что	5	9
21	и он	2	8
22	в его	6	7
23	человек не	2	7
24	он не	2	7
25	лишь в	4	7
26	нет ничего	2	7
27	как и	10	6
28	все это	4	6
29	отношение к	2	5
30	в том	2	5
31	в самом	4	5
32	в этой	6	5
33	для него	3	5
34	а в	5	5
35	то что	8	5
36	с его	7	4
37	все эти	2	4
38	не может	12	4
39	того чтобы	7	4
40	и его	7	4
41	что в	1	4
42	и есть	1	3
43	быть может	3	3
44	о том	4	3
45	еще не	3	3
46	к нему	2	3
47	человек был	1	3
48	было бы	7	3
49	того что	4	3
50	когда он	1	3
51	что он	2	3
52	в себе	9	3
53	и вот	3	3
54	не могут	1	3
55	для того	9	3
56	что человек	1	3
57	это не	3	3
58	мысли и	1	3
59	природы но	1	3
60	как бы	28	3
61	с ним	2	3
62	в русской	1	3
63	и от	7	3
64	в этих	2	3
65	более всего	1	3
66	хотя бы	18	3
67	в своих	2	3
68	все что	1	3
69	и с	5	2
70	из всего	2	2
71	те которые	1	2
72	и то	3	2
73	в ее	3	2
74	мысль о	1	2
75	что у	3	2
76	так и	6	2
77	его не	2	2
78	и о	1	2
79	движение в	1	2
80	по себе	1	2
81	и на	6	2
82	природы и	2	2
83	и все-таки	2	2
84	что и	3	2
85	природы он	3	2
86	и богаче	1	2
87	в истории	1	2
88	как к	1	2
89	в своем	1	2
90	и нет	2	2
91	все же	7	2
92	вопросом о	1	2
93	героев достоевского	1	2
94	и к	4	2
95	и потому	2	2
96	должен был	1	2
97	человека все	2	2
98	в которой	7	2
99	он в	1	2
100	так что	1	2
101	уже в	5	2
102	в душе	2	2
103	о которой	1	2
104	что для	1	2
105	так как	7	2
106	и никогда	1	2
107	тем что	2	2
108	даже и	2	2
109	в другом	1	2
110	что ведь	1	2
111	его в	4	2
112	одного только	1	2
113	сказать что	3	2
114	с тем	8	2
115	для человека	1	2
116	должно быть	2	2
117	подойти к	2	2
118	том что	3	2
119	человека к	1	2
120	для всякого	2	2
121	к этому	2	2
122	что же	8	2
123	в человеческом	1	2
124	своей жизни	5	2
125	с которой	1	2
126	и для	3	2
127	ничего не	8	2
128	себе даже	1	2
129	и ни	2	2
130	ничто не	1	2
131	не есть	1	2
132	в своей	2	2
133	всего в	3	2
134	хотя и	3	2
135	все еще	1	2
136	но в	5	2
137	смысле слова	1	1
138	и это	7	1
139	и самое	1	1
140	отношения к	3	1
141	также и	2	1
142	например в	1	1
143	чтобы не	1	1
144	от самой	1	1
145	и действительно	1	1
146	он сложнее	1	1
147	в виду	3	1
148	с кем	2	1
149	на самом	3	1
150	характер и	1	1
151	тем же	3	1
152	между двумя	2	1
153	чего не	1	1
154	в космическую	1	1
155	уже с	1	1
156	лучше сказать	1	1
157	и до	1	1
158	жизни ее	1	1
159	не имеют	1	1
160	и больше	2	1
161	и когда	2	1
162	можно было	4	1
163	к чему	2	1
164	из всех	1	1
165	не с	3	1
166	есть не	2	1
167	из которой	1	1
168	характер его	1	1
169	мы не	9	1
170	по сравнению	1	1
171	связан с	1	1
172	если бы	4	1
173	в сущности	1	1
174	бы даже	1	1
175	жизни как	1	1
176	другом месте	1	1
177	себе что	1	1
178	в ней	8	1
179	и что	1	1
180	в глаза	1	1
181	почему же	2	1
182	все его	1	1
