N	2gram	Propp_Morf_1	VrazhdaK
1	не только	4	9
2	в этом	14	8
3	и в	13	8
4	и что	2	8
5	но и	4	7
6	и все	1	7
7	то что	8	7
8	что в	8	7
9	все же	7	6
10	но в	2	6
11	как и	3	6
12	и с	1	6
13	в начале	3	6
14	и даже	1	6
15	то же	7	5
16	об этом	4	5
17	в то	3	5
18	между тем	5	5
19	у него	1	5
20	в россии	2	5
21	и не	12	5
22	что он	4	4
23	целый ряд	3	4
24	при этом	1	4
25	это не	6	4
26	несмотря на	4	4
27	в виду	1	4
28	о том	2	4
29	для нас	2	4
30	может быть	52	4
31	как бы	3	4
32	так же	3	4
33	одним из	1	3
34	он был	1	3
35	в чем	1	3
36	с его	2	3
37	и как	5	3
38	в этот	1	3
39	на то	2	3
40	его в	2	3
41	он не	3	3
42	далеко не	5	3
43	том что	4	3
44	но он	1	3
45	в русской	1	3
46	и его	1	3
47	связи с	10	3
48	в его	1	3
49	в том	6	3
50	и у	1	3
51	тем что	4	3
52	в связи	9	3
53	наряду с	5	3
54	т е	21	3
55	к этому	3	3
56	и то	1	2
57	он сам	1	2
58	но как	2	2
59	ответ на	1	2
60	в эти	1	2
61	тогда как	2	2
62	в той	1	2
63	и дети	1	2
64	в этой	2	2
65	в себе	1	2
66	в нашей	1	2
67	их в	1	2
68	таким образом	21	2
69	в них	1	2
70	а с	2	2
71	на первый	3	2
72	во время	6	2
73	точки зрения	2	2
74	в своей	1	2
75	и ее	3	2
76	с точки	2	2
77	не менее	5	2
78	одна из	4	2
79	и далее	1	2
80	в момент	1	2
81	же не	1	2
82	в в	2	2
83	еще не	3	2
84	а также	4	2
85	там же	1	2
86	этот момент	3	2
87	после смерти	1	2
88	об их	1	2
89	уже не	2	2
90	при помощи	9	2
91	из них	3	2
92	его и	2	2
93	для него	1	2
94	очень высоко	1	2
95	отношение к	1	2
96	как раз	1	2
97	как же	2	2
98	о чем	1	2
99	не может	14	2
100	в него	1	2
101	довольно много	1	2
102	в это	1	2
103	но это	6	2
104	же в	2	2
105	а в	7	2
106	а н	1	2
107	вряд ли	2	1
108	можно говорить	1	1
109	также и	4	1
110	обращается в	4	1
111	е годы	1	1
112	это и	2	1
113	и есть	2	1
114	а от	1	1
115	которую они	1	1
116	свое место	1	1
117	быть применено	1	1
118	уже по	1	1
119	по его	1	1
120	не слишком	2	1
121	о помощи	2	1
122	начинается с	3	1
123	равно как	1	1
124	говорить о	3	1
125	ему в	1	1
126	один пример	1	1
127	в числе	2	1
128	и был	1	1
129	это время	1	1
130	него он	1	1
131	собой в	2	1
132	по своему	2	1
133	одним словом	1	1
134	совсем не	3	1
135	но не	4	1
136	заметим что	2	1
137	не все	6	1
138	если в	5	1
139	некоторые черты	1	1
140	в е	1	1
141	говорилось выше	1	1
142	что они	2	1
143	некоторые мотивы	1	1
