N	2gram	Tiupa_Vved_1	Myslijsy
1	то есть	8	34
2	потому что	5	33
3	то что	6	29
4	может быть	18	26
5	таким образом	4	24
6	в этом	21	23
7	и в	13	23
8	в том	10	23
9	в слове	3	22
10	и не	12	18
11	что в	3	17
12	при этом	26	15
13	только в	6	15
14	в себе	5	14
15	для нас	2	14
16	как и	11	14
17	того что	6	14
18	то же	5	14
19	если бы	7	13
20	не было	2	12
21	а не	15	12
22	том что	7	12
23	не может	7	11
24	не в	6	11
25	что я	1	11
26	по себе	2	11
27	но и	19	11
28	по отношению	7	10
29	для меня	1	10
30	и потому	1	10
31	тем что	2	10
32	мы можем	2	10
33	не только	20	10
34	что мы	2	10
35	между тем	1	9
36	о том	5	8
37	отношению к	7	8
38	мы не	4	8
39	заключает в	1	8
40	было бы	4	8
41	стало быть	7	8
42	но в	6	8
43	сказать что	1	8
44	в своем	5	8
45	по мере	1	7
46	вовсе не	1	7
47	на то	1	7
48	что это	1	7
49	в нем	5	7
50	с тем	1	7
51	это не	6	7
52	как в	4	7
53	что такое	18	7
54	в силу	2	7
55	и что	1	7
56	могут быть	4	7
57	что и	2	7
58	понятия о	1	7
59	так и	8	6
60	вместе с	1	6
61	что не	1	6
62	заметить что	1	6
63	того как	1	6
64	в ряду	2	6
65	и к	2	6
66	известно что	1	6
67	мысль о	1	6
68	во всяком	1	5
69	говорить о	2	5
70	крайней мере	1	5
71	не менее	4	5
72	есть в	2	5
73	к нему	1	5
74	с ним	3	5
75	бы и	4	5
76	само по	1	5
77	а в	6	5
78	не можем	2	5
79	что же	3	5
80	для него	3	5
81	хотя и	7	5
82	в его	4	5
83	этом случае	1	5
84	не имеет	2	5
85	один и	1	5
86	так что	1	5
87	и мы	1	5
88	уже в	1	5
89	внимание на	3	5
90	по крайней	1	5
91	так сказать	2	5
92	слова и	1	5
93	все это	1	5
94	есть только	1	5
95	как бы	4	5
96	со своим	1	4
97	и с	2	4
98	тогда как	10	4
99	видно что	1	4
100	так же	1	4
101	предположить что	1	4
102	и все	4	4
103	в сознании	4	4
104	точки зрения	1	4
105	хотя бы	1	4
106	тем самым	5	4
107	на котором	1	4
108	то и	2	4
109	того чтобы	1	4
110	в одном	1	4
111	между ними	1	4
112	в таком	1	4
113	в той	4	4
114	могли бы	1	4
115	по поводу	2	4
116	можно сказать	4	4
117	с другими	1	4
118	в то	4	4
119	и о	1	4
120	да и	1	4
121	в истории	1	4
122	тем не	3	4
123	мы имеем	5	4
124	что все	1	4
125	и тем	2	4
126	в котором	8	4
127	и та	1	4
128	же самое	1	4
129	слов в	1	4
130	если же	1	4
131	что он	1	4
132	только на	1	4
133	а именно	1	4
134	и более	3	4
135	в данном	13	4
136	и тот	1	3
137	все эти	1	3
138	на его	1	3
139	на себе	1	3
140	еще не	7	3
141	же время	3	3
142	не всегда	2	3
143	в разных	1	3
144	только от	1	3
145	связи с	1	3
146	к которым	1	3
147	и так	1	3
148	было в	1	3
149	самом деле	3	3
150	бы не	2	3
151	так в	4	3
152	между прочим	1	3
153	то в	1	3
154	те же	2	3
155	нашего времени	2	3
156	со стороны	5	3
157	в искусстве	1	3
158	и только	1	3
159	же самым	1	3
160	например в	2	3
161	к слову	1	3
162	на самом	4	3
163	только что	1	3
164	в этих	3	3
165	что есть	1	3
166	о человеке	1	3
167	что у	1	3
168	и если	1	3
169	в нее	1	3
170	лица и	1	3
171	никогда не	4	3
172	всяком случае	1	3
173	в первом	2	3
174	той же	1	3
175	уже не	5	3
176	переход от	1	3
177	в них	2	3
178	из одного	1	3
179	и другим	1	3
180	слова в	2	3
181	в самом	2	3
182	а мы	1	3
183	и на	3	3
184	к тому	6	3
185	в процессе	1	3
186	в науке	1	3
187	их в	2	3
188	нет ничего	1	3
189	лишь в	2	3
190	и состоит	1	3
191	известной степени	1	3
192	ее не	2	3
193	все равно	2	3
194	и до	1	3
195	в которых	1	3
196	и их	1	3
197	в виду	1	3
198	к одному	1	3
199	себе в	1	3
200	и по	3	3
201	но это	3	3
202	в речи	2	3
203	как мы	3	2
204	данном случае	6	2
205	требует чтобы	1	2
206	что будет	1	2
207	но так	1	2
208	в двух	1	2
209	на том	1	2
210	и для	3	2
211	отдельного слова	1	2
212	к другим	1	2
213	то он	2	2
214	в виде	1	2
215	одна и	1	2
216	в ее	1	2
217	даже в	1	2
218	иное как	1	2
219	дело не	1	2
220	в другой	1	2
221	этом в	1	2
222	в нашем	6	2
223	следует сказать	1	2
224	лишь один	1	2
225	бы в	3	2
226	до известной	1	2
227	таком случае	1	2
228	оно не	1	2
229	и слова	1	2
230	например с	1	2
231	и вполне	1	2
232	уже было	1	2
233	превращается в	1	2
234	и сама	1	2
235	не имели	2	2
236	здесь мы	1	2
237	быть не	4	2
238	и притом	1	2
239	отношение к	2	2
240	из него	1	2
241	как оно	2	2
242	сами по	1	2
243	не так	1	2
244	и сами	2	2
245	еще более	1	2
246	значительной степени	1	2
247	и даже	1	2
248	не с	3	2
249	что иное	1	2
250	она так	1	2
251	имеет в	1	2
252	мы и	2	2
253	и прежде	1	2
254	без него	1	2
255	имеем дело	3	2
256	из этого	1	2
257	и его	5	2
258	а что	1	2
259	у нас	1	2
260	к его	3	2
261	без которого	1	2
262	что на	2	2
263	тот же	1	2
264	не существует	2	2
265	мы должны	1	2
266	в течение	1	2
267	в сущности	1	2
268	можно назвать	1	2
269	природы и	1	2
270	говорящего и	1	2
271	что происходит	1	2
272	что до	1	2
273	было и	1	2
274	мысль которая	1	2
275	к ним	2	2
276	говорится о	1	2
277	большею частью	1	2
278	представить себе	2	2
279	об этом	4	2
280	тому как	2	2
281	гуманитарных наук	1	2
282	во время	1	2
283	по своему	2	2
284	или иначе	2	2
285	и др	1	2
286	как она	1	2
287	они могут	1	2
288	кто говорит	1	2
289	не вполне	3	2
290	из которых	1	2
291	том же	1	2
292	этих случаях	2	2
293	тому что	1	2
294	от ее	1	2
295	не что	1	2
296	мы видим	1	2
297	в мире	8	2
298	один из	3	2
299	не могу	1	2
300	не как	2	2
301	он не	3	2
302	в своих	2	2
303	быть и	2	2
304	к первому	1	2
305	с другой	5	2
306	мы бы	1	2
307	подобно тому	2	2
308	столь же	1	2
309	происходит в	1	2
310	на этот	1	2
311	и у	1	2
312	не следует	3	2
313	в области	3	2
314	которые не	1	2
315	в ней	4	2
316	что может	1	2
317	с языком	1	2
318	что она	1	2
319	а как	1	2
320	хотя в	1	2
321	если мы	1	2
322	из этих	3	2
323	состоит в	10	2
324	указывает на	1	2
325	можно было	2	2
326	человека в	1	2
327	от его	1	2
328	сводятся к	2	2
329	все что	3	2
330	судя по	2	2
331	в свою	4	2
332	значение в	1	1
333	возникает в	1	1
334	одним из	5	1
335	на разных	1	1
336	которые могут	1	1
337	же следует	1	1
338	жизни без	1	1
339	полагать что	1	1
340	со множеством	1	1
341	чего в	1	1
342	но с	1	1
343	все же	6	1
344	времени с	1	1
345	в форме	1	1
346	бы быть	1	1
347	и того	2	1
348	например так	1	1
349	состояния следует	1	1
350	невозможно но	1	1
351	второй план	1	1
352	а главное	1	1
353	в связи	1	1
354	на второй	1	1
355	но он	1	1
356	о котором	2	1
357	или другой	1	1
358	на наших	1	1
359	жизни и	7	1
360	это такая	1	1
361	вслед за	2	1
362	того же	1	1
363	его с	2	1
364	не умеет	1	1
365	а слово	1	1
366	на первый	1	1
367	разные времена	1	1
368	и животным	1	1
369	прежде всего	7	1
370	о действии	1	1
371	на эту	1	1
372	начинается с	1	1
373	не по	1	1
374	слово это	1	1
375	котором мы	1	1
376	в живой	1	1
377	это время	2	1
378	перед нами	6	1
379	но при	5	1
380	как с	1	1
381	должна быть	2	1
382	я сказал	1	1
383	бы он	1	1
384	в несколько	1	1
385	связь с	1	1
386	числе и	1	1
387	человеческой жизни	3	1
388	в произведении	1	1
389	настоящее время	1	1
390	иначе как	1	1
391	при всей	2	1
392	и ряд	1	1
393	первый взгляд	1	1
394	и откуда	1	1
395	быть только	2	1
396	и иные	1	1
397	к которому	2	1
398	друг от	1	1
399	этого так	1	1
400	времени для	1	1
401	как это	1	1
402	с нами	1	1
403	не знает	1	1
404	та же	1	1
405	мы тем	1	1
406	в своей	5	1
407	во всех	2	1
408	отделен от	1	1
409	от друга	1	1
410	и наоборот	1	1
411	в их	1	1
412	с первым	1	1
413	и было	1	1
414	фактов не	1	1
415	субъекта и	1	1
416	исходя из	2	1
417	занимающего нас	1	1
418	для образования	1	1
419	столько же	1	1
420	оно и	1	1
421	к одной	1	1
422	же в	1	1
423	с одной	5	1
424	он сам	1	1
425	у гоголя	1	1
426	еще один	1	1
427	не мог	1	1
428	но не	5	1
429	по выражению	2	1
430	в бытии	1	1
431	все то	1	1
432	предполагаем в	1	1
433	о ней	4	1
434	происходит на	1	1
435	восприятия и	1	1
436	зависеть от	1	1
437	далее в	1	1
438	в приведенном	2	1
439	свою очередь	4	1
440	и понимание	1	1
441	что подтверждается	1	1
442	которого не	1	1
443	о пользе	1	1
444	свидетельствует о	4	1
445	менее не	1	1
446	бы для	1	1
447	мира и	2	1
448	его на	1	1
449	дело с	2	1
450	на свет	1	1
451	действие может	1	1
452	в нашей	1	1
453	в следующей	1	1
454	входит в	1	1
455	приведенном выше	1	1
456	это только	2	1
457	которая на	1	1
458	но как	1	1
459	живой речи	1	1
460	у них	1	1
461	мы видели	2	1
462	действующее лицо	2	1
463	не об	1	1
464	наук на	1	1
465	к своему	1	1
466	иначе и	1	1
