N	3gram	Bakhtin_Pr_1	FransuaR
1	в то же	3	9
2	то же время	3	9
3	то есть в	1	4
4	так и в	2	3
5	но в то	1	3
6	все то что	3	3
7	в том что	3	3
8	с точки зрения	6	3
9	в свою очередь	1	3
10	о том как	1	2
11	а следовательно и	1	2
12	как и в	1	2
13	таким образом и	1	2
14	в его целом	5	2
15	и в его	1	2
16	по отношению к	19	2
17	все они в	1	2
18	в значительной степени	1	2
19	в себе все	1	2
20	в этом отношении	2	2
21	в большинстве случаев	5	2
22	в свое время	1	2
23	то что в	1	2
24	дело в том	1	2
25	можно было бы	3	2
26	на первый план	2	1
27	это и есть	1	1
28	как в его	1	1
29	в том же	2	1
30	и тем самым	2	1
31	тем самым и	1	1
32	с его помощью	1	1
33	конечно никакому сомнению	1	1
34	мы уже указывали	1	1
35	образом и в	1	1
36	и не в	1	1
37	а также и	1	1
38	не обходится и	1	1
39	они ничему не	1	1
40	в известной мере	1	1
41	и в том	1	1
42	и может быть	1	1
43	и с его	2	1
44	отмеченное нами выше	1	1
45	к этому как	1	1
46	в другом случае	1	1
47	подлежит конечно никакому	1	1
48	тесно связан с	1	1
49	в этом смысле	3	1
50	и прежде всего	5	1
51	том и в	1	1
52	обходится и без	1	1
53	с тем что	1	1
54	к нему и	2	1
55	в первом случае	1	1
56	свое отражение в	1	1
57	на самом деле	3	1
58	так например в	1	1
59	не что иное	1	1
60	таким образом в	1	1
61	на самом же	1	1
62	о том какое	1	1
63	как мы уже	1	1
64	в связи со	1	1
65	не только в	2	1
66	и в самом	1	1
67	в применении к	3	1
68	можно определить как	1	1
69	точка зрения не	1	1
70	и в романе	1	1
71	в связи с	1	1
72	что иное как	1	1
73	не может иметь	1	1
74	то же самое	2	1
75	несмотря на весьма	1	1
76	и в этом	1	1
77	есть не что	1	1
78	со всех сторон	2	1
79	мы здесь не	2	1
80	не подлежит конечно	1	1
81	по аналогии с	1	1
82	самом же деле	1	1
83	с помощью которого	1	1
84	лежат в совершенно	1	1
85	в данном случае	4	1
86	выходит за пределы	1	1
87	и в другом	1	1
88	в том и	1	1
89	имеет дело с	4	1
90	на этот вопрос	1	1
91	в новом свете	1	1
92	со всеми его	1	1
93	но и в	2	1
94	кроме того и	1	1
95	в изобразительных искусствах	2	1
96	же время этот	1	1
97	то есть только	1	1
98	в тех же	1	1
