N	4gram	Vinokur_Ku_2	Dialekti
1	не что иное как	1	3
2	в то время как	1	3
3	в то же время	3	3
4	т д и т	1	2
5	иметь в виду что	1	2
6	сама по себе не	1	2
7	есть не что иное	1	2
8	и т д и	1	2
9	и т д не	1	2
10	не говоря уже о	2	2
11	да и то не	1	1
12	том и в другом	1	1
13	о том что в	1	1
14	точно так же как	2	1
15	приводит к тому что	1	1
16	и не только потому	1	1
17	до тех пор пока	1	1
18	и т д в	1	1
19	с другой стороны эта	1	1
20	и в другом случае	1	1
21	и в том и	1	1
22	заключается в том что	1	1
23	в связи с этим	1	1
24	в том смысле как	1	1
25	можно ли сказать что	1	1
26	в том и в	1	1
27	что на самом деле	1	1
28	все более и более	1	1
