N	2gram	Tiupa_Hudo_1	PoTuStor
1	может быть	14	17
2	и в	19	16
3	и пр	1	12
4	в этом	11	9
5	таким образом	3	9
6	прежде всего	4	9
7	точки зрения	10	8
8	и его	12	8
9	не может	7	8
10	с его	6	7
11	не только	16	7
12	сказать что	4	7
13	я и	7	6
14	при этом	13	6
15	с точки	3	6
16	и это	2	6
17	для него	4	6
18	и к	3	6
19	еще не	3	5
20	в чем	2	5
21	отношение к	5	5
22	все эти	2	5
23	что такое	1	5
24	только для	1	5
25	ни в	5	5
26	нуждается в	1	5
27	ту сторону	1	5
28	как бы	9	5
29	и ее	3	4
30	и на	2	4
31	отнюдь не	2	4
32	но в	7	4
33	в этой	2	4
34	в нем	5	4
35	и может	1	4
36	его в	2	4
37	художественного творчества	4	4
38	все это	2	4
39	по ту	1	4
40	как мы	1	4
41	с ее	5	4
42	так и	11	4
43	но мы	1	4
44	можно сказать	5	4
45	в его	9	4
46	с ними	1	4
47	только в	5	4
48	так как	1	4
49	и даже	1	4
50	но и	10	4
51	и не	15	4
52	все что	1	4
53	отношения к	2	3
54	едва ли	1	3
55	во всех	3	3
56	и есть	1	3
57	и как	3	3
58	с их	2	3
59	и теперь	1	3
60	их в	3	3
61	на этом	1	3
62	этом смысле	3	3
63	том что	8	3
64	в одном	2	3
65	по крайней	1	3
66	и притом	3	3
67	в основе	4	3
68	те же	1	3
69	мира и	2	3
70	на язык	1	3
71	в конечном	5	3
72	с другими	4	3
73	крайней мере	1	3
74	в том	18	3
75	в области	6	3
76	и др	2	3
77	вместе с	1	3
78	и потому	2	3
79	как это	5	3
80	быть это	1	3
81	могут быть	4	3
82	что в	6	3
83	в этих	3	3
84	а в	12	3
85	то что	4	3
86	между ними	4	3
87	жизни и	1	3
88	ту же	1	2
89	же как	1	2
90	в самом	5	2
91	и о	3	2
92	говорить о	3	2
93	что можно	3	2
94	того же	2	2
95	на них	1	2
96	между собой	2	2
97	из этих	3	2
98	но как	2	2
99	конечном счете	5	2
100	за пределы	2	2
101	что это	1	2
102	сознания при	1	2
103	и через	1	2
104	т.е не	1	2
105	он не	4	2
106	и по	2	2
107	то же	10	2
108	по своему	2	2
109	было бы	1	2
110	в жизни	2	2
111	в них	2	2
112	всю жизнь	1	2
113	как и	2	2
114	на первый	1	2
115	в своей	5	2
116	все и	1	2
117	не менее	3	2
118	никогда не	2	2
119	только и	1	2
120	сводится к	7	2
121	в каком	2	2
122	все то	1	2
123	не могут	1	2
124	не будет	2	2
125	на основе	2	2
126	только то	1	2
127	в пределах	3	2
128	как с	1	2
129	быть может	1	2
130	для этого	1	2
131	с ним	2	2
132	о том	2	2
133	путь к	1	2
134	что и	2	2
135	во всей	3	2
136	один из	2	2
137	образов и	1	2
138	мы видим	1	2
139	что он	3	2
140	со всеми	1	2
141	есть в	2	2
142	с нею	1	2
143	если мы	2	2
144	в итоге	2	2
145	в душе	8	2
146	для меня	2	2
147	к ним	1	2
148	при всей	1	2
149	у него	1	2
150	момент в	1	2
151	и т.п	4	2
152	оно не	1	2
153	себя и	2	2
154	что не	1	2
155	а на	5	2
156	не на	3	2
157	в одно	2	2
158	в частности	13	2
159	так же	2	2
160	в область	1	2
161	в мир	1	2
162	чувства и	1	2
163	с этой	1	2
164	в систему	1	2
165	своей жизни	2	2
166	человеческого поведения	1	2
167	и для	2	2
168	не существует	1	2
169	ни было	1	2
170	нет никаких	1	2
171	не есть	1	2
172	из тех	2	2
173	не знает	3	2
174	ее в	2	2
175	можно назвать	1	2
176	они не	1	2
177	говоря о	3	1
178	человека и	1	1
179	и то	4	1
180	дело обстоит	1	1
181	или к	1	1
182	это и	1	1
183	другому человеку	1	1
184	конечно с	1	1
185	и чрезвычайно	1	1
186	собою в	2	1
187	в году	2	1
188	это образная	1	1
189	мы имеем	6	1
190	является эстетическим	1	1
191	я не	2	1
192	как я	1	1
193	из того	1	1
194	живое существо	1	1
195	как один	1	1
196	иное как	1	1
197	столь же	1	1
198	бы то	1	1
199	что его	1	1
200	одним словом	1	1
201	чем это	2	1
202	но не	11	1
203	коем случае	2	1
204	не входит	2	1
205	вступают в	1	1
206	право на	2	1
207	что они	1	1
208	в центре	1	1
209	первый взгляд	1	1
210	в рамках	8	1
211	не хозяин	1	1
212	образом с	1	1
213	хотя и	3	1
214	к чему	1	1
215	уже не	4	1
216	привести к	1	1
217	в нашем	2	1
218	то я	1	1
219	имеем в	3	1
220	во многих	1	1
221	всей его	2	1
222	на его	1	1
223	что она	2	1
224	не следует	4	1
225	и будущей	1	1
226	время и	1	1
227	и последовательное	1	1
228	с нашим	1	1
229	образом и	2	1
230	отношений между	1	1
231	эдипа и	1	1
232	наших глазах	2	1
233	подобно тому	1	1
234	с чем	1	1
235	без исключения	4	1
236	по его	1	1
237	то ни	1	1
238	в мире	21	1
239	состояние как	1	1
240	той же	1	1
241	теми которые	1	1
242	лишь в	4	1
243	входит в	4	1
244	это было	1	1
245	искусства в	4	1
246	на почве	3	1
247	весь мир	1	1
248	речи для	1	1
249	этим и	1	1
250	все моменты	1	1
251	жизни но	2	1
252	и того	2	1
253	одного и	2	1
254	но если	1	1
255	от своего	2	1
256	не сумеет	2	1
257	к предмету	1	1
258	как совокупность	1	1
