N	3gram	Medvedev_F_1	RusskieA
1	в том что	1	15
2	и т д	8	9
3	состоит в том	1	8
4	вместе с тем	1	6
5	как мы увидим	2	5
6	в связи с	2	4
7	к тому что	1	4
8	в настоящее время	10	3
9	с точки зрения	13	3
10	а н веселовского	3	3
11	мы не можем	2	3
12	тем не менее	1	3
13	может быть и	3	2
14	в это время	1	2
15	в свою очередь	6	2
16	не только на	1	2
17	но все же	1	2
18	в большинстве случаев	2	2
19	что было в	1	1
20	еще далеко не	1	1
21	и наконец в	2	1
22	в противном случае	1	1
23	по отношению к	4	1
24	на самом деле	6	1
25	же как и	1	1
26	они ничего не	1	1
27	в этот поток	1	1
28	можно говорить о	1	1
29	на самом же	1	1
30	в этом отношении	1	1
31	и т п	4	1
32	при этом не	1	1
33	иногда и в	1	1
34	к вопросу об	1	1
35	т е в	1	1
36	мы наблюдаем в	1	1
37	и в нашем	1	1
38	в отличие от	1	1
39	и в этом	2	1
40	значения и смысла	1	1
41	и как бы	1	1
42	т е на	1	1
43	но вместе с	1	1
44	и состоит в	1	1
45	во всяком случае	4	1
46	в целом ряде	2	1
47	так же как	1	1
48	и в том	1	1
49	самом же деле	1	1
50	и пр и	2	1
51	что бы ни	2	1
52	мы уже знаем	1	1
53	существует независимо от	1	1
54	ничего общего с	1	1
55	но для каждого	1	1
56	в этой роли	1	1
57	мы видим что	1	1
58	быть и не	2	1
59	что также не	1	1
60	что и в	1	1
61	мы увидим что	1	1
62	как мы знаем	1	1
63	в данном случае	1	1
64	направления в их	1	1
65	как мы видели	2	1
