N	3gram	Bakhtin_fo_2	VrazhdaK
1	то же время	4	4
2	в то же	4	4
3	в связи с	7	3
4	с точки зрения	8	2
5	но в то	1	2
6	не может быть	1	2
7	в том что	3	2
8	а следовательно и	2	1
9	равно как и	2	1
10	в котором он	1	1
11	в том же	4	1
12	тем более что	2	1
13	на первый план	2	1
14	до сих пор	2	1
15	более того в	1	1
16	не было бы	2	1
17	в этом отношении	2	1
18	в литературе и	1	1
19	все же в	2	1
20	с тех пор	1	1
21	но и как	1	1
22	может быть и	2	1
23	и в то	3	1
24	одно и то	1	1
25	о том как	3	1
26	к вопросу о	3	1
27	на первый взгляд	1	1
28	в конце концов	1	1
29	тем что как	1	1
30	и никому не	1	1
31	и то же	1	1
32	но при этом	1	1
33	быть и речи	1	1
34	и в этом	3	1
35	каждый из них	1	1
36	он сказал что	1	1
37	на свое место	1	1
38	с другой стороны	1	1
39	мы считаем что	1	1
40	как бы в	1	1
41	связи с этим	2	1
42	в то время	1	1
43	в это же	1	1
44	в свою очередь	1	1
45	о том что	1	1
46	но в этом	1	1
47	в них много	1	1
48	и во всем	1	1
