N	2gram	Savitsky_E_1	DiskursI
1	в качестве	14	34
2	не только	18	28
3	в том	11	23
4	а не	2	22
5	то есть	6	20
6	тогда как	1	19
7	том что	6	19
8	представляет собой	3	17
9	может быть	6	17
10	как и	7	16
11	и в	37	16
12	в этом	12	15
13	но и	14	14
14	при этом	1	13
15	по своей	2	11
16	но не	5	11
17	прежде всего	9	11
18	и не	14	11
19	как в	3	10
20	далеко не	2	10
21	с другой	7	10
22	по отношению	1	9
23	в нем	1	9
24	не может	9	9
25	состоит в	1	9
26	с одной	8	9
27	одной стороны	8	9
28	в частности	5	9
29	отнюдь не	9	8
30	но в	14	8
31	о том	3	8
32	так и	10	8
33	а также	7	8
34	не было	1	7
35	в себе	9	7
36	то же	15	7
37	не в	5	7
38	в основе	1	7
39	со стороны	5	7
40	в его	2	7
41	только в	9	7
42	в своем	14	6
43	и как	2	6
44	и на	6	5
45	во всех	6	5
46	отличие от	1	5
47	в рамках	1	5
48	тому же	1	5
49	в силу	2	5
50	в котором	2	5
51	в их	11	5
52	в отличие	1	5
53	в процессе	4	5
54	сводится к	1	5
55	по природе	1	5
56	или иной	4	5
57	можно сказать	4	5
58	в данном	3	5
59	как бы	6	5
60	к тому	8	5
61	а в	2	5
62	то что	6	5
63	в своей	8	5
64	и о	1	4
65	в которых	3	4
66	с его	1	4
67	в сторону	2	4
68	в истории	2	4
69	и к	3	4
70	уже не	1	4
71	на его	1	4
72	не как	1	4
73	лишь в	1	4
74	в них	3	4
75	потому что	3	4
76	могут быть	2	4
77	для себя	1	4
78	внимание на	1	4
79	же время	14	4
80	между тем	8	4
81	во втором	2	4
82	одной из	5	4
83	для него	1	4
84	не обязательно	1	4
85	по своим	3	4
86	что не	1	4
87	связи с	1	4
88	не является	3	4
89	что в	21	4
90	также и	7	3
91	того же	3	3
92	и потому	5	3
93	в каждой	1	3
94	столь же	5	3
95	той или	4	3
96	различия между	1	3
97	в одной	1	3
98	с этим	2	3
99	в самом	4	3
100	заключается в	2	3
101	и того	2	3
102	точки зрения	23	3
103	в своих	2	3
104	по себе	4	3
105	в то	16	3
106	принадлежат к	1	3
107	он мог	1	3
108	к той	2	3
109	таким образом	2	3
110	ли не	1	3
