N	3gram	Nazirov_Tv_1	DiskursI
1	в отличие от	1	12
2	в данном случае	2	6
3	в том что	6	6
4	то же время	12	5
5	как и в	1	5
6	по отношению к	1	4
7	в то же	13	4
8	с одной стороны	1	4
9	и все же	3	3
10	о том что	5	3
11	и того же	1	2
12	в соответствии с	3	2
13	что же касается	1	2
14	в первую очередь	1	2
15	в наше время	2	2
16	заключает в себе	1	2
17	но при этом	1	2
18	и как бы	1	2
19	дело в том	3	2
20	на первый взгляд	1	2
21	одного и того	1	2
22	в творчестве чехова	1	2
23	в русской литературе	2	2
24	том что в	2	1
25	прежде всего на	1	1
26	и вследствие этого	1	1
27	традиции все эти	1	1
28	человеком и богом	1	1
29	с другой стороны	1	1
30	одного из героев	1	1
31	и в то	2	1
32	друг на друга	1	1
33	что в одном	1	1
34	бы то ни	1	1
35	было в том	1	1
36	только то что	1	1
37	то что в	1	1
38	но это не	1	1
39	в своем творчестве	1	1
40	как и его	1	1
41	то что может	1	1
42	события но и	1	1
43	то ни было	1	1
44	между настоящим и	1	1
45	оставляя открытым вопрос	1	1
46	по сути дела	3	1
47	не могут быть	1	1
48	между человеком и	1	1
49	такой же как	1	1
50	во главе с	2	1
51	мысль о возможности	1	1
52	только в качестве	1	1
53	одно из главных	1	1
54	русской литературе xix	1	1
55	равно как и	1	1
56	с самого начала	3	1
57	в конечном счете	4	1
58	что ведет к	1	1
59	добра и зла	2	1
60	можно сказать что	2	1
61	человека в мире	1	1
62	тем не менее	2	1
63	место в творчестве	2	1
64	по крайней мере	2	1
