N	3gram	Kanaev_Sov_1	Istorich
1	так же как	1	12
2	мы знаем что	1	7
3	совершенно так же	1	6
4	до сих пор	1	5
5	не может быть	4	4
6	но все же	1	4
7	что иное как	1	3
8	в этом случае	1	3
9	в данном случае	1	3
10	в одном случае	1	3
11	мы видели что	3	3
12	не что иное	1	3
13	то же самое	2	2
14	но мы знаем	1	2
15	так как он	2	2
16	в связи с	1	2
17	тем не менее	2	2
18	на этот вопрос	1	2
19	и может быть	1	1
20	еще не может	2	1
21	и не может	1	1
22	в зависимости от	4	1
23	мы должны признать	1	1
24	друг на друга	1	1
25	одна из них	1	1
26	может быть только	1	1
27	к которому они	1	1
28	может быть и	2	1
29	и могут быть	1	1
30	между ним и	1	1
31	а не только	1	1
32	таким образом из	1	1
33	в том как	1	1
34	как он в	1	1
35	не могут быть	1	1
36	только частное значение	1	1
37	не в том	1	1
38	же как у	1	1
39	одни и те	1	1
40	он уже не	1	1
41	мы уже знаем	1	1
42	не представляет никакого	1	1
43	что же это	3	1
44	много и они	1	1
45	есть не что	1	1
46	но уже в	1	1
47	мы не можем	6	1
48	же самое что	1	1
49	она и не	1	1
50	и те же	1	1
51	но для чего	1	1
52	же это за	2	1
53	он может быть	1	1
54	как мы видим	1	1
55	мы видим что	1	1
56	но мы уже	1	1
57	и становится его	1	1
58	тот же процесс	1	1
