N	3gram	Savitsky_E_1	Istorich
1	и т д	1	16
2	с другой стороны	2	8
3	во всех этих	1	6
4	всех этих случаях	1	6
5	не только в	4	5
6	так же как	5	4
7	с одной стороны	8	4
8	в тех случаях	1	4
9	в том что	6	4
10	этой точки зрения	5	3
11	что в тех	1	3
12	то что в	2	3
13	с этой точки	5	3
14	не может быть	2	3
15	в данном случае	2	3
16	тех случаях когда	1	3
17	то время как	1	2
18	между прочим и	2	2
19	как и другие	1	2
20	в одной из	1	2
21	но и в	1	2
22	на этот вопрос	1	2
23	так и в	2	2
24	мы не можем	1	2
25	в то время	1	2
26	на то чтобы	1	2
27	мы увидим что	1	2
28	хотя и не	1	1
29	мы хотели бы	1	1
30	она никогда не	1	1
31	сказать что в	2	1
32	с точки зрения	16	1
33	никаких аналогий в	1	1
34	но так как	1	1
35	исключено что это	1	1
36	при вступлении в	1	1
37	нам кажется что	2	1
38	же как и	3	1
39	он мог бы	1	1
40	в нем и	1	1
41	во многих других	1	1
42	свою способность к	1	1
43	только в том	2	1
44	в северной америке	2	1
45	и то и	1	1
46	бы то ни	4	1
47	и та же	1	1
48	независимо от того	1	1
49	в большинстве случаев	2	1
50	что мы знаем	1	1
51	можно было бы	3	1
52	все же следует	1	1
53	и не в	1	1
54	то и другое	1	1
55	не исключено что	1	1
56	в кратчайший срок	1	1
57	не имеет никаких	1	1
58	может быть установлена	1	1
59	в некоторых случаях	1	1
60	того в какой	1	1
61	то ни было	4	1
62	и тот же	1	1
63	в качестве примера	1	1
64	склонен думать что	1	1
65	имеет никаких аналогий	1	1
66	в связи с	1	1
67	как бы то	1	1
68	одна и та	1	1
69	почти никогда не	1	1
70	от того в	1	1
71	один и тот	1	1
72	а именно в	1	1
73	более или менее	1	1
74	не имеет значения	1	1
75	это значит что	1	1
76	северной америки в	2	1
77	и тем более	1	1
78	ту или иную	3	1
79	во второй половине	2	1
80	совершенно очевидно что	1	1
81	к тому что	1	1
82	приводит нас к	2	1
83	совершенно достаточно чтобы	1	1
84	ли он в	1	1
85	как мы видели	2	1
86	мы видели что	1	1
