N	3gram	Savitsky_E_1	Tragedij
1	то же время	14	5
2	в то же	15	5
3	так и в	2	3
4	в отличие от	1	2
5	и в частности	2	2
6	в данном случае	2	2
7	но в то	2	2
8	в том что	6	2
9	как и его	1	1
10	в этом мире	1	1
11	в известной степени	3	1
12	россии но и	1	1
13	это должно быть	1	1
14	хотя бы и	3	1
15	мы бы сказали	1	1
16	не исключено что	1	1
17	это может быть	1	1
18	в применении к	3	1
19	он считает что	1	1
20	во всяком случае	3	1
21	смысле этого слова	1	1
22	и не быть	1	1
23	по нашему мнению	2	1
24	и в этом	4	1
25	по сравнению с	2	1
26	не могут быть	1	1
27	к россии но	1	1
28	что в таком	1	1
29	в связи с	1	1
30	мы отнюдь не	1	1
31	вместо того чтобы	1	1
32	не может быть	2	1
33	отцов и детей	1	1
34	это мы видим	1	1
35	в одном из	2	1
36	отметить что в	1	1
37	к тому что	1	1
38	во всем его	1	1
