N	2gram	Vygotskiy__3	UchenyiS
1	и в	38	14
2	а не	7	10
3	не только	12	10
4	и не	10	8
5	не может	7	7
6	в этом	13	7
7	то что	35	7
8	может быть	19	6
9	то же	10	5
10	и только	3	5
11	художественное произведение	1	5
12	все это	3	5
13	хотя бы	2	5
14	с другой	7	4
15	но и	5	4
16	что такое	1	4
17	в их	1	4
18	в конечном	1	4
19	в этой	13	4
20	конечно не	4	4
21	и то	8	3
22	это не	1	3
23	было бы	12	3
24	как и	8	3
25	для этого	2	3
26	в частности	1	3
27	в своей	5	3
28	очевидно что	2	3
29	в то	3	3
30	все же	8	3
31	но в	3	3
32	не следует	1	3
33	у нас	2	3
34	другой стороны	5	3
35	для него	2	3
36	не как	1	3
37	не о	1	3
38	что все	3	2
39	а между	1	2
40	именно как	1	2
41	одним из	1	2
42	и с	1	2
43	художественного произведения	1	2
44	до сих	6	2
45	каждом шагу	1	2
46	это было	1	2
47	самом деле	21	2
48	прием и	1	2
49	в итоге	1	2
50	должна быть	5	2
51	к области	1	2
52	в некоторых	1	2
53	превращается в	1	2
54	мы не	5	2
55	о чем	1	2
56	на эту	1	2
57	если бы	14	2
58	что мы	1	2
59	ничего не	2	2
60	не столько	1	2
61	если не	1	2
62	должна была	1	2
63	том что	14	2
64	прием в	1	2
65	надо было	2	2
66	ни от	1	2
67	на каждом	1	2
68	нас в	1	2
69	но конечно	1	2
70	с его	1	2
71	но не	1	2
72	в сторону	1	2
73	думается что	1	2
74	не все	1	2
75	в его	5	2
76	по существу	2	2
77	что и	4	2
78	приемов и	1	2
79	сих пор	5	2
80	но это	3	2
81	могли бы	5	2
82	в том	25	2
83	и для	4	2
84	что он	11	2
85	в себе	4	2
86	искусства как	1	2
87	при таком	2	2
88	в самом	25	2
89	между тем	7	2
90	и у	1	2
91	только в	4	2
92	не в	12	2
93	для всех	2	2
94	все они	2	2
95	не есть	1	2
96	этом отношении	1	2
97	всех этих	2	2
98	их и	1	2
99	не могут	2	2
100	в конце	2	2
101	смысле этого	2	2
102	же самое	10	2
103	как раз	8	2
104	тем что	3	2
105	что она	16	2
106	таким образом	12	2
107	правило не	1	1
108	и это	8	1
109	тем в	2	1
110	гораздо больше	1	1
111	поэзии и	2	1
112	есть конечно	1	1
113	же как	1	1
114	но по	1	1
115	то есть	15	1
116	в виду	4	1
117	данном случае	2	1
118	или иначе	1	1
119	только при	1	1
120	для читателя	2	1
121	и прежде	1	1
122	от смысла	1	1
123	поэзию как	1	1
124	идет не	1	1
125	много в	1	1
126	из первых	1	1
127	сам автор	3	1
128	что для	1	1
129	слова а	1	1
130	никогда не	4	1
131	так и	1	1
132	по его	3	1
133	одной стороны	5	1
134	той же	2	1
135	относится к	1	1
136	до конца	2	1
137	часто бывает	1	1
138	с тем	8	1
139	мы имеем	1	1
140	именно этот	1	1
141	до крайности	4	1
142	была уже	1	1
143	ничего подобного	1	1
144	ошибочны очень	1	1
145	дан в	1	1
146	очень легко	4	1
147	в словах	1	1
148	и даже	4	1
149	должно быть	1	1
150	иначе говоря	5	1
151	и форм	1	1
152	с успехом	1	1
153	можно сказать	1	1
154	из приемов	1	1
155	или менее	1	1
156	никогда и	1	1
157	и направлено	1	1
158	этом плане	1	1
159	словесного искусства	1	1
160	как на	3	1
161	о том	6	1
162	в ней	15	1
163	и потому	1	1
164	относятся к	1	1
165	почти не	1	1
166	в котором	6	1
167	только для	3	1
168	и что	18	1
169	она в	3	1
170	он был	3	1
171	из которых	4	1
172	в пользу	1	1
173	чем то	1	1
174	этой основной	1	1
175	литературные произведения	1	1
176	приемов к	1	1
177	признать что	2	1
178	он будет	1	1
179	временной последовательности	1	1
180	в течение	4	1
181	в той	5	1
182	он может	2	1
183	в данном	2	1
184	этих слов	1	1
185	что же	2	1
186	не то	4	1
187	бы в	3	1
188	того что	4	1
189	друг другу	2	1
190	в которых	6	1
191	доказывает что	1	1
192	их в	2	1
193	на его	1	1
194	говорит он	2	1
195	тому чтобы	1	1
196	это значит	1	1
197	что этот	4	1
198	нет и	1	1
199	на то	16	1
200	быть не	2	1
201	него не	1	1
202	определяется не	1	1
203	лучше и	1	1
204	и вся	1	1
205	отнюдь не	2	1
206	она не	6	1
207	которые могли	1	1
208	еще раз	1	1
209	независимо от	1	1
210	так он	1	1
211	больше к	1	1
212	когда мне	2	1
213	в своем	5	1
214	что с	4	1
215	рассказывается в	2	1
216	раз обратное	1	1
217	как нам	1	1
218	при построении	1	1
219	и все	10	1
220	того как	3	1
221	что только	2	1
222	как автора	1	1
223	которые подходят	2	1
224	она должна	3	1
225	на предыдущих	1	1
226	тот же	3	1
227	которых она	1	1
228	в поэтическом	1	1
229	а оно	1	1
230	более или	1	1
231	уж тем	1	1
232	подходят к	1	1
233	высокую оценку	1	1
234	и действительно	2	1
235	которое мы	3	1
236	верно и	1	1
237	в точном	1	1
238	сторону от	1	1
239	по мнению	2	1
240	так много	1	1
241	в которой	5	1
242	о котором	5	1
243	больше чем	4	1
244	это то	1	1
245	не было	1	1
246	находятся в	2	1
247	он в	2	1
248	это же	2	1
249	с одной	6	1
250	с которыми	1	1
251	в качестве	2	1
252	без этого	1	1
253	случае он	1	1
254	в известном	1	1
255	можем его	1	1
256	начала и	1	1
257	с новой	1	1
258	что по	3	1
259	уже не	2	1
260	творчество и	1	1
261	далеко не	3	1
262	имеем в	1	1
263	ее как	1	1
264	то и	3	1
265	подобным образом	1	1
266	же в	2	1
267	в виде	2	1
268	теории и	1	1
269	в нем	4	1
270	точном смысле	1	1
271	но если	4	1
272	он не	6	1
273	сказать что	4	1
274	только как	1	1
275	вводится в	1	1
276	очень часто	2	1
277	одно из	2	1
278	равно как	1	1
279	и так	1	1
280	он и	1	1
281	в отдельности	1	1
282	что под	3	1
283	поэтических приемов	2	1
284	это верно	2	1
285	с каждым	2	1
286	может служить	7	1
287	но он	2	1
288	но что	2	1
289	у него	4	1
290	самые слова	1	1
291	мы можем	7	1
292	в противоположную	1	1
293	так то	1	1
294	ее в	4	1
295	и эстетики	1	1
296	и эта	1	1
297	это в	1	1
298	что при	1	1
299	отказаться от	1	1
300	к этому	3	1
301	что в	20	1
302	в таком	3	1
303	все что	1	1
304	бы это	1	1
