N	3gram	Tiupa_Anal_2	EvropaiE
1	с точки зрения	2	16
2	в то же	2	15
3	то же время	2	14
4	в отношении к	1	12
5	с одной стороны	4	8
6	в том что	6	6
7	с этой точки	1	5
8	этой точки зрения	1	5
9	не только в	2	4
10	и в этом	4	4
11	того или иного	3	4
12	той или иной	3	4
13	в этом смысле	2	3
14	хотя бы и	1	3
15	в этом отношении	3	3
16	можно было бы	2	3
17	в применении к	1	3
18	в известном смысле	1	3
19	друг с другом	1	3
20	в общем строе	1	3
21	можно сказать что	1	3
22	сказать что в	1	2
23	прежде всего в	1	2
24	между прочим и	1	2
25	имеет место в	1	2
26	а тем более	1	2
27	в данном случае	5	2
28	тому или иному	1	2
29	заключается в том	1	2
30	с другой стороны	2	2
31	не может быть	1	2
32	в частности в	2	2
33	в свою очередь	1	2
34	на то что	2	2
35	во второй половине	1	2
36	более или менее	1	1
37	в тех случаях	1	1
38	в соответствии с	2	1
39	то что с	1	1
40	несмотря на то	1	1
41	то и другое	1	1
42	в отличие от	2	1
43	но и в	1	1
44	тех случаях когда	1	1
45	к тому или	1	1
46	с другой и	1	1
47	несмотря на его	1	1
48	на этот вопрос	1	1
49	в противном случае	1	1
50	не имеет никаких	1	1
51	мы видим как	1	1
52	как это случается	1	1
53	на этот раз	1	1
54	и тот же	1	1
55	в значительной степени	2	1
56	во всех этих	1	1
57	то его можно	1	1
58	в связи с	1	1
59	в полной мере	1	1
60	не может остаться	1	1
61	учитывая то что	1	1
62	отнюдь не исключает	1	1
63	том смысле что	1	1
64	то есть в	2	1
65	и тем самым	2	1
66	но и для	1	1
67	они относятся к	1	1
68	ли он в	1	1
69	речь идет о	1	1
70	следует оговориться что	2	1
71	к тому что	1	1
72	в том смысле	1	1
73	тех или иных	2	1
74	всех этих случаях	1	1
75	в себе не	1	1
76	к тому же	4	1
