N	2gram	Ircho_Kome_3	StatiiOP
1	и в	22	25
2	в этом	8	24
3	в том	12	20
4	что он	8	19
5	может быть	6	19
6	тем что	5	19
7	что в	5	19
8	том что	13	15
9	в этой	3	14
10	не только	5	12
11	в г	2	12
12	в его	8	12
13	г и	2	12
14	то что	4	12
15	в этих	1	11
16	так что	6	11
17	таким образом	12	10
18	прежде всего	5	10
19	и не	21	10
20	у него	4	9
21	но и	4	9
22	и т	4	8
23	все это	5	8
24	о том	8	8
25	это было	1	8
26	т е	16	8
27	в своих	2	8
28	из его	2	7
29	с этим	3	7
30	это не	2	7
31	было бы	3	7
32	в то	6	7
33	не может	3	7
34	что касается	2	7
35	точки зрения	4	7
36	г в	2	6
37	место в	1	6
38	в сцене	1	6
39	и на	2	6
40	как в	2	6
41	из этих	1	6
42	не в	4	6
43	в трагедии	1	6
44	между тем	2	6
45	только в	1	6
46	т п	4	6
47	в конце	7	6
48	в области	2	6
49	как бы	3	6
50	а в	7	6
51	как на	1	6
52	отношения между	1	5
53	то же	7	5
54	ответ на	1	5
55	то обстоятельство	2	5
56	независимо от	1	5
57	но в	5	5
58	на то	3	5
59	он не	5	5
60	об этом	7	5
61	говорил что	1	5
62	ни в	10	5
63	мы имеем	1	5
64	в котором	2	5
65	потому что	10	5
66	обстоятельство что	2	5
67	и это	2	5
68	так и	4	5
69	в них	3	5
70	с другой	4	5
71	а не	4	5
72	такого рода	1	5
73	другой стороны	2	5
74	например в	1	4
75	в которой	3	4
76	в рукописи	2	4
77	время как	2	4
78	из которых	2	4
79	в чем	1	4
80	относится к	1	4
81	все же	4	4
82	не было	2	4
83	и к	3	4
84	то в	1	4
85	в целом	3	4
86	на его	2	4
87	состоит в	2	4
88	в каждом	1	4
89	и тем	1	4
90	с тем	4	4
91	как и	3	4
92	а как	2	4
93	по крайней	1	4
94	в устах	1	4
95	с точки	3	4
96	ничего не	3	4
97	к ней	8	4
98	этом отношении	2	4
99	в ней	4	4
100	и с	4	4
101	если бы	8	4
102	можно сказать	1	4
103	а также	2	4
104	к нему	5	4
105	мы видим	1	4
106	всего в	1	4
107	в качестве	2	4
108	в начале	3	4
109	всяком случае	3	4
110	отношение к	5	4
111	то время	2	4
112	крайней мере	1	4
113	действующих лиц	1	4
114	он говорит	2	4
115	в течение	3	4
116	что здесь	1	4
117	в смысле	1	4
118	и для	4	4
119	сказать что	1	4
120	была бы	1	4
121	в своей	5	4
122	из этого	2	4
123	это в	2	4
124	можно назвать	1	4
125	во всяком	3	4
126	я и	1	3
127	по мнению	2	3
128	говорить о	3	3
129	он был	4	3
130	или из	1	3
131	с его	3	3
132	что по	1	3
133	и наконец	1	3
134	все эти	1	3
135	и если	2	3
136	на этом	1	3
137	от нее	3	3
138	в другом	2	3
139	нет в	1	3
140	показывает что	1	3
141	несмотря на	4	3
142	в их	2	3
143	что я	1	3
144	но он	1	3
145	тому что	2	3
146	во время	6	3
147	на тему	1	3
148	же время	5	3
149	связи с	5	3
150	и здесь	4	3
151	сцены из	1	3
152	что все	1	3
153	со стороны	11	3
154	на вопрос	2	3
155	и что	6	3
156	по этому	1	3
157	и его	6	3
158	вот что	1	3
159	уже в	2	3
160	не так	3	3
161	так как	11	3
162	в некоторых	1	3
163	как раз	6	3
164	сцена из	2	3
