N	3gram	Bakhtin_KF_1	Mirosoze
1	не может быть	11	17
2	не было бы	3	5
3	вместе с тем	1	5
4	а не в	2	4
5	потому что в	1	3
6	не может не	1	2
7	по отношению к	22	2
8	уже не только	1	2
9	себя в своем	1	2
10	он не может	1	2
11	хотя бы и	1	2
12	в том смысле	1	2
13	в иной мир	1	2
14	в движении в	1	2
15	это не значит	1	2
16	на этом пути	1	2
17	никогда не может	1	2
18	для того чтобы	1	2
19	но и от	1	1
20	на том что	1	1
21	а не к	1	1
22	нет и не	1	1
23	ничего не остается	1	1
24	никогда не было	1	1
25	не единство а	1	1
26	имеем в виду	2	1
27	будет ли она	1	1
28	если он не	1	1
29	бы он ни	2	1
30	мир в котором	7	1
31	в зависимости от	1	1
32	не есть для	1	1
33	он должен быть	1	1
34	но это не	1	1
35	есть лишь момент	3	1
36	и кажется что	1	1
37	все это лишь	1	1
38	к нему подхода	1	1
39	он ни был	2	1
40	в том случае	1	1
41	может быть и	1	1
42	том смысле в	1	1
43	до конца и	1	1
44	и не быть	2	1
45	на своем я	1	1
46	отношению к нему	4	1
47	в значительной степени	1	1
48	и по отношению	1	1
49	во всех этих	2	1
50	и менее всего	1	1
51	в котором не	1	1
52	для него и	1	1
53	не в том	1	1
54	в этот момент	1	1
55	это-то и есть	1	1
56	в своей истории	1	1
57	во всяком случае	1	1
58	одна и та	1	1
59	когда мы говорим	1	1
60	между тем как	3	1
61	в этом смысл	1	1
62	но не было	1	1
63	люди а не	1	1
64	он за тобой	1	1
65	и не должно	1	1
66	что и в	1	1
67	но не в	1	1
68	мог бы быть	1	1
69	не значит что	1	1
70	и та же	1	1
71	в себе в	1	1
72	в том что	2	1
73	с разных точек	1	1
74	не только от	1	1
75	не имеет смысла	1	1
76	ее уже нет	1	1
