N	3gram	Tiupa_Hudo_2	Analitik
1	в том что	11	7
2	по отношению к	7	7
3	о том что	7	5
4	с другой стороны	1	5
5	так и не	4	5
6	как и в	3	4
7	мы имеем дело	1	4
8	в то же	4	3
9	то же время	4	3
10	а всего лишь	2	3
11	не только не	2	3
12	к тому же	2	3
13	роли в миропорядке	2	3
14	в этом отношении	1	3
15	той или иной	1	3
16	в данном случае	2	3
17	подобно тому как	4	2
18	а в том	1	2
19	с одной стороны	3	2
20	на наш взгляд	4	2
21	не более чем	2	2
22	можно сказать что	1	2
23	в ответ на	1	2
24	едва ли не	1	2
25	что несмотря на	1	2
26	в значительной степени	1	2
27	в конечном счете	3	2
28	тот или иной	1	2
29	как нам представляется	1	2
30	при этом он	1	2
31	с точки зрения	2	2
32	дело в том	1	2
33	тем не менее	3	2
34	заключается в том	1	1
35	принимает на себя	1	1
36	в точке этого	1	1
37	при этом что	1	1
38	по нашему убеждению	1	1
39	в самом центре	1	1
40	в таком случае	1	1
41	с этого момента	1	1
42	можно судить по	1	1
43	в миропорядке то	1	1
44	так или иначе	1	1
45	сказать что они	1	1
46	в одном из	1	1
47	составляет своего рода	2	1
48	друг от друга	1	1
49	того или иного	2	1
50	подлинно художественное произведение	1	1
51	в самом начале	1	1
52	читателя не случайно	1	1
53	после слов о	1	1
54	однако и здесь	1	1
55	именно потому что	1	1
56	это уже не	1	1
57	в один ряд	1	1
58	самим собою в	1	1
59	до сих пор	2	1
60	имеем дело с	1	1
61	выступает модусом художественности	1	1
62	в повседневную жизнь	1	1
63	в этом контексте	1	1
64	в художественном мире	1	1
65	хотя бы и	2	1
66	а с другой	1	1
67	человека и его	1	1
68	что и в	1	1
69	обратим внимание на	1	1
70	но с другой	1	1
71	тогда как в	2	1
72	что он не	1	1
73	легко может быть	1	1
74	в этом случае	1	1
75	но и его	1	1
76	и т.п в	1	1
77	происходит ли с	1	1
78	как бы в	1	1
79	или иначе в	1	1
80	на мысль о	1	1
81	с самим собою	1	1
82	в этой роли	1	1
83	представляет собой один	1	1
84	для того чтобы	3	1
85	разрешается в ничто	1	1
86	но еще и	2	1
87	не только в	2	1
88	собой один из	1	1
89	мысли и чувства	1	1
90	между тем в	1	1
91	по сути дела	1	1
92	в самом деле	3	1
93	и не могла	1	1
94	иного рода это	1	1
95	и все же	1	1
96	тогда как сам	1	1
97	лишь в том	1	1
98	в частности и	1	1
99	в первом случае	1	1
100	о которых в	1	1
101	не нуждается в	1	1
102	на жизнь и	1	1
103	а не как	1	1
104	между тем как	1	1
105	дело здесь не	1	1
106	в противоречие с	1	1
107	присутствия в мире	1	1
108	а между тем	3	1
109	не может быть	3	1
