N	2gram	Medvedev_B_1	Freidism
1	таким образом	1	24
2	и не	2	23
3	прежде всего	1	18
4	так и	1	10
5	и потому	1	10
6	и в	1	9
7	еще не	1	8
8	в своей	1	8
9	все это	2	8
10	не только	1	8
11	во всяком	1	7
12	всяком случае	1	7
13	в ней	2	6
14	совершенно не	1	6
15	за пределы	1	6
16	и ее	1	6
17	что в	1	5
18	на самом	1	5
19	и на	1	5
20	все же	1	4
21	говорить о	1	4
22	не было	1	4
23	между ними	1	4
24	и о	1	4
25	об этом	1	4
26	в пределах	1	4
27	в данном	1	4
28	что все	1	3
29	было бы	1	3
30	в области	1	2
31	на которой	1	2
32	до конца	1	2
33	а не	1	2
34	с другой	1	2
35	вопрос о	1	1
36	крайней мере	1	1
37	о них	1	1
38	и во	1	1
39	точке зрения	1	1
40	по теории	1	1
41	чем на	1	1
42	к ней	1	1
43	остановиться на	1	1
44	в эпоху	1	1
45	со всем	1	1
46	по крайней	1	1
47	будто бы	1	1
48	не склонен	1	1
49	точно и	1	1
50	далеко не	1	1
51	тем более	1	1
52	свести к	1	1
53	является только	1	1
54	в книге	1	1
55	творчества и	1	1
56	по меньшей	1	1
57	и нет	1	1
58	не следует	1	1
59	говорить об	1	1
60	говорить не	1	1
61	представляется нам	1	1
62	как будто	1	1
63	меньшей мере	1	1
64	отнюдь не	1	1
