N	4gram	Bakhtin_sl_1	Problemy
1	в то же время	12	10
2	в той или иной	9	4
3	но в то же	4	4
4	одно и то же	2	3
5	бы то ни было	1	3
6	той или иной степени	9	2
7	и в то же	5	2
8	пределах одного синтаксического целого	1	1
9	дело в том что	1	1
10	в пределах одного синтаксического	1	1
11	в большей или меньшей	3	1
12	с самого начала в	1	1
13	оглядки на чужое слово	1	1
14	так и в отношении	1	1
15	но как мы сказали	1	1
16	как в отношении к	1	1
17	и прежде всего в	1	1
18	в то время как	2	1
19	как мы сказали и	1	1
20	большей или меньшей степени	3	1
21	том и в другом	2	1
22	и в отношении к	1	1
23	и в том и	2	1
24	то же время он	1	1
25	как бы ни был	1	1
26	и то же слово	2	1
27	в том и в	2	1
28	и на протяжении всего	1	1
29	бы они ни были	1	1
30	или во всяком случае	2	1
