N	2gram	Nazirov_Tv_2	Vvedenie
1	и т	13	42
2	т д	11	36
3	и в	20	32
4	в том	8	31
5	в этом	8	30
6	может быть	8	26
7	том что	4	26
8	не только	13	22
9	таким образом	10	19
10	то что	3	16
11	потому что	7	15
12	так как	3	15
13	не может	7	14
14	в нем	3	13
15	в самом	3	13
16	со стороны	1	13
17	о том	5	13
18	как на	1	12
19	и не	9	12
20	только в	2	12
21	в их	3	12
22	в его	10	12
23	представляет собой	1	12
24	в ее	2	11
25	как мы	1	11
26	ясно что	1	11
27	что в	7	10
28	по себе	1	9
29	между тем	3	9
30	в истории	2	9
31	то же	7	9
32	но в	4	9
33	и как	1	9
34	не менее	2	8
35	не в	4	8
36	а только	1	8
37	именно в	6	8
38	с другой	2	8
39	это не	7	8
40	но не	5	7
41	все же	5	7
42	прежде всего	8	7
43	как нечто	1	7
44	в применении	1	7
45	только как	1	7
46	самом деле	2	7
47	было бы	1	7
48	к выводу	1	7
49	можно было	1	7
50	же время	7	6
51	вовсе не	2	6
52	сих пор	3	6
53	до сих	3	6
54	его в	3	6
55	но и	8	6
56	и даже	5	6
57	как и	6	6
58	и его	9	6
59	в то	10	6
60	один из	3	6
61	в руки	2	6
62	тем что	3	6
63	не могут	1	6
64	все это	6	6
65	и это	3	6
66	из этих	1	6
67	этот вопрос	3	6
68	том чтобы	1	6
69	применении к	1	6
70	одним из	3	5
71	видеть что	1	5
72	т п	2	5
73	на этот	2	5
74	а не	6	5
75	об этом	4	5
76	так что	2	5
77	но если	2	5
78	в целом	6	5
79	что не	3	5
80	сказать что	1	5
81	вместе с	3	5
82	в течение	1	5
83	с их	1	5
84	в них	1	5
85	другой стороны	2	5
86	могут быть	2	5
87	представляют собой	1	5
88	в которых	3	5
89	быть в	1	5
90	в г	1	5
91	уже в	2	5
92	так например	3	5
93	как бы	11	5
94	не есть	1	5
95	в себе	3	4
96	еще не	5	4
97	во всяком	2	4
98	связи между	1	4
99	и для	1	4
100	по мере	1	4
101	отношению к	3	4
102	и ее	2	4
103	крайней мере	2	4
104	по крайней	2	4
105	как раз	1	4
106	в виде	2	4
107	как это	1	4
108	в своей	6	4
109	а в	4	4
110	смотреть на	1	4
111	в тексте	1	4
112	с этой	3	4
113	что он	6	4
114	как уже	1	4
115	по отношению	3	4
116	на вопрос	1	4
117	связана с	1	4
118	только с	2	4
119	как она	1	4
120	не имеет	1	4
121	в первом	1	4
122	всяком случае	2	4
123	не просто	1	4
124	уже не	3	4
125	в каждом	1	4
126	но ведь	2	4
127	в котором	3	4
128	с одной	1	4
129	и что	2	4
130	той же	1	4
131	должен был	1	4
132	как о	2	4
133	все эти	4	3
134	в в	1	3
135	и вот	1	3
136	говорить о	2	3
137	так же	5	3
138	в известной	4	3
139	при этом	8	3
140	с прошлым	1	3
141	может служить	2	3
142	связи с	1	3
143	известном смысле	1	3
144	и вообще	2	3
145	раньше чем	1	3
146	если бы	4	3
147	в конце	6	3
148	что это	1	3
149	и есть	2	3
150	в одном	2	3
151	а потому	1	3
152	что уже	1	3
153	ответ на	1	3
154	стороны и	1	3
155	в начале	3	3
156	что же	1	3
157	одной из	3	3
158	в области	1	3
159	уже после	2	3
160	отношение к	1	3
161	к тому	1	3
162	мы видели	1	3
163	хотя и	4	3
164	и других	2	3
165	духовной жизни	1	3
166	во второй	1	3
167	и к	1	3
168	нет сомнений	2	3
169	быта и	1	3
170	текста и	1	3
171	за собой	4	3
172	в чем	4	3
173	своего рода	3	3
174	дело в	1	3
175	наук в	1	3
176	такого рода	1	3
177	в конечном	1	3
178	в этой	5	3
179	не вполне	1	3
180	в этих	1	3
181	что и	1	3
182	и на	5	3
183	однако не	1	3
184	в результате	1	3
185	в различных	1	3
186	при помощи	2	3
187	наука о	1	3
188	в известном	1	3
189	в прямом	1	3
190	должен быть	1	3
191	однако в	1	3
192	в работе	1	3
193	в частности	2	3
194	то это	1	3
195	к этому	3	3
196	что она	4	3
197	заключается в	1	3
198	что с	1	3
199	как будто	1	3
200	сливается с	1	3
201	он сам	3	3
202	из них	2	3
203	в виду	1	3
204	об отношении	1	3
205	в основании	1	3
206	может оказаться	1	3
207	зависит от	2	3
208	том же	2	2
209	и здесь	1	2
210	и с	8	2
211	в другом	1	2
212	в связи	1	2
213	входит в	1	2
214	тогда как	3	2
215	мы говорим	1	2
216	не к	1	2
217	в этот	2	2
218	вряд ли	1	2
219	для них	1	2
220	так и	6	2
221	и со	1	2
222	не было	2	2
223	рядом с	2	2
224	романов достоевского	5	2
225	с ней	1	2
226	влечет за	2	2
227	наукой в	1	2
228	это еще	1	2
229	мы не	4	2
230	и другие	1	2
231	который по	1	2
232	во всех	1	2
233	другом месте	1	2
234	казалось бы	3	2
235	человеческой культуры	2	2
236	собой в	1	2
237	его к	1	2
238	в принципе	4	2
239	книге к	1	2
240	не мог	1	2
241	целом ряде	1	2
242	нуждается в	1	2
243	или иной	1	2
244	в силу	1	2
245	между ними	1	2
246	но зато	3	2
247	самое же	1	2
248	о которой	1	2
249	никогда не	11	2
250	не с	1	2
251	традиции и	3	2
252	из его	1	2
253	д все	1	2
254	мысли и	1	2
255	после этого	1	2
256	к самой	1	2
257	не считал	1	2
258	в дальнейшем	4	2
259	мог бы	1	2
260	все время	2	2
261	что если	1	2
262	у нас	2	2
263	и требует	1	2
264	истории в	1	2
265	но уже	3	2
266	первом из	1	2
267	с этим	1	2
268	и сам	5	2
269	в создании	1	2
270	которые были	1	2
271	должно быть	1	2
