N	2gram	Tiupa_Hudo_1	VerxiiNi
1	и в	19	26
2	таким образом	3	22
3	в этом	11	15
4	вместе с	1	15
5	точки зрения	10	13
6	как бы	9	12
7	в том	18	11
8	из этих	3	10
9	не только	16	10
10	может быть	14	10
11	связи с	1	9
12	в области	6	9
13	так как	1	9
14	но и	10	9
15	что в	6	9
16	но не	11	8
17	с другой	7	8
18	и не	15	8
19	но в	7	7
20	из них	1	7
21	том что	8	7
22	потому что	3	7
23	к нему	3	7
24	с одной	2	7
25	то что	4	7
26	а с	2	7
27	одной стороны	2	7
28	того же	2	6
29	все эти	2	6
30	в себе	9	6
31	с точки	3	6
32	в отношении	3	6
33	к тому	4	6
34	так и	11	6
35	и т.д	3	6
36	о том	2	6
37	в конце	1	6
38	что и	2	6
39	и потому	2	6
40	все это	2	6
41	отношение к	5	5
42	и к	3	5
43	тому же	1	5
44	в силу	1	5
45	в мире	21	5
46	лишь в	4	5
47	или менее	5	5
48	по крайней	1	5
49	не имеет	1	5
50	того чтобы	2	5
51	никогда не	2	5
52	для того	2	5
53	в его	9	5
54	крайней мере	1	5
55	а не	9	5
56	к жизни	2	5
57	и для	2	5
58	так же	2	5
59	одной из	2	5
60	более или	5	5
61	том числе	2	5
62	в котором	1	4
63	то же	10	4
64	в самом	5	4
65	в этой	2	4
66	и по	2	4
67	что все	1	4
68	то есть	18	4
69	с другими	4	4
70	должен был	1	4
71	он не	4	4
72	далеко не	2	4
73	в то	6	4
74	в нем	5	4
75	а в	12	4
76	числе и	1	4
77	и что	3	4
78	только в	5	4
79	не может	7	4
80	из которых	1	4
81	и от	1	4
82	в этих	3	4
83	что он	3	4
84	же как	1	3
85	не вполне	2	3
86	если в	1	3
87	в своем	2	3
88	и как	3	3
89	в которой	2	3
90	что это	1	3
91	так или	3	3
92	и те	1	3
93	духовной культуры	2	3
94	при этом	13	3
95	тем не	3	3
96	если бы	3	3
97	то с	1	3
98	не менее	3	3
99	представляет собой	10	3
100	и о	3	3
101	на нее	1	3
102	можно сказать	5	3
103	в значительной	1	3
104	путь к	1	3
105	того что	4	3
106	но с	1	3
107	в качестве	24	3
108	так что	1	3
109	из которого	4	3
110	уже не	4	3
111	а после	1	3
112	для него	4	3
113	в одном	2	3
114	к ним	1	3
115	случае не	2	3
116	и даже	1	3
117	или иначе	4	3
118	в связи	1	3
119	в рамках	8	3
120	каждая из	2	3
121	с этой	1	3
122	в результате	1	3
123	отношению к	9	3
124	и другие	2	3
125	в таком	1	3
126	точно так	1	3
127	одним из	1	2
128	и это	2	2
129	и больше	2	2
130	мы имеем	6	2
131	жизни по	1	2
132	еще не	3	2
133	и на	2	2
134	бы то	1	2
135	с его	6	2
136	во всех	3	2
137	оно является	1	2
138	или иное	1	2
139	на то	1	2
140	не могла	1	2
141	не как	2	2
142	состоит в	16	2
143	его можно	1	2
144	заключает в	1	2
145	то ни	1	2
146	те же	1	2
147	направляется к	1	2
148	в них	2	2
149	не всегда	1	2
150	но если	1	2
151	которые в	1	2
152	не в	7	2
153	без остатка	2	2
154	героев и	1	2
155	не могло	2	2
156	в самой	2	2
157	же время	5	2
158	в русском	1	2
159	и является	1	2
160	и здесь	1	2
161	начиная с	2	2
162	не могут	1	2
163	те и	1	2
164	отличается от	2	2
165	той или	4	2
166	то или	1	2
167	приводит к	5	2
168	не с	2	2
169	можно только	1	2
170	для этого	1	2
171	мысль о	1	2
172	в виду	5	2
173	а также	5	2
174	между тем	4	2
175	вслед за	1	2
176	наконец в	1	2
177	быть и	2	2
178	по своей	7	2
179	один из	2	2
180	области духовной	1	2
181	тот же	1	2
182	между этими	1	2
183	со всеми	1	2
184	свидетельствует о	1	2
185	одно из	2	2
186	из своих	1	2
187	или иной	7	2
188	именно в	2	2
189	по своим	1	2
190	к которому	4	2
191	прежде всего	4	2
192	превращается в	2	2
193	не было	1	2
194	когда же	1	2
195	в одно	2	2
196	если не	1	2
197	и особенно	2	2
198	требует от	1	2
199	человек должен	1	2
200	и мир	1	2
201	по своему	2	2
202	после его	1	2
203	есть как	2	2
204	никем не	1	2
205	только для	1	2
206	же самое	1	2
207	тем и	1	2
208	о котором	1	2
209	совершенно иной	2	2
210	ни было	1	2
211	в свою	3	2
212	сказать что	4	2
213	к его	2	2
214	одновременно и	1	2
215	либо в	2	2
216	из этого	2	2
217	жизни и	1	2
218	можно назвать	1	2
219	все что	1	2
220	этой точки	1	2
221	можно говорить	1	1
222	в сфере	1	1
223	таком случае	1	1
224	чтобы не	1	1
225	начинается с	1	1
226	и через	1	1
227	живое существо	1	1
228	или к	1	1
229	это и	1	1
230	другому человеку	1	1
231	мере в	1	1
232	в самостоятельный	1	1
233	и есть	1	1
234	этого мира	1	1
235	в первом	1	1
236	не затрагивая	1	1
