N	2gram	Trubetskoy_1	Hudozhes
1	в мире	5	23
2	в качестве	3	19
3	то есть	4	18
4	состоит в	2	16
5	и не	8	16
6	не только	10	15
7	и в	26	15
8	в том	11	15
9	тогда как	1	13
10	может быть	10	13
11	при этом	3	12
12	и его	1	12
13	а в	4	12
14	но не	8	11
15	в этом	15	11
16	в себе	6	11
17	то же	4	10
18	по отношению	1	10
19	представляет собой	3	10
20	как бы	12	10
21	так и	6	10
22	а не	5	10
23	отношению к	3	10
24	но и	9	10
25	точки зрения	13	9
26	в его	5	9
27	в рамках	3	8
28	в миропорядке	1	8
29	себя в	1	8
30	в душе	1	8
31	отличие от	1	7
32	но в	7	7
33	в отличие	1	7
34	в то	4	7
35	или иной	2	7
36	с другой	8	7
37	с его	2	6
38	отношение к	5	6
39	том что	7	6
40	не в	2	6
41	же время	2	6
42	по своей	2	6
43	в ее	1	6
44	приводит к	2	6
45	в состав	1	6
46	не может	4	6
47	что в	9	6
48	в их	1	5
49	более или	5	5
50	в самом	4	5
51	то что	7	5
52	ни в	1	5
53	могут быть	1	5
54	той или	2	5
55	с ее	1	5
56	картина мира	1	5
57	можно сказать	3	5
58	а также	2	5
59	того что	3	5
60	только в	4	5
61	уже не	3	5
62	другой стороны	1	5
63	или менее	5	5
64	в нем	4	5
65	отношения к	1	4
66	мы имеем	2	4
67	место в	1	4
68	еще не	2	4
69	как к	1	4
70	и как	3	4
71	роли в	1	4
72	он не	4	4
73	в слове	1	4
74	в этих	4	4
75	в своей	1	4
76	и т.д	6	4
77	входит в	1	4
78	между тем	2	4
79	для него	3	4
80	к которому	2	4
81	прежде всего	2	4
82	к тому	6	4
83	сказать что	2	4
84	того же	6	3
85	и ее	1	3
86	в виду	2	3
87	и к	5	3
88	в которой	3	3
89	не следует	1	3
90	он должен	1	3
91	лишь в	5	3
92	его в	1	3
93	это не	1	3
94	к области	1	3
95	как и	1	3
96	одного и	1	3
97	с точки	6	3
98	все прочие	1	3
99	тем не	3	3
100	их в	1	3
101	однако в	1	3
102	в отношении	6	3
103	не менее	3	3
104	как раз	1	3
105	потому что	7	3
106	к его	2	3
107	если бы	3	3
108	и что	4	3
109	что он	4	3
110	к нему	7	3
111	во втором	1	3
112	во всей	1	3
113	и того	1	3
114	или иным	1	3
115	в области	9	3
116	далеко не	4	3
117	человеческой жизни	1	3
118	по своему	2	3
119	о чем	1	3
120	в данном	1	3
121	в той	1	3
122	и для	5	3
123	таким образом	22	3
124	миропорядка и	1	3
125	в свою	2	3
126	и состоит	1	3
127	в таком	3	3
128	таком случае	1	2
129	человека и	1	2
130	и это	2	2
131	это и	1	2
132	идет о	1	2
133	и больше	2	2
134	совпадает с	1	2
135	не вполне	3	2
136	личности с	1	2
137	и на	2	2
138	в чем	1	2
139	в своем	3	2
140	это тоже	1	2
141	в себя	1	2
142	все эти	6	2
143	в нашем	1	2
144	всей своей	1	2
145	в этой	4	2
146	с их	1	2
147	вследствие этого	1	2
148	не как	2	2
149	в силу	5	2
150	на этом	1	2
151	единое целое	1	2
152	времени в	1	2
153	по себе	1	2
154	в них	2	2
155	несмотря на	6	2
156	с другими	4	2
157	и некоторые	1	2
158	известной степени	1	2
159	и более	1	2
160	до известной	1	2
161	даже в	1	2
162	связей с	1	2
163	дело не	1	2
164	не могло	2	2
165	не является	1	2
166	не принадлежат	1	2
167	без остатка	2	2
168	числе и	4	2
169	для себя	1	2
170	и о	3	2
171	того чтобы	5	2
172	свою очередь	1	2
173	здесь не	1	2
174	тем или	1	2
175	к жизни	5	2
176	роль в	1	2
177	о полку	1	2
178	о том	6	2
179	в глаза	1	2
180	в значительной	3	2
181	именно в	2	2
182	а именно	1	2
183	ни к	1	2
184	мире и	1	2
185	с одной	7	2
186	из которого	3	2
187	полку игореве	1	2
188	что сама	1	2
189	одно из	2	2
190	никто не	1	2
191	и прежде	1	2
192	в одном	3	2
193	у него	1	2
194	случае не	3	2
195	для того	5	2
196	на почве	1	2
197	или иначе	3	2
198	а с	7	2
199	жизни то	1	2
200	превращается в	2	2
201	одной стороны	7	2
202	слове о	1	2
203	существующее в	1	2
204	мира в	1	2
205	в сторону	1	2
206	начиная с	2	2
207	так же	5	2
208	и особенно	2	2
209	и потому	6	2
210	как в	1	2
211	из которых	4	2
212	так или	3	2
213	и по	4	2
214	о его	1	2
215	во всех	2	2
216	речь идет	1	2
217	мира и	1	2
218	совершенно иной	2	2
219	тем более	1	2
220	с ним	1	2
221	одной из	5	2
222	либо в	2	2
223	культуры в	1	2
224	из этого	2	2
225	том числе	5	2
226	этого в	1	1
227	в сфере	1	1
228	же как	3	1
229	чтобы не	1	1
230	начинается с	1	1
231	и через	1	1
232	другому человеку	1	1
233	в самостоятельный	1	1
234	и есть	1	1
235	то в	1	1
236	этого мира	1	1
237	не затрагивая	1	1
238	в строгом	1	1
239	можно говорить	1	1
240	несколько иной	1	1
241	той же	1	1
242	есть не	1	1
243	жизни по	2	1
244	из своих	2	1
245	к новой	1	1
246	в сущности	1	1
247	это всегда	1	1
248	человек должен	2	1
249	никогда не	5	1
250	которое в	1	1
251	времени старого	1	1
252	так называемые	3	1
253	в каждой	1	1
254	на них	1	1
255	между собой	1	1
256	участвовать в	1	1
257	людей в	1	1
258	бы то	2	1
259	что его	1	1
260	события в	1	1
261	их расположение	1	1
262	одном и	1	1
263	более как	1	1
264	оно является	2	1
265	или иное	2	1
266	или к	1	1
267	что они	1	1
268	мере в	1	1
269	с эпохи	1	1
270	душевное состояние	1	1
271	что касается	1	1
272	неизмеримо более	1	1
273	тем же	1	1
274	от этого	1	1
275	могли бы	1	1
276	только то	1	1
277	к чему	1	1
278	бы и	1	1
279	что это	3	1
280	а во-вторых	1	1
281	в ритмическом	1	1
282	за это	1	1
283	из этих	10	1
284	тоже не	1	1
285	своей ролью	1	1
286	неизбежно заключает	1	1
287	имеем в	1	1
288	на то	2	1
289	не могла	2	1
290	в повседневном	1	1
291	духовной культуры	3	1
292	на его	1	1
293	образ его	1	1
294	что она	1	1
295	к искусству	1	1
296	время и	1	1
297	бесконечно и	1	1
298	все это	6	1
299	тем и	2	1
300	в первую	1	1
301	к одному	1	1
302	остается лишь	1	1
303	на земле	1	1
304	чтобы в	1	1
305	когда на	1	1
306	его можно	2	1
307	заключает в	2	1
308	многих других	1	1
309	то ни	2	1
310	что все	4	1
311	спрашивает себя	1	1
312	бы быть	1	1
313	а по	1	1
314	не с	2	1
315	а как	1	1
316	это было	1	1
317	первую очередь	1	1
318	отчет в	1	1
319	было бы	1	1
320	не совпадает	1	1
321	новой жизни	1	1
322	лишь на	1	1
323	весь мир	1	1
324	как объекты	1	1
325	в жизни	1	1
326	нет в	1	1
327	соответствии с	1	1
328	как видно	1	1
329	духовной жизни	1	1
330	перед собой	1	1
331	от своего	1	1
332	связь со	1	1
333	культуры ибо	1	1
334	что высшей	1	1
335	в такой	1	1
336	в котором	4	1
337	что от	1	1
338	и вокруг	1	1
339	все и	1	1
340	однако этот	1	1
341	на каждом	1	1
342	к не	1	1
343	искусства не	1	1
344	направляется к	2	1
345	по крайней	5	1
346	не могли	1	1
347	в конце	6	1
348	не должно	1	1
349	том же	1	1
350	случае мы	1	1
351	то с	3	1
352	и одной	1	1
353	чистом виде	1	1
354	из нас	1	1
355	но для	1	1
356	не имеет	5	1
357	что такое	1	1
358	к этим	1	1
359	героев и	2	1
360	иметь в	1	1
361	казалось бы	1	1
362	имеются и	1	1
363	не удовлетворяясь	1	1
364	в самой	2	1
365	круговорот бытия	1	1
366	и является	2	1
367	связи с	9	1
368	ничто не	1	1
369	он усматривает	1	1
370	не по	1	1
371	и делает	1	1
372	в каком	1	1
373	однако это	1	1
374	настоящего времени	1	1
375	и здесь	2	1
376	в момент	1	1
377	когда мы	1	1
378	ли не	1	1
379	этом может	1	1
380	всего что	1	1
381	v если	1	1
382	а можно	1	1
383	ролью в	1	1
384	всегда так	1	1
385	на это	1	1
386	в настоящее	1	1
387	значения и	1	1
388	точно так	3	1
389	к общему	1	1
390	то или	2	1
391	мысль о	2	1
392	смерти в	1	1
393	то время	1	1
394	рефлексия не	1	1
395	значение в	1	1
396	как с	1	1
397	и совершенно	1	1
398	котором он	1	1
399	на нее	3	1
400	те же	2	1
401	живет в	1	1
402	можно только	2	1
403	для этого	2	1
404	культура есть	1	1
405	ничто в	1	1
406	именно потому	1	1
407	не означает	1	1
408	настоящее время	1	1
409	после того	1	1
410	вследствие того	1	1
411	может не	1	1
412	под именем	1	1
413	в которую	1	1
414	том или	1	1
415	у всякого	1	1
416	путь к	3	1
417	эти два	1	1
418	крайней мере	5	1
419	вслед за	2	1
420	каждом из	1	1
421	если он	1	1
422	и мир	2	1
423	эти последние	1	1
424	что этому	1	1
425	внутренней стороны	1	1
426	с системой	1	1
427	на которой	1	1
428	один из	2	1
429	но с	3	1
430	обе эти	1	1
431	мы видим	1	1
432	тот же	2	1
433	дело с	1	1
434	что даже	1	1
435	до нас	1	1
436	такое же	1	1
437	всех его	1	1
438	между этими	2	1
439	мира как	1	1
440	или его	1	1
441	в уста	1	1
442	а после	3	1
443	со всеми	2	1
444	так что	3	1
445	для всех	2	1
446	свидетельствует о	2	1
447	дает ему	1	1
448	из них	7	1
449	себе в	1	1
450	представить себе	1	1
451	не для	1	1
452	с этими	1	1
453	так как	9	1
454	и от	4	1
455	тому же	5	1
456	к ним	3	1
457	бытия и	1	1
458	должен был	4	1
459	по тем	1	1
460	или ином	1	1
461	на не	1	1
462	представляют собой	1	1
463	не было	2	1
464	чему не	1	1
465	и даже	3	1
466	но одно	1	1
467	по своим	2	1
468	в уме	1	1
469	еще и	1	1
470	наконец в	2	1
471	души и	1	1
472	в соответствии	1	1
473	и пр	1	1
474	смысла и	1	1
475	зависит от	1	1
476	жизнь в	1	1
477	технических средств	1	1
478	когда же	2	1
479	не всегда	2	1
480	за свою	1	1
481	и том	1	1
482	этим и	1	1
483	в одно	2	1
484	в связи	3	1
485	нет никаких	1	1
486	является его	1	1
487	вместе с	15	1
488	в одной	1	1
489	одну из	1	1
490	каждая из	3	1
491	требует от	2	1
492	не могут	2	1
493	после его	2	1
494	этого слова	1	1
495	одновременно с	1	1
496	есть как	2	1
497	да и	1	1
498	никем не	2	1
499	мира с	1	1
500	с этой	3	1
501	и другим	1	1
502	над тем	1	1
503	только для	2	1
504	как субъекты	1	1
505	все же	6	1
506	о мире	1	1
507	если не	2	1
508	совершается в	1	1
509	видно из	1	1
510	в результате	3	1
511	о котором	2	1
512	не позволяет	1	1
513	бы в	1	1
514	не более	1	1
515	все они	1	1
516	следит за	1	1
517	ни было	2	1
518	же в	1	1
519	но если	2	1
520	быть и	2	1
521	не есть	1	1
522	ценностей и	1	1
523	может и	1	1
524	чем с	1	1
525	впервые в	1	1
526	жизни а	1	1
527	одновременно и	2	1
528	в свое	1	1
529	жизни и	2	1
530	и другие	3	1
531	в своих	1	1
532	можно назвать	2	1
533	все что	2	1
534	этой точки	2	1
535	они не	1	1
