N	2gram	Bakhtin_Fr_2	VelikijI
1	и не	15	20
2	и в	49	16
3	свободы и	1	12
4	так как	6	9
5	то что	6	9
6	еще не	2	8
7	в истории	6	8
8	что они	2	7
9	на земле	3	7
10	а не	1	7
11	и потому	5	7
12	человека и	3	6
13	не есть	1	6
14	но и	13	5
15	того что	1	5
16	хотя и	2	5
17	в мире	2	5
18	все это	9	5
19	как бы	11	5
20	ты не	1	5
21	и есть	1	4
22	в образе	1	4
23	в его	18	4
24	нет у	1	4
25	в этом	15	4
26	что он	3	4
27	потому что	1	4
28	в нем	9	4
29	так и	6	4
30	что все	1	4
31	что не	1	4
32	как и	11	4
33	в котором	1	4
34	в ней	2	4
35	и свободного	1	4
36	и все	3	4
37	все что	2	4
38	от этого	1	3
39	этого мира	1	3
40	должна быть	1	3
41	же ты	1	3
42	хотя бы	1	3
43	как не	1	3
44	лишь в	4	3
45	в чем	1	3
46	с его	5	3
47	во всех	6	3
48	христа в	1	3
49	что и	1	3
50	в том	3	3
51	тот же	5	3
52	но в	4	3
53	все эти	7	3
54	за ним	1	3
55	в конце	2	3
56	их в	3	3
57	в своей	5	3
58	в жизни	4	3
59	ни в	3	3
60	в них	13	3
61	не было	4	3
62	если не	1	3
63	в этих	4	3
64	что во	1	3
65	в первый	1	3
66	не в	1	3
67	к чему	1	3
68	любовь к	1	3
69	но это	2	3
70	в средство	1	3
71	никогда не	5	3
72	их от	1	3
73	первый раз	1	3
74	превращается в	3	3
75	и для	1	3
76	к тому	1	3
77	жизни и	7	3
78	что в	2	3
79	оно не	1	3
80	и это	3	2
81	того чтобы	2	2
82	и то	1	2
83	и сам	1	2
84	можно было	3	2
85	и за	2	2
86	превратились в	1	2
87	с ним	4	2
88	и над	4	2
89	и во	4	2
90	к нам	1	2
91	духа и	3	2
92	только в	13	2
93	в себя	6	2
94	конечно не	1	2
95	не только	17	2
96	вера в	1	2
97	для него	9	2
98	для людей	1	2
99	в прошлом	1	2
100	и вечно	1	2
101	тем что	4	2
102	это не	1	2
103	и люди	1	2
104	прежде всего	19	2
105	для них	2	2
106	соединение в	1	2
107	с тем	1	2
108	мы и	1	2
109	один из	7	2
110	не могут	1	2
111	значения и	1	2
112	да и	3	2
113	в смысл	1	2
114	одна из	4	2
115	том что	4	2
116	тогда уже	1	2
117	людей так	1	2
118	для нас	1	2
119	в форме	4	2
120	и теперь	1	2
121	они и	1	2
122	ее в	2	2
123	людей и	1	2
124	не создает	1	2
125	а в	4	2
126	но не	5	2
127	в духе	4	2
128	могут быть	2	2
129	всего в	1	2
130	во всяком	2	2
131	и своих	2	1
132	земными царями	1	1
133	понять отношение	1	1
134	кто бы	1	1
135	как мы	7	1
136	христа на	1	1
137	как церковь	2	1
138	в виду	3	1
139	для себя	1	1
140	в ее	3	1
141	жизни во	1	1
142	и до	4	1
143	роль в	5	1
144	в нашу	1	1
145	он всегда	1	1
146	значение в	4	1
147	его связь	2	1
148	на новый	2	1
149	мы будем	1	1
150	и свободой	2	1
151	то же	7	1
152	на путь	1	1
153	и которые	1	1
154	за них	1	1
155	по сравнению	2	1
156	что уже	1	1
157	ей все	1	1
158	самой жизни	1	1
159	и вообще	3	1
160	для раскрытия	1	1
161	который был	1	1
162	я не	1	1
163	и начало	1	1
164	и ее	1	1
165	веке в	4	1
166	не был	3	1
167	в их	2	1
168	правда должна	1	1
169	и на	17	1
170	он был	2	1
171	после того	1	1
172	и который	1	1
173	из образов	1	1
174	до христа	1	1
175	к нему	3	1
176	что люди	2	1
177	своим предметом	1	1
178	ее от	1	1
179	всем в	1	1
180	человек был	1	1
181	присутствует в	1	1
182	менее всего	3	1
183	смертью и	2	1
184	что человек	1	1
185	себе и	2	1
186	имел еще	1	1
187	бы в	1	1
188	мире и	3	1
189	человеческую жизнь	1	1
190	и ложь	1	1
191	как в	1	1
192	людей с	3	1
193	пути в	1	1
194	в своем	5	1
195	все же	7	1
196	еще больше	1	1
197	победы над	1	1
198	мы видим	1	1
199	с ними	1	1
200	в разные	1	1
201	со своей	1	1
202	в самом	3	1
203	к свободе	1	1
204	в которой	1	1
205	дадим им	1	1
206	имеет своим	1	1
207	в целом	1	1
208	средство для	1	1
209	конца мира	1	1
210	теперь в	1	1
211	сущности и	1	1
212	в этой	10	1
213	где можно	1	1
214	вот в	2	1
215	уже в	5	1
216	от необходимости	1	1
217	в виде	1	1
218	но прежде	3	1
219	это право	1	1
220	бог не	1	1
221	по словам	2	1
222	свою свободу	1	1
223	перестает быть	2	1
224	и глубина	1	1
225	искать в	1	1
226	в понимании	2	1
227	и вот	3	1
228	вовсе не	10	1
229	отношение к	8	1
230	так часто	1	1
231	природы человека	1	1
232	бытия и	1	1
233	у него	2	1
234	и по	1	1
235	на этом	1	1
236	и свободу	1	1
237	лишь к	1	1
238	бы это	1	1
239	для того	1	1
240	не были	2	1
241	и с	6	1
242	было не	1	1
243	этой новой	2	1
244	и менее	1	1
245	свободного и	2	1
246	с другой	4	1
247	кто знает	1	1
248	есть не	1	1
249	это одна	1	1
250	к миру	1	1
251	еще и	1	1
252	были в	2	1
253	нового времени	4	1
254	говорит о	1	1
255	быть на	1	1
256	них и	1	1
257	и своего	2	1
258	она и	1	1
259	которые идут	1	1
260	их было	1	1
261	власти и	2	1
262	идея эта	1	1
263	не всегда	1	1
264	о чем	3	1
265	свободного слова	1	1
266	более глубокое	1	1
267	их на	1	1
268	в поверхностную	1	1
269	места в	1	1
270	богами и	1	1
271	таким же	1	1
272	вместе с	2	1
273	свое особое	1	1
274	так же	2	1
275	ко всем	1	1
276	то есть	32	1
277	в лице	1	1
278	является и	1	1
279	ним уже	1	1
280	в человеке	1	1
281	над ним	1	1
282	сравнению с	2	1
283	абсолютизма и	1	1
284	эта не	1	1
285	в одном	3	1
286	не понимает	1	1
287	человек с	1	1
288	это значит	1	1
289	мира с	1	1
290	и смерти	5	1
291	освободиться от	1	1
292	с этой	1	1
293	еще к	1	1
294	и внешней	1	1
295	общественной жизни	1	1
296	как можно	1	1
297	к ним	1	1
298	и новой	1	1
299	о мире	7	1
300	со свободой	3	1
301	тому кто	1	1
302	и именно	1	1
303	но она	1	1
304	не существует	1	1
305	и от	1	1
306	в день	3	1
307	это как	1	1
308	которая в	1	1
309	ничего не	2	1
310	в разных	1	1
311	того как	2	1
312	всего можно	1	1
313	лишь как	2	1
314	может быть	5	1
315	вообще в	1	1
316	как она	1	1
317	конце концов	1	1
318	будем говорить	1	1
319	во всем	3	1
320	будто бы	1	1
321	шло по	1	1
322	наших дней	2	1
323	но вот	1	1
324	связь с	3	1
325	жизни в	3	1
326	другой стороны	3	1
327	но все	4	1
328	есть и	1	1
329	и могли	2	1
330	есть то	1	1
331	к этому	1	1
332	еще недостаточно	1	1
333	всего что	2	1
334	и другие	2	1
335	в своих	4	1
336	образ в	1	1
337	слова с	1	1
338	и эта	2	1
339	это в	2	1
340	в противоположность	2	1
341	себя и	1	1
342	она не	1	1
