N	3gram	Bakhtin_fo_2	EvropaiC
1	в том что	3	16
2	до сих пор	2	12
3	друг с другом	4	9
4	с точки зрения	8	8
5	на самом деле	1	7
6	друг от друга	2	6
7	для того чтобы	7	6
8	по сравнению с	1	5
9	в этом случае	2	4
10	может быть и	2	4
11	с другой стороны	1	4
12	не может быть	1	4
13	о том что	1	4
14	о которых мы	1	4
15	в конце концов	1	4
16	и того же	1	3
17	не может не	1	3
18	одного и того	1	3
19	в том же	4	3
20	в данном случае	1	3
21	в связи с	7	3
22	том что он	1	2
23	они должны быть	1	2
24	как и все	1	2
25	то же время	4	2
26	рано или поздно	1	2
27	вместе с тем	1	2
28	из того же	1	2
29	каждый из этих	1	2
30	с одной стороны	1	2
31	во всех этих	3	2
32	нечего и говорить	1	2
33	как и в	1	2
34	в свою очередь	1	2
35	но все же	1	2
36	в то же	4	2
37	что до сих	1	2
38	к тому времени	1	1
39	они основаны на	1	1
40	а следовательно и	2	1
41	мы уже говорили	3	1
42	никогда не было	1	1
43	что по существу	1	1
44	и то же	1	1
45	состоит именно в	1	1
46	то время как	1	1
47	и для самого	1	1
48	мы уже сказали	3	1
49	но при этом	1	1
50	так что в	1	1
51	то же самое	2	1
52	времени все же	1	1
53	сих пор еще	1	1
54	они не могут	1	1
55	только в том	1	1
56	они вовсе не	1	1
57	друг на друга	2	1
58	в основе их	1	1
59	то же отношение	1	1
60	между тем как	1	1
61	дело идет об	1	1
62	том числе и	2	1
63	это имеет место	1	1
64	широком смысле слова	1	1
65	одно и то	1	1
66	так как все	1	1
67	в тот же	1	1
68	для борьбы с	1	1
69	уже говорили что	1	1
70	только в этом	1	1
71	с такою же	1	1
72	что все их	1	1
73	таким образом и	1	1
74	на первый взгляд	1	1
75	и помимо этого	1	1
76	до некоторой степени	1	1
77	каждый из них	1	1
78	во всех отношениях	1	1
79	или вовсе не	1	1
80	становится как бы	1	1
81	том что они	1	1
82	вместо того чтобы	1	1
83	именно в том	1	1
84	в широком смысле	1	1
85	а так как	1	1
86	это впечатление совершенно	1	1
87	но и помимо	1	1
88	в то время	1	1
89	когда дело идет	1	1
90	как бы ни	1	1
91	то есть в	1	1
92	с самого начала	1	1
93	между ними нет	1	1
94	становится до некоторой	1	1
95	может показаться что	1	1
96	и все они	1	1
97	тем более что	2	1
98	в другом случае	1	1
99	в том числе	3	1
100	к тому что	1	1
101	важную роль в	1	1
102	как мы видели	1	1
103	и в нем	1	1
104	тот или иной	1	1
105	и в другом	1	1
