N	2gram	Tiupa_Teor_1	Freidism
1	таким образом	3	24
2	и не	13	23
3	– это	18	21
4	не может	4	20
5	точки зрения	9	19
6	прежде всего	2	18
7	в этом	8	15
8	в его	6	15
9	с помощью	1	14
10	в душе	8	13
11	может быть	17	13
12	и его	8	12
13	все эти	2	11
14	как и	4	11
15	с точки	3	11
16	– в	15	11
17	как бы	5	11
18	то что	3	11
19	но в	9	10
20	его в	2	10
21	как мы	1	10
22	так и	10	10
23	и потому	2	10
24	с его	5	9
25	во всех	1	9
26	по отношению	4	9
27	и в	18	9
28	то же	7	8
29	не только	16	8
30	он не	3	8
31	в своей	6	8
32	еще не	4	8
33	оно и	1	8
34	что он	1	8
35	только в	6	8
36	так как	1	8
37	все это	2	8
38	отношению к	4	8
39	все что	1	8
40	в самом	4	7
41	отношение к	5	7
42	ни в	2	7
43	те же	1	7
44	к нему	1	7
45	один из	2	7
46	тот же	1	7
47	– не	4	7
48	сказать что	3	7
49	за пределы	2	6
50	и ее	3	6
51	– все	3	6
52	того что	4	6
53	для него	2	6
54	вовсе не	3	6
55	никогда не	4	6
56	совершенно не	1	6
57	– как	2	6
58	я и	2	5
59	и на	1	5
60	в чем	1	5
61	и к	3	5
62	в этой	3	5
63	не в	7	5
64	в то	6	5
65	в каком	1	5
66	могут быть	4	5
67	в себя	3	5
68	в индивидуальную	1	5
69	для этого	1	5
70	можно сказать	3	5
71	для того	1	5
72	во внешнем	1	5
73	в большинстве	2	5
74	большинстве случаев	1	5
75	а в	13	5
76	оно –	1	5
77	но и	9	5
78	в свою	3	5
79	что в	9	5
80	той же	1	4
81	в которой	2	4
82	говорить о	3	4
83	я не	2	4
84	совсем не	1	4
85	но не	9	4
86	в собственном	1	4
87	не было	1	4
88	из этих	3	4
89	в пределах	5	4
90	с их	2	4
91	в нем	4	4
92	на этом	1	4
93	человека –	1	4
94	то ни	1	4
95	при этом	12	4
96	об этом	2	4
97	с другими	5	4
98	в жизни	2	4
99	нигде не	1	4
100	– один	1	4
