N	2gram	Bakhtin_Pr_5	BTomashe
1	и не	27	2
2	все это	14	2
3	в ней	2	2
4	литературных произведений	1	2
5	можно было	2	2
6	не то	1	2
7	крайней мере	1	1
8	же не	4	1
9	за пределы	3	1
10	не укладывается	1	1
11	тем более	1	1
12	говорить о	3	1
13	бы только	1	1
14	будто бы	2	1
15	об этом	1	1
16	и в	35	1
17	в речи	2	1
18	со всем	1	1
19	к ней	2	1
20	следовало бы	1	1
21	что все	2	1
22	с другой	4	1
23	в своей	4	1
24	как первый	1	1
25	на самом	9	1
26	на которой	2	1
27	как будто	4	1
28	не следует	1	1
29	не склонен	1	1
30	точно и	1	1
31	было бы	3	1
32	все же	8	1
33	всяком случае	4	1
34	кроме того	1	1
35	никак не	1	1
36	между ними	1	1
37	еще не	7	1
38	и на	6	1
39	в пределах	11	1
40	стоит на	1	1
41	одной из	2	1
42	в значительной	1	1
43	прежде всего	12	1
44	в данном	1	1
45	и во	3	1
46	так и	8	1
47	о них	2	1
48	далеко не	1	1
49	не о	4	1
50	всего в	1	1
51	пожалуй и	1	1
52	до конца	4	1
53	стиля и	1	1
54	а не	4	1
55	что в	6	1
56	другой стороны	3	1
57	и ее	1	1
58	формализма и	1	1
59	не все	1	1
60	ведет по	1	1
61	по крайней	1	1
62	отнюдь не	1	1
63	таким образом	7	1
64	вопрос о	2	1
65	и более	1	1
66	и потому	1	1
67	не только	10	1
68	значительной степени	1	1
69	во всяком	4	1
