N	3gram	Ircho_Kome_1	Dialekti
1	и т д	4	15
2	в том что	9	6
3	и не только	1	5
4	то же время	4	4
5	о том что	3	4
6	с другой стороны	5	4
7	что иное как	1	3
8	как будто бы	1	3
9	в то же	4	3
10	то время как	4	3
11	т е в	2	3
12	сам по себе	1	3
13	не что иное	1	3
14	в то время	5	3
15	мы уже знаем	1	3
16	может быть в	1	3
17	не в состоянии	2	2
18	более или менее	1	2
19	до сих пор	2	2
20	в зависимости от	1	2
21	и т п	5	2
22	это вовсе не	1	2
23	говоря уже о	2	2
24	с тех пор	1	2
25	в данном случае	1	2
26	не только в	1	2
27	тем не менее	1	2
28	так или иначе	1	2
29	во всяком случае	2	2
30	с самого начала	1	2
31	и прежде всего	1	2
32	потому что они	1	2
33	то же самое	2	2
34	не говоря уже	2	2
35	я думаю что	1	1
36	том что в	1	1
37	бросается в глаза	1	1
38	в обоих случаях	1	1
39	только что в	1	1
40	большей или меньшей	1	1
41	и даже не	1	1
42	подобно тому как	1	1
43	же как и	1	1
44	и что же?	1	1
45	бы то ни	2	1
46	но и в	2	1
47	в этом отношении	3	1
48	может быть даже	2	1
49	со всех сторон	1	1
50	вместе с тем	1	1
51	в это время	1	1
52	чтобы убедиться в	1	1
53	так же как	1	1
54	одного из них	1	1
55	с одной стороны	3	1
56	в конце концов	4	1
57	но при этом	1	1
58	в разной мере	1	1
59	не раз в	1	1
60	а в другом	1	1
61	и в том	1	1
62	но и все	1	1
63	т д все	1	1
64	и независимо от	1	1
65	по одному из	1	1
66	несмотря на всю	3	1
67	речь идет о	3	1
68	может и не	1	1
69	которые могут быть	1	1
70	то оно все	1	1
71	в другом случае	1	1
72	как мы уже	1	1
73	бы только один	1	1
74	же как раз	1	1
75	к тому что	1	1
76	же как мы	1	1
77	на всю ее	1	1
78	том что он	4	1
79	к тому же	5	1
80	при всем том	1	1
81	независимо от того	1	1
