N	3gram	Losev_Prob_3	Sotsiolo
1	и заключается что	1	2
2	в том что	9	2
3	дело не в	2	2
4	в конце концов	3	2
5	но только в	2	1
6	далеко еще не	1	1
7	сказать и о	1	1
8	хотя бы о	1	1
9	это и есть	1	1
10	в настоящее время	2	1
11	в процессе живого	1	1
12	в том и	1	1
13	и в этом	6	1
14	только то что	2	1
15	и потому его	1	1
16	по крайней мере	5	1
17	то же самое	7	1
18	о том как	2	1
19	сама по себе	8	1
20	в данном стихотворении	1	1
21	тем более не	1	1
22	как бы они	1	1
23	благодаря тому что	1	1
24	не было бы	3	1
25	друг от друга	2	1
26	быть не только	1	1
27	в то же	4	1
28	это вовсе не	4	1
29	в связи с	7	1
30	на первый план	2	1
31	ровно ничего не	2	1
32	с одной стороны	1	1
33	том и заключается	1	1
34	во всяком случае	6	1
