N	4gram	Vinokur_Vv_1	Formalny
1	в то же время	5	7
2	бы то ни было	1	4
3	и тем не менее	3	1
4	вовсе не вытекает из	1	1
5	в той мере в	4	1
6	дело в том что	2	1
7	мы имеем в виду	1	1
8	хорошем смысле этого слова	1	1
9	одного и того же	2	1
10	какой бы то ни	1	1
11	и т д таким	1	1
12	так а не иначе	1	1
13	той мере в какой	4	1
14	в том или ином	1	1
15	с этой точки зрения	1	1
16	предполагает ту или иную	1	1
17	одной и той же	2	1
18	в собственном смысле слова	1	1
19	т д таким образом	1	1
20	одно из необходимых условий	1	1
21	в зависимости от того	1	1
22	в хорошем смысле этого	1	1
