N	3gram	Propp_Isto_5	Mirosoze
1	не может быть	3	17
2	вместе с тем	6	5
3	а не в	1	4
4	но и в	2	4
5	и вместе с	2	4
6	потому что в	1	3
7	с тем что	1	3
8	и потому не	1	3
9	это значит что	2	3
10	мы увидим что	1	3
11	по отношению к	2	2
12	он не может	2	2
13	до сих пор	2	2
14	что он не	1	2
15	в свою противоположность	2	2
16	смысле в каком	1	2
17	в том смысле	1	2
18	то время как	1	2
19	не только в	2	2
20	в иной мир	6	2
21	и на этом	1	2
22	он живет в	2	2
23	в то время	1	2
24	тем что он	2	2
25	для того чтобы	3	2
26	он не только	1	2
27	на том что	2	1
28	потому что он	2	1
29	а иногда и	1	1
30	может быть названа	1	1
31	в ином мире	2	1
32	в самом деле	1	1
33	и он же	1	1
34	в зависимости от	1	1
35	в отличие от	1	1
36	связывает его с	1	1
37	но это не	2	1
38	у него нет	1	1
39	что есть на	1	1
40	том смысле в	1	1
41	между двумя мирами	1	1
42	интересно что в	1	1
43	во всех этих	1	1
44	мы не знали	1	1
45	не только для	1	1
46	не в том	1	1
47	с этим связана	1	1
48	она все же	1	1
49	во всяком случае	1	1
50	момент когда он	1	1
51	в себе и	1	1
52	но не было	1	1
53	говорит о нем	1	1
54	что и в	2	1
55	но и он	1	1
56	о том что	4	1
57	то мы имеем	1	1
58	во многих отношениях	1	1
59	в том что	2	1
60	не потому ли	2	1
