N	2gram	Nazirov_Tv_1	Narrotol
1	не только	7	32
2	может быть	5	25
3	но и	3	23
4	в качестве	2	21
5	и не	7	20
6	то есть	12	19
7	и в	21	19
8	в том	7	18
9	в этом	6	17
10	не в	2	14
11	в частности	2	14
12	том что	11	14
13	представляет собой	3	12
14	тогда как	1	12
15	своего рода	4	12
16	а не	5	12
17	то что	8	11
18	а в	6	11
19	не может	4	10
20	при этом	7	9
21	в мире	4	9
22	так и	2	9
23	в его	13	9
24	в себе	2	8
25	во времени	3	8
26	с другой	3	8
27	героя в	1	8
28	еще не	1	7
29	по отношению	1	7
30	как в	8	7
31	все же	5	7
32	времени и	4	7
33	как и	12	7
34	к тому	2	7
35	с одной	1	7
36	одной стороны	1	7
37	с его	11	6
38	но не	3	6
39	то в	2	6
40	на протяжении	3	6
41	тем самым	7	6
42	в себя	2	6
43	о том	6	6
44	что он	6	6
45	именно в	2	6
46	как это	1	6
47	отношению к	1	6
48	но в	7	6
49	не все	1	5
50	отличие от	2	5
51	отнюдь не	5	5
52	и как	4	5
53	уже не	3	5
54	в этой	5	5
55	тому же	1	5
56	далеко не	3	5
57	в отличие	2	5
58	по себе	1	5
59	в основе	2	5
60	и его	6	5
61	к себе	1	5
62	к нему	1	5
63	нуждается в	1	5
64	себя в	1	5
65	мира в	2	5
66	в данном	2	5
67	можно сказать	2	5
68	переход от	1	4
69	данном случае	2	4
70	то же	13	4
71	как правило	1	4
72	перед нами	2	4
73	за собой	1	4
74	в нем	3	4
75	в принципе	2	4
76	но все	1	4
77	же не	1	4
78	и с	3	4
79	было бы	1	4
80	и тем	2	4
81	не мог	2	4
82	пока еще	1	4
83	связи с	1	4
84	имеет место	1	4
85	не столько	2	4
86	о нем	1	4
87	одного из	2	4
88	же время	12	4
89	вслед за	2	4
90	только в	5	4
91	хотя бы	5	4
92	в пространстве	2	4
93	у него	7	4
94	что не	2	4
95	прежде всего	4	4
96	в рассказе	3	4
97	как бы	17	4
98	да и	1	4
99	отличается от	1	4
100	же в	1	4
101	одной из	4	4
102	героя и	2	4
103	сказать что	2	4
104	другой стороны	1	4
105	это и	3	3
106	в первом	2	3
107	же как	1	3
108	в сущности	1	3
109	и он	2	3
110	в ней	2	3
111	и на	7	3
112	может не	2	3
113	бы то	1	3
114	в ее	1	3
115	если в	2	3
116	как говорит	1	3
117	хотя и	3	3
118	когда он	2	3
119	что это	1	3
120	уже в	3	3
121	не есть	1	3
122	героя к	1	3
123	он не	8	3
124	то ни	1	3
125	не будет	2	3
126	особенно в	1	3
127	ни в	1	3
128	тем не	2	3
129	не менее	6	3
130	в то	15	3
131	тем что	1	3
132	одна из	2	3
133	на него	1	3
134	никогда не	3	3
135	на себя	1	3
136	могут быть	2	3
137	с ее	3	3
138	свою очередь	1	3
139	и самого	1	3
140	на том	2	3
141	столь же	1	3
142	как было	1	3
143	в конечном	4	3
144	восходит к	1	3
145	между тем	1	3
146	один из	4	3
147	по мысли	1	3
148	из них	2	3
149	и даже	3	3
150	в свою	7	3
151	а с	1	3
152	как будто	5	3
153	не существует	3	3
154	что в	12	3
155	ни было	1	3
