N	2gram	Tiupa_Narr_1	SlovoVZh
1	не может	8	16
2	может быть	15	14
3	точки зрения	5	14
4	как бы	6	13
5	и его	10	13
6	таким образом	1	12
7	и в	11	12
8	по отношению	3	11
9	в нашем	3	11
10	отношению к	3	11
11	и не	23	10
12	если бы	7	9
13	так как	1	9
14	прежде всего	4	8
15	сказать что	2	7
16	для нас	1	7
17	в ней	4	6
18	в том	8	6
19	только в	12	6
20	при этом	19	6
21	с помощью	1	6
22	в нем	4	6
23	слова и	1	6
24	все время	1	6
25	то же	8	5
26	в виду	1	5
27	можно сказать	5	5
28	отнюдь не	2	5
29	как в	4	5
30	но в	7	5
31	в жизни	3	5
32	героя и	2	5
33	а не	13	5
34	как и	13	5
35	что мы	2	5
36	том что	7	5
37	никогда не	4	5
38	хотя бы	2	5
39	то что	9	5
40	на самом	1	4
41	зависимости от	2	4
42	как если	2	4
43	к нему	4	4
44	к автору	1	4
45	в литературе	4	4
46	в этом	12	4
47	все же	4	4
48	в самом	6	4
49	уже не	8	4
50	не только	31	4
51	ни было	1	4
52	отношение к	1	4
53	так и	5	4
54	с другой	2	4
55	что не	2	4
56	не в	6	4
57	его в	1	4
58	дело в	2	4
59	и является	2	4
60	и к	1	4
61	жизни и	6	4
62	и на	5	4
63	здесь не	2	3
64	самом деле	3	3
65	в котором	1	3
66	в пределах	2	3
67	ясно что	1	3
68	еще не	4	3
69	мы не	3	3
70	с героем	1	3
71	и вообще	1	3
72	о том	4	3
73	бы то	1	3
74	но и	27	3
75	между тем	3	3
76	точка зрения	5	3
77	нуждается в	1	3
78	того что	4	3
79	быть и	2	3
80	когда он	1	3
81	и наконец	1	3
82	и ее	3	3
83	только на	2	3
84	в себе	6	3
85	да и	2	3
86	к герою	1	3
87	в творчестве	1	3
88	для него	4	3
89	и по	1	3
90	то ни	1	3
91	и с	3	3
92	точек зрения	2	3
93	до сих	2	3
94	и уже	1	3
95	в своей	5	3
96	так же	1	3
97	тем не	3	3
98	по себе	4	3
99	произведения и	1	3
100	художественное произведение	1	3
101	сих пор	2	3
102	не менее	3	3
103	все это	1	3
104	но для	3	3
105	и для	2	3
106	ее и	1	3
107	с ним	2	3
108	или не	4	3
109	отношении к	1	3
110	значения и	2	2
111	как не	1	2
112	и то	3	2
113	как это	3	2
114	опираясь на	1	2
115	действия и	1	2
116	и совершенно	1	2
117	едва ли	3	2
118	мы имеем	3	2
119	со словом	1	2
120	и здесь	1	2
121	не остается	1	2
122	и та	1	2
123	с его	4	2
124	между собой	2	2
125	в чем	2	2
126	тем как	1	2
127	данном случае	8	2
128	в данном	11	2
129	которые мы	1	2
130	к слову	1	2
131	в его	6	2
132	что и	1	2
133	подчеркнуть что	1	2
134	в форме	2	2
135	в своем	3	2
136	в формах	1	2
137	дело с	2	2
138	и потому	1	2
139	что слово	1	2
140	бы не	1	2
141	с одной	1	2
142	уже в	1	2
143	тому же	6	2
144	слово это	2	2
145	в душе	1	2
146	он не	3	2
147	в корне	1	2
148	в зависимости	2	2
149	к ним	2	2
150	мы можем	2	2
151	одно и	2	2
152	но все	1	2
153	в особенности	2	2
154	с другими	1	2
155	это не	3	2
156	до известной	1	2
157	кругозора и	3	2
158	оно не	2	2
159	одной стороны	1	2
160	зависит от	2	2
161	до конца	2	2
162	другой стороны	2	2
163	его как	1	2
164	была бы	1	2
165	там где	1	2
166	автора и	1	2
167	и слово	1	2
168	имеет место	4	2
169	в момент	1	2
170	в комнате	1	2
171	связь с	1	2
172	вместе с	2	2
173	к его	2	2
174	но не	4	2
175	точку зрения	1	2
176	она не	2	2
177	еще раз	3	2
178	с точки	1	2
179	в то	4	2
180	и притом	2	2
181	известной степени	1	2
182	ничего не	2	2
183	этих двух	2	2
184	и все	3	2
185	но зато	2	2
186	все они	1	2
187	в этих	2	2
188	но это	1	2
189	между ними	2	2
190	им не	1	2
191	могут быть	1	2
192	же самое	2	2
193	в событии	2	2
194	что в	3	2
195	к этому	1	2
196	если же	1	2
197	за ее	1	1
198	например в	1	1
199	же как	1	1
200	как мы	2	1
201	и о	3	1
202	чтобы не	1	1
203	с ее	2	1
204	момент в	1	1
205	сам по	1	1
206	свою очередь	2	1
207	а из	1	1
208	миром и	1	1
209	это и	1	1
210	в приведенном	1	1
211	в организации	1	1
212	тем же	2	1
213	и автора	1	1
214	только то	1	1
215	в произведении	2	1
216	принимают участие	1	1
217	сохраняет при	1	1
218	однако эта	1	1
219	по аналогии	1	1
220	из двух	1	1
221	мы уже	1	1
222	так называемую	1	1
223	на которую	1	1
224	та же	2	1
225	является в	1	1
226	для этого	1	1
227	из одного	1	1
228	взаимодействие и	1	1
