N	3gram	Vygotskiy__5	Morfolog
1	и т д	3	47
2	в этом случае	2	9
3	мы видим что	3	9
4	не может быть	2	8
5	таким образом мы	2	5
6	по отношению к	1	4
7	с точки зрения	2	4
8	с другой стороны	5	4
9	не могут быть	1	3
10	на самом деле	2	3
11	состоит в том	2	2
12	оно может быть	1	2
13	более или менее	1	2
14	для наших целей	1	2
15	в собственном смысле	1	2
16	может быть и	2	2
17	то время как	1	2
18	с одной стороны	12	2
19	собственном смысле слова	1	2
20	образом мы видим	2	2
21	и таким образом	2	2
22	в то время	1	2
23	для того чтобы	19	2
24	в том что	14	2
25	таким образом что	3	1
26	в отдельности может	1	1
27	мы видим таким	1	1
28	от него герой	1	1
29	с тем как	1	1
30	действующих лиц должны	1	1
31	каждый в отдельности	1	1
32	он может быть	1	1
33	том что он	1	1
34	самого начала в	1	1
35	что иное как	2	1
36	мы должны будем	2	1
37	как бы в	2	1
38	за ним гонятся	1	1
39	следующим образом если	1	1
40	до сих пор	5	1
41	сих пор не	1	1
42	является то что	2	1
43	было бы показать	1	1
44	можно было бы	3	1
45	он как бы	1	1
46	видим что с	1	1
47	не то что	1	1
48	в том случае	1	1
49	одно и то	3	1
50	в применении к	1	1
51	в том или	1	1
52	и здесь этот	1	1
53	в данном случае	2	1
54	на этот вопрос	3	1
55	которых каждый в	1	1
56	и то же	3	1
57	иметь в виду	3	1
58	то что он	3	1
59	показать как в	1	1
60	она все же	1	1
61	мы имеем здесь	1	1
62	но так как	1	1
63	вместо того чтобы	1	1
64	ни в каких	1	1
65	потому что они	1	1
66	наших целей это	1	1
67	друг к другу	4	1
68	из которых каждый	1	1
69	то для того	1	1
70	между героем и	1	1
71	но никто не	1	1
72	то что ему	1	1
73	мы имеем в	1	1
74	те или иные	1	1
75	о том что	6	1
76	то что не	1	1
77	если бы мы	2	1
78	с самого начала	3	1
79	видим таким образом	1	1
80	с собой в	1	1
81	ни одна из	1	1
82	следует отличать от	1	1
83	той или иной	2	1
84	как в этих	1	1
85	можно сказать что	2	1
86	составные части но	1	1
87	на то что	16	1
88	вовсе не необходимо	1	1
89	к тому что	6	1
90	не что иное	2	1
91	друг с другом	3	1
92	следующим образом объект	1	1
93	но для наших	1	1
94	она не есть	1	1
