N	3gram	Losev_Vesc_1	Formalny
1	с точки зрения	3	14
2	не может быть	6	14
3	в то же	1	7
4	во всяком случае	2	6
5	и т д	19	6
6	в зависимости от	1	5
7	с другой стороны	2	5
8	в самом деле	4	4
9	подобно тому как	4	4
10	в данном случае	2	4
11	бы то ни	4	4
12	то ни было	4	4
13	для того чтобы	2	4
14	как мы знаем	1	4
15	то же самое	1	3
16	в этом отношении	1	3
17	вместе с тем	1	3
18	в том что	4	3
19	равно как и	2	2
20	о том как	1	2
21	самом же деле	1	2
22	и во всяком	1	2
23	сами по себе	3	2
24	на самом же	1	2
25	может быть только	3	2
26	только то что	2	2
27	дело в том	2	2
28	мы видели что	1	2
29	мы не можем	1	2
30	а и в	7	2
31	не только не	2	2
32	между а и	1	2
33	как бы ни	2	2
34	между смыслом и	2	2
35	к тому что	2	2
36	тем не менее	3	2
37	в конце концов	2	2
38	но и все	1	1
39	и того же	1	1
40	невозможно было бы	2	1
41	это можно сказать	1	1
42	нас все же	1	1
43	что же такое	3	1
44	в действительности и	1	1
45	вовсе не есть	6	1
46	т е она	1	1
47	у нас все	1	1
48	если бы о	1	1
49	т е не	2	1
50	и все вообще	1	1
51	таким образом между	1	1
52	в том или	1	1
53	а следовательно и	1	1
54	и действительность если	1	1
55	восприятия т е	2	1
56	тот или иной	1	1
57	сам по себе	3	1
58	ни в коем	1	1
59	это значило бы	2	1
60	каждой из этих	1	1
61	из того что	2	1
62	в собственном смысле	2	1
63	с тем что	1	1
64	но и здесь	1	1
65	но и самая	1	1
66	с этой точки	1	1
67	они находятся в	1	1
68	что они находятся	1	1
69	до сих пор	1	1
70	и тем не	1	1
71	в коем случае	1	1
72	я и не	1	1
73	ту или иную	2	1
74	так или иначе	4	1
75	и в философии	1	1
76	от того что	1	1
77	для него это	1	1
78	т е в	7	1
79	слово в котором	1	1
80	так же как	1	1
81	действительности и ее	2	1
82	т е от	1	1
83	и для всех	1	1
84	не потому что	4	1
85	между ними в	1	1
86	в данном месте	1	1
87	не только в	4	1
88	с одной стороны	3	1
89	только один из	1	1
90	можно говорить о	2	1
91	оно не только	1	1
92	коем случае не	1	1
93	в жизни в	1	1
94	в современной философии	1	1
95	оказывается вовсе не	1	1
96	вовсе не потому	1	1
97	не в том	1	1
98	те или другие	4	1
99	и все эти	1	1
100	это не значит	1	1
101	чтобы не видеть	1	1
102	е в конце	1	1
103	о которых идет	1	1
104	и ничем не	1	1
105	нас в россии	2	1
106	он и не	1	1
107	но так как	1	1
108	все то что	1	1
109	потому что они	3	1
110	не только смысл	1	1
111	того же типа	1	1
112	этой точки зрения	1	1
113	о том что	4	1
114	оно есть не	4	1
115	в той же	1	1
116	бы в ней	1	1
117	можно было бы	1	1
118	и в самом	1	1
119	действительность если мы	1	1
120	в нем нет	1	1
121	как не в	1	1
122	можно сказать что	3	1
123	у нас в	2	1
124	на то что	2	1
125	одного и того	1	1
126	к действительности и	1	1
127	же а не	1	1
128	тех или иных	1	1
129	сама по себе	3	1
130	друг с другом	1	1
131	она может и	1	1
132	которых идет речь	1	1
133	для меня не	1	1
134	что между ними	1	1
135	и для всякого	1	1
136	она не может	2	1
137	в отдельности и	2	1
138	мы еще не	2	1
